Protein.Group,Protein.Names,Protein,Protein.Description,Sample,Replicate,Top_3pep_counts_mean,%_of_protein_abundance_Top3-method,log10_%_abundance
Q88DW1,Q88DW1_PSEPK,Pp_4707,OsmY-related protein,PP_0812,R3,423727.8,0.008546058,-2.068234162
Q88DW4,Q88DW4_PSEPK,Pp_4704,DUF748 domain-containing protein,PP_0812,R1,576405.37,0.01213216,-1.916061865
Q88DW4,Q88DW4_PSEPK,Pp_4704,DUF748 domain-containing protein,PP_0812,R2,204551.4667,0.004599342,-2.33730425
Q88DW4,Q88DW4_PSEPK,Pp_4704,DUF748 domain-containing protein,PP_0812,R3,893111.5667,0.01801294,-1.744415406
Q88DW8,PANC_PSEPK,Panc,Pantothenate synthetase,PP_0812,R1,639974.0367,0.013470151,-1.870627528
Q88DW8,PANC_PSEPK,Panc,Pantothenate synthetase,PP_0812,R2,531807.8,0.011957706,-1.922352145
Q88DW8,PANC_PSEPK,Panc,Pantothenate synthetase,PP_0812,R3,375668.9,0.00757677,-2.120515877
Q88DW9,PANB_PSEPK,Panb,3-methyl-2-oxobutanoate hydroxymethyltransferase,PP_0812,R1,221417.37,0.004660385,-2.331578195
Q88DW9,PANB_PSEPK,Panb,3-methyl-2-oxobutanoate hydroxymethyltransferase,PP_0812,R2,198038.1333,0.00445289,-2.351358024
Q88DW9,PANB_PSEPK,Panb,3-methyl-2-oxobutanoate hydroxymethyltransferase,PP_0812,R3,150184.4667,0.003029032,-2.518696104
Q88DX1,Q88DX1_PSEPK,Pcnb,Poly(A) polymerase I,PP_0812,R1,871944.6667,0.018352661,-1.736300957
Q88DX1,Q88DX1_PSEPK,Pcnb,Poly(A) polymerase I,PP_0812,R2,836120.3333,0.018800177,-1.725838063
Q88DX1,Q88DX1_PSEPK,Pcnb,Poly(A) polymerase I,PP_0812,R3,783709.6667,0.015806441,-1.801165917
Q88DX2,Q88DX2_PSEPK,Pp_4696,Nitrogen regulation protein NR(I),PP_0812,R1,1166591.333,0.024554374,-1.609871137
Q88DX2,Q88DX2_PSEPK,Pp_4696,Nitrogen regulation protein NR(I),PP_0812,R2,744515,0.01674043,-1.776233396
Q88DX2,Q88DX2_PSEPK,Pp_4696,Nitrogen regulation protein NR(I),PP_0812,R3,1056603.333,0.021310363,-1.671409144
Q88DX4,GLUQ_PSEPK,Gluq,Glutamyl-Q tRNA(Asp) synthetase,PP_0812,R1,11565.48,0.00024343,-3.613626221
Q88DX4,GLUQ_PSEPK,Gluq,Glutamyl-Q tRNA(Asp) synthetase,PP_0812,R2,296854.2,0.006674771,-2.17556365
Q88DX4,GLUQ_PSEPK,Gluq,Glutamyl-Q tRNA(Asp) synthetase,PP_0812,R3,267960.3667,0.005404424,-2.267250557
Q88DX5,Q88DX5_PSEPK,Dksa,RNA polymerase-binding transcription factor DksA,PP_0812,R1,2962449.407,0.062353532,-1.205138941
Q88DX5,Q88DX5_PSEPK,Dksa,RNA polymerase-binding transcription factor DksA,PP_0812,R2,4171468.067,0.093795516,-1.027817925
Q88DX5,Q88DX5_PSEPK,Dksa,RNA polymerase-binding transcription factor DksA,PP_0812,R3,3379582.233,0.068161933,-1.166458102
Q88DX6,Q88DX6_PSEPK,Pp_4692,Aminotransferase,PP_0812,R1,678784.6667,0.014287036,-1.84505786
Q88DX6,Q88DX6_PSEPK,Pp_4692,Aminotransferase,PP_0812,R2,165014.4667,0.003710353,-2.430584828
Q88DX6,Q88DX6_PSEPK,Pp_4692,Aminotransferase,PP_0812,R3,635144.3333,0.012810064,-1.892448693
Q88DY4,Q88DY4_PSEPK,Pp_4684,Aminoglycoside phosphotransferase domain-containing protein,PP_0812,R1,3689558.037,0.077657689,-1.109815537
Q88DY4,Q88DY4_PSEPK,Pp_4684,Aminoglycoside phosphotransferase domain-containing protein,PP_0812,R2,3724417.333,0.083743574,-1.077048509
Q88DY4,Q88DY4_PSEPK,Pp_4684,Aminoglycoside phosphotransferase domain-containing protein,PP_0812,R3,3633227.667,0.073277643,-1.135028508
Q88DY5,Q88DY5_PSEPK,Mrcb,Penicillin-binding protein 1B,PP_0812,R1,966370.6667,0.020340136,-1.691646144
Q88DY5,Q88DY5_PSEPK,Mrcb,Penicillin-binding protein 1B,PP_0812,R2,395482.0667,0.00889242,-2.050980053
Q88DY5,Q88DY5_PSEPK,Mrcb,Penicillin-binding protein 1B,PP_0812,R3,592058.3333,0.011941074,-1.922956622
Q88DY6,Q88DY6_PSEPK,Pp_4682,Uncharacterized protein,PP_0812,R1,1361774.333,0.028662579,-1.542684738
Q88DY6,Q88DY6_PSEPK,Pp_4682,Uncharacterized protein,PP_0812,R2,1610219.333,0.036205803,-1.441221811
Q88DY6,Q88DY6_PSEPK,Pp_4682,Uncharacterized protein,PP_0812,R3,1325664.667,0.026736993,-1.572887439
Q88DY8,Q88DY8_PSEPK,Ilvi,Acetolactate synthase,PP_0812,R1,3963333.333,0.083420102,-1.078729283
Q88DY8,Q88DY8_PSEPK,Ilvi,Acetolactate synthase,PP_0812,R2,3160000,0.071052643,-1.148419765
Q88DY8,Q88DY8_PSEPK,Ilvi,Acetolactate synthase,PP_0812,R3,3696666.667,0.074557128,-1.127510829
Q88DY9,Q88DY9_PSEPK,Ilvh,Acetolactate synthase small subunit,PP_0812,R1,2662891.37,0.056048445,-1.251436433
Q88DY9,Q88DY9_PSEPK,Ilvh,Acetolactate synthase small subunit,PP_0812,R2,2538134.733,0.057069994,-1.243592176
Q88DY9,Q88DY9_PSEPK,Ilvh,Acetolactate synthase small subunit,PP_0812,R3,3450000,0.069582171,-1.157502025
Q88DZ0,ILVC_PSEPK,Ilvc,Ketol-acid reductoisomerase (NADP(+)),PP_0812,R1,18966666.67,0.39920974,-0.398798871
Q88DZ0,ILVC_PSEPK,Ilvc,Ketol-acid reductoisomerase (NADP(+)),PP_0812,R2,22503333.33,0.505987753,-0.295859995
Q88DZ0,ILVC_PSEPK,Ilvc,Ketol-acid reductoisomerase (NADP(+)),PP_0812,R3,18343333.33,0.369962016,-0.431842862
Q88DZ4,Q88DZ4_PSEPK,Recc,RecBCD enzyme subunit RecC,PP_0812,R1,558734.74,0.011760229,-1.929584208
Q88DZ4,Q88DZ4_PSEPK,Recc,RecBCD enzyme subunit RecC,PP_0812,R2,305025.8667,0.006858511,-2.163770178
Q88DZ4,Q88DZ4_PSEPK,Recc,RecBCD enzyme subunit RecC,PP_0812,R3,336521.4667,0.006787216,-2.168308347
Q88DZ5,Q88DZ5_PSEPK,Recb,RecBCD enzyme subunit RecB,PP_0812,R1,75484.74,0.0015888,-2.798930719
Q88DZ5,Q88DZ5_PSEPK,Recb,RecBCD enzyme subunit RecB,PP_0812,R2,122859.4667,0.002762497,-2.558698222
Q88DZ5,Q88DZ5_PSEPK,Recb,RecBCD enzyme subunit RecB,PP_0812,R3,10591.7,0.000213621,-3.670355449
Q88DZ6,Q88DZ6_PSEPK,Recd,RecBCD enzyme subunit RecD,PP_0812,R1,449206.0367,0.009454873,-2.024344299
Q88DZ6,Q88DZ6_PSEPK,Recd,RecBCD enzyme subunit RecD,PP_0812,R2,222724.4667,0.005007963,-2.30033892
Q88DZ6,Q88DZ6_PSEPK,Recd,RecBCD enzyme subunit RecD,PP_0812,R3,57722.8,0.001164196,-2.933973731
Q88E00,Q88E00_PSEPK,Pp_4668,"Transcriptional regulator, LysR family",PP_0812,R1,246730.37,0.005193172,-2.284567273
Q88E00,Q88E00_PSEPK,Pp_4668,"Transcriptional regulator, LysR family",PP_0812,R2,14404.2,0.000323879,-3.489617705
Q88E00,Q88E00_PSEPK,Pp_4668,"Transcriptional regulator, LysR family",PP_0812,R3,500039.2333,0.010085164,-1.99631704
Q88E01,Q88E01_PSEPK,Mmsa-ii,methylmalonate-semialdehyde dehydrogenase (CoA acylating),PP_0812,R1,5790000,0.121867719,-0.914111319
Q88E01,Q88E01_PSEPK,Mmsa-ii,methylmalonate-semialdehyde dehydrogenase (CoA acylating),PP_0812,R2,5500000,0.123667574,-0.907744158
Q88E01,Q88E01_PSEPK,Mmsa-ii,methylmalonate-semialdehyde dehydrogenase (CoA acylating),PP_0812,R3,5790000,0.116777035,-0.932642557
Q88E02,Q88E02_PSEPK,Mmsb,3-hydroxyisobutyrate dehydrogenase,PP_0812,R1,4746132.333,0.099896428,-1.00045004
Q88E02,Q88E02_PSEPK,Mmsb,3-hydroxyisobutyrate dehydrogenase,PP_0812,R2,3212797.333,0.072239791,-1.141223517
Q88E02,Q88E02_PSEPK,Mmsb,3-hydroxyisobutyrate dehydrogenase,PP_0812,R3,5359549.333,0.108095385,-0.966192847
Q88E10,MCPS_PSEPK,Mcps,Methyl-accepting chemotaxis protein McpS,PP_0812,R1,1900000,0.039991134,-1.398036282
Q88E10,MCPS_PSEPK,Mcps,Methyl-accepting chemotaxis protein McpS,PP_0812,R2,2086666.667,0.046918728,-1.328653769
Q88E10,MCPS_PSEPK,Mcps,Methyl-accepting chemotaxis protein McpS,PP_0812,R3,2150000,0.043362802,-1.36288266
Q88E11,Q88E11_PSEPK,Ypfj,Zinc metalloprotease,PP_0812,R1,354766.3333,0.007467109,-2.126847483
Q88E11,Q88E11_PSEPK,Ypfj,Zinc metalloprotease,PP_0812,R2,118795.4667,0.002671118,-2.57330698
Q88E11,Q88E11_PSEPK,Ypfj,Zinc metalloprotease,PP_0812,R3,10591.7,0.000213621,-3.670355449
Q88E14,TRMA_PSEPK,Trma,tRNA/tmRNA (uracil-C(5))-methyltransferase,PP_0812,R1,1234040.667,0.025974045,-1.585460411
Q88E14,TRMA_PSEPK,Trma,tRNA/tmRNA (uracil-C(5))-methyltransferase,PP_0812,R2,900879.6667,0.020256291,-1.693440063
Q88E14,TRMA_PSEPK,Trma,tRNA/tmRNA (uracil-C(5))-methyltransferase,PP_0812,R3,1646666.667,0.0332112,-1.478715426
Q88E17,Q88E17_PSEPK,Cioa,"Ubiquinol oxidase subunit I, cyanide insensitive",PP_0812,R1,455529.0733,0.00958796,-2.018273783
Q88E17,Q88E17_PSEPK,Cioa,"Ubiquinol oxidase subunit I, cyanide insensitive",PP_0812,R2,458094.2,0.010300254,-1.987152055
Q88E17,Q88E17_PSEPK,Cioa,"Ubiquinol oxidase subunit I, cyanide insensitive",PP_0812,R3,553175.7,0.01115686,-1.952458026
Q88E20,RLMG_PSEPK,Rlmg,Ribosomal RNA large subunit methyltransferase G,PP_0812,R1,1082891.37,0.02279266,-1.64220499
Q88E20,RLMG_PSEPK,Rlmg,Ribosomal RNA large subunit methyltransferase G,PP_0812,R2,640677.0667,0.014405632,-1.841467669
Q88E20,RLMG_PSEPK,Rlmg,Ribosomal RNA large subunit methyltransferase G,PP_0812,R3,1003530.567,0.020239952,-1.693790515
Q88E22,Q88E22_PSEPK,Fpr-ii,Flavodoxin/ferredoxin--NADP reductase,PP_0812,R1,465207.0733,0.009791662,-2.009143573
Q88E22,Q88E22_PSEPK,Fpr-ii,Flavodoxin/ferredoxin--NADP reductase,PP_0812,R2,437745.7333,0.009842719,-2.006884926
Q88E22,Q88E22_PSEPK,Fpr-ii,Flavodoxin/ferredoxin--NADP reductase,PP_0812,R3,790338,0.015940126,-1.797508257
Q88E24,Q88E24_PSEPK,Rada,DNA repair protein RadA,PP_0812,R1,529116.0733,0.011136817,-1.953238928
Q88E24,Q88E24_PSEPK,Rada,DNA repair protein RadA,PP_0812,R2,412936.1333,0.009284875,-2.032223961
Q88E24,Q88E24_PSEPK,Rada,DNA repair protein RadA,PP_0812,R3,597576.9,0.012052376,-1.918927319
Q88E26,Q88E26_PSEPK,Pp_4642,Cyclic diguanosine monophosphate-binding protein,PP_0812,R1,2212891.37,0.046576861,-1.331829788
Q88E26,Q88E26_PSEPK,Pp_4642,Cyclic diguanosine monophosphate-binding protein,PP_0812,R2,879602.8,0.019777881,-1.703820245
Q88E26,Q88E26_PSEPK,Pp_4642,Cyclic diguanosine monophosphate-binding protein,PP_0812,R3,2263530.567,0.045652571,-1.340534757
Q88E27,Q88E27_PSEPK,Yjiy,Transporter,PP_0812,R1,703811.0733,0.014813791,-1.829333787
Q88E27,Q88E27_PSEPK,Yjiy,Transporter,PP_0812,R2,323136.2,0.007265722,-2.138721234
Q88E27,Q88E27_PSEPK,Yjiy,Transporter,PP_0812,R3,685063.5667,0.013816873,-1.859590249
Q88E29,Q88E29_PSEPK,Zinu,P-loop guanosine triphosphatase-dependent zinc chaperone,PP_0812,R1,1034201.367,0.021767834,-1.662184775
Q88E29,Q88E29_PSEPK,Zinu,P-loop guanosine triphosphatase-dependent zinc chaperone,PP_0812,R2,481070.8667,0.010816885,-1.965897791
Q88E29,Q88E29_PSEPK,Zinu,P-loop guanosine triphosphatase-dependent zinc chaperone,PP_0812,R3,825167.1333,0.016642586,-1.778779199
Q88E32,Q88E32_PSEPK,Yqef,Acetyl-CoA acetyltransferase,PP_0812,R1,8674.11,0.000182572,-3.738564958
Q88E32,Q88E32_PSEPK,Yqef,Acetyl-CoA acetyltransferase,PP_0812,R2,14404.2,0.000323879,-3.489617705
Q88E32,Q88E32_PSEPK,Yqef,Acetyl-CoA acetyltransferase,PP_0812,R3,23161.63333,0.000467141,-3.330551938
Q88E33,FABV_PSEPK,Fabv,Enoyl-[acyl-carrier-protein] reductase [NADH],PP_0812,R1,5079046.667,0.106903598,-0.97100768
Q88E33,FABV_PSEPK,Fabv,Enoyl-[acyl-carrier-protein] reductase [NADH],PP_0812,R2,3941784.333,0.088631074,-1.052413989
Q88E33,FABV_PSEPK,Fabv,Enoyl-[acyl-carrier-protein] reductase [NADH],PP_0812,R3,5015994.333,0.101166312,-0.994964083
Q88E35,Q88E35_PSEPK,Pp_4633,SMc04008-like domain-containing protein,PP_0812,R1,579683.4033,0.012201156,-1.913599016
Q88E35,Q88E35_PSEPK,Pp_4633,SMc04008-like domain-containing protein,PP_0812,R2,1305303,0.029349756,-1.532395512
Q88E35,Q88E35_PSEPK,Pp_4633,SMc04008-like domain-containing protein,PP_0812,R3,736924.5667,0.014862844,-1.827898086
Q88E40,Q88E40_PSEPK,Pp_4628,Flavodoxin-like domain-containing protein,PP_0812,R1,1219185.037,0.025661364,-1.590720259
Q88E40,Q88E40_PSEPK,Pp_4628,Flavodoxin-like domain-containing protein,PP_0812,R2,806269.4667,0.01812898,-1.741626635
Q88E40,Q88E40_PSEPK,Pp_4628,Flavodoxin-like domain-containing protein,PP_0812,R3,1109535.233,0.022377933,-1.650180022
Q88E47,HGD_PSEPK,Hmga,"Homogentisate 1,2-dioxygenase",PP_0812,R1,8674.11,0.000182572,-3.738564958
Q88E47,HGD_PSEPK,Hmga,"Homogentisate 1,2-dioxygenase",PP_0812,R2,14404.2,0.000323879,-3.489617705
Q88E47,HGD_PSEPK,Hmga,"Homogentisate 1,2-dioxygenase",PP_0812,R3,10591.7,0.000213621,-3.670355449
Q88E48,Q88E48_PSEPK,Hmgb,fumarylacetoacetase,PP_0812,R1,1053930.74,0.022183098,-1.653977811
Q88E48,Q88E48_PSEPK,Hmgb,fumarylacetoacetase,PP_0812,R2,19205.6,0.000431838,-3.364678968
Q88E48,Q88E48_PSEPK,Hmgb,fumarylacetoacetase,PP_0812,R3,1529682.233,0.030851771,-1.510719898
Q88E49,Q88E49_PSEPK,Hmgc,Maleylacetoacetate isomerase,PP_0812,R1,285941.4067,0.006018485,-2.220512834
Q88E49,Q88E49_PSEPK,Hmgc,Maleylacetoacetate isomerase,PP_0812,R2,376269.4667,0.008460424,-2.07260787
Q88E49,Q88E49_PSEPK,Hmgc,Maleylacetoacetate isomerase,PP_0812,R3,450394.4667,0.009083891,-2.041728074
Q88E75,Q88E75_PSEPK,Rnd,Ribonuclease D,PP_0812,R1,165852.0367,0.003490848,-2.457069074
Q88E75,Q88E75_PSEPK,Rnd,Ribonuclease D,PP_0812,R2,449122,0.010098514,-1.995742519
Q88E75,Q88E75_PSEPK,Rnd,Ribonuclease D,PP_0812,R3,198480.9,0.004003111,-2.3976024
Q88E77,Q88E77_PSEPK,Pp_4589,D-isomer specific 2-hydroxyacid dehydrogenase family protein,PP_0812,R1,82400.74,0.001734368,-2.760858771
Q88E77,Q88E77_PSEPK,Pp_4589,D-isomer specific 2-hydroxyacid dehydrogenase family protein,PP_0812,R2,162487.8,0.00365354,-2.437286089
Q88E77,Q88E77_PSEPK,Pp_4589,D-isomer specific 2-hydroxyacid dehydrogenase family protein,PP_0812,R3,70548.13333,0.001422867,-2.846835593
Q88E78,Q88E78_PSEPK,Pp_4588,Oxidoreductase (Nitroreductase family),PP_0812,R1,889253.7033,0.018716981,-1.7277642
Q88E78,Q88E78_PSEPK,Pp_4588,Oxidoreductase (Nitroreductase family),PP_0812,R2,1586666.667,0.035676221,-1.44762115
Q88E78,Q88E78_PSEPK,Pp_4588,Oxidoreductase (Nitroreductase family),PP_0812,R3,1596533,0.032200067,-1.492143221
Q88E83,Q88E83_PSEPK,Pp_4583,Peptidase,PP_0812,R1,381182.0367,0.008023106,-2.095657457
Q88E83,Q88E83_PSEPK,Pp_4583,Peptidase,PP_0812,R2,278058.4667,0.006252148,-2.203970724
Q88E83,Q88E83_PSEPK,Pp_4583,Peptidase,PP_0812,R3,360047.9,0.007261714,-2.138960838
Q88E89,PXPA2_PSEPK,Pxpa2,5-oxoprolinase subunit A 2,PP_0812,R1,8674.11,0.000182572,-3.738564958
Q88E89,PXPA2_PSEPK,Pxpa2,5-oxoprolinase subunit A 2,PP_0812,R2,110207.4667,0.002478016,-2.605895829
Q88E89,PXPA2_PSEPK,Pxpa2,5-oxoprolinase subunit A 2,PP_0812,R3,197746.2333,0.003988293,-2.3992129
Q88E93,Q88E93_PSEPK,Pp_4573,"ATPase, AAA family",PP_0812,R1,795224,0.016737847,-1.776300404
Q88E93,Q88E93_PSEPK,Pp_4573,"ATPase, AAA family",PP_0812,R2,510989.4,0.011489604,-1.939694957
Q88E93,Q88E93_PSEPK,Pp_4573,"ATPase, AAA family",PP_0812,R3,1038469.667,0.02094463,-1.678927305
Q88E95,Q88E95_PSEPK,Cysk,Cysteine synthase,PP_0812,R1,3800000,0.079982268,-1.097006286
Q88E95,Q88E95_PSEPK,Cysk,Cysteine synthase,PP_0812,R2,2801468.067,0.062991047,-1.200721172
Q88E95,Q88E95_PSEPK,Cysk,Cysteine synthase,PP_0812,R3,4130000,0.083296918,-1.079371069
Q88E96,Q88E96_PSEPK,Pp_4570,Aspartyl/asparaginy/proline hydroxylase domain-containing protein,PP_0812,R1,1195658.333,0.025166175,-1.599182788
Q88E96,Q88E96_PSEPK,Pp_4570,Aspartyl/asparaginy/proline hydroxylase domain-containing protein,PP_0812,R2,750414.4,0.016873078,-1.772805689
Q88E96,Q88E96_PSEPK,Pp_4570,Aspartyl/asparaginy/proline hydroxylase domain-containing protein,PP_0812,R3,1085159,0.021886295,-1.659827744
Q88EA3,Q88EA3_PSEPK,Pp_4563,S1 motif domain-containing protein,PP_0812,R1,1125782.74,0.023695436,-1.625335297
Q88EA3,Q88EA3_PSEPK,Pp_4563,S1 motif domain-containing protein,PP_0812,R2,667571.4667,0.015010353,-1.823609082
Q88EA3,Q88EA3_PSEPK,Pp_4563,S1 motif domain-containing protein,PP_0812,R3,270284.3667,0.005451297,-2.263500194
Q88EA4,Q88EA4_PSEPK,Pp_4562,Uncharacterized protein,PP_0812,R1,662789.37,0.013950368,-1.855414348
Q88EA4,Q88EA4_PSEPK,Pp_4562,Uncharacterized protein,PP_0812,R2,635567.0667,0.014290734,-1.844945463
Q88EA4,Q88EA4_PSEPK,Pp_4562,Uncharacterized protein,PP_0812,R3,253761.4667,0.00511805,-2.290895445
Q88EB1,Q88EB1_PSEPK,Pp_4555,YCII-related domain-containing protein,PP_0812,R1,691691.0367,0.014558689,-1.836877735
Q88EB1,Q88EB1_PSEPK,Pp_4555,YCII-related domain-containing protein,PP_0812,R2,1068372.4,0.024022368,-1.619384188
Q88EB1,Q88EB1_PSEPK,Pp_4555,YCII-related domain-containing protein,PP_0812,R3,1069039.9,0.021561193,-1.666327205
Q88EB2,Q88EB2_PSEPK,Pp_4554,Activator of Hsp90 ATPase homologue 1-like C-terminal domain-containing protein,PP_0812,R1,1708174.703,0.035953602,-1.444257597
Q88EB2,Q88EB2_PSEPK,Pp_4554,Activator of Hsp90 ATPase homologue 1-like C-terminal domain-containing protein,PP_0812,R2,773705.8,0.017396785,-1.759530995
Q88EB2,Q88EB2_PSEPK,Pp_4554,Activator of Hsp90 ATPase homologue 1-like C-terminal domain-containing protein,PP_0812,R3,867044.9,0.017487208,-1.757279532
Q88EB4,Q88EB4_PSEPK,Pp_4552,MaoC-like domain-containing protein,PP_0812,R1,798098.7033,0.016798354,-1.774733278
Q88EB4,Q88EB4_PSEPK,Pp_4552,MaoC-like domain-containing protein,PP_0812,R2,992286.7333,0.022311581,-1.651469663
Q88EB4,Q88EB4_PSEPK,Pp_4552,MaoC-like domain-containing protein,PP_0812,R3,947061.1333,0.019101035,-1.718943106
Q88EB6,Q88EB6_PSEPK,Fadd-ii,Long-chain-fatty-acid--CoA ligase,PP_0812,R1,8674.11,0.000182572,-3.738564958
Q88EB6,Q88EB6_PSEPK,Fadd-ii,Long-chain-fatty-acid--CoA ligase,PP_0812,R2,14404.2,0.000323879,-3.489617705
Q88EB6,Q88EB6_PSEPK,Fadd-ii,Long-chain-fatty-acid--CoA ligase,PP_0812,R3,82382.46667,0.001661551,-2.779486329
Q88EB7,Q88EB7_PSEPK,Fadd-i,Long-chain-fatty-acid--CoA ligase,PP_0812,R1,1421285.667,0.029915171,-1.524108507
Q88EB7,Q88EB7_PSEPK,Fadd-i,Long-chain-fatty-acid--CoA ligase,PP_0812,R2,632828.4,0.014229155,-1.846820887
Q88EB7,Q88EB7_PSEPK,Fadd-i,Long-chain-fatty-acid--CoA ligase,PP_0812,R3,1321665.333,0.026656331,-1.574199621
Q88EC0,Q88EC0_PSEPK,Hrpa,ATP-dependent helicase HrpA,PP_0812,R1,1513333.333,0.031852587,-1.496855285
Q88EC0,Q88EC0_PSEPK,Hrpa,ATP-dependent helicase HrpA,PP_0812,R2,1008134.733,0.022667923,-1.64458827
Q88EC0,Q88EC0_PSEPK,Hrpa,ATP-dependent helicase HrpA,PP_0812,R3,1523333.333,0.030723722,-1.512526175
Q88EC1,Q88EC1_PSEPK,Pp_4545,Beta-ketodecanoyl-(Acyl-carrier-protein) synthase,PP_0812,R1,2146666.667,0.045182965,-1.34502527
Q88EC1,Q88EC1_PSEPK,Pp_4545,Beta-ketodecanoyl-(Acyl-carrier-protein) synthase,PP_0812,R2,1886666.667,0.042421725,-1.372411671
Q88EC1,Q88EC1_PSEPK,Pp_4545,Beta-ketodecanoyl-(Acyl-carrier-protein) synthase,PP_0812,R3,2370000,0.047799926,-1.320572774
Q88EC4,Q88EC4_PSEPK,Pp_4542,"ABC transporter, ATP-binding protein/permease protein",PP_0812,R1,194902.4367,0.0041023,-2.386972614
Q88EC4,Q88EC4_PSEPK,Pp_4542,"ABC transporter, ATP-binding protein/permease protein",PP_0812,R2,14404.2,0.000323879,-3.489617705
Q88EC4,Q88EC4_PSEPK,Pp_4542,"ABC transporter, ATP-binding protein/permease protein",PP_0812,R3,232154.0333,0.004682256,-2.329544887
Q88EC5,Q88EC5_PSEPK,Ppia,Peptidyl-prolyl cis-trans isomerase,PP_0812,R1,165700.37,0.003487656,-2.457466405
Q88EC5,Q88EC5_PSEPK,Ppia,Peptidyl-prolyl cis-trans isomerase,PP_0812,R2,481041,0.010816213,-1.965924754
Q88EC5,Q88EC5_PSEPK,Ppia,Peptidyl-prolyl cis-trans isomerase,PP_0812,R3,208389.9,0.004202963,-2.376444454
Q88EC7,Q88EC7_PSEPK,Pp_4539,"Transcriptional regulator, LysR family",PP_0812,R1,131319.7767,0.002764014,-2.558459747
Q88EC7,Q88EC7_PSEPK,Pp_4539,"Transcriptional regulator, LysR family",PP_0812,R2,80984.86667,0.001820946,-2.739702976
Q88EC7,Q88EC7_PSEPK,Pp_4539,"Transcriptional regulator, LysR family",PP_0812,R3,83780.03333,0.001689738,-2.772180591
Q88ED2,Q88ED2_PSEPK,Mscmb,Mechanosensitive channel of miniconductance,PP_0812,R1,8674.11,0.000182572,-3.738564958
Q88ED2,Q88ED2_PSEPK,Mscmb,Mechanosensitive channel of miniconductance,PP_0812,R2,14404.2,0.000323879,-3.489617705
Q88ED2,Q88ED2_PSEPK,Mscmb,Mechanosensitive channel of miniconductance,PP_0812,R3,10591.7,0.000213621,-3.670355449
Q88ED3,Q88ED3_PSEPK,Srmb,ATP-dependent DEAD-box RNA helicase require for 50S ribosomal subunit biogenesis,PP_0812,R1,2769558.037,0.058293561,-1.234379413
Q88ED3,Q88ED3_PSEPK,Srmb,ATP-dependent DEAD-box RNA helicase require for 50S ribosomal subunit biogenesis,PP_0812,R2,1924801.4,0.043279185,-1.363720922
Q88ED3,Q88ED3_PSEPK,Srmb,ATP-dependent DEAD-box RNA helicase require for 50S ribosomal subunit biogenesis,PP_0812,R3,2580197.233,0.052039341,-1.283668215
Q88EE6,Q88EE6_PSEPK,Tolc,Agglutination protein,PP_0812,R1,1445351.037,0.030421698,-1.516816545
Q88EE6,Q88EE6_PSEPK,Tolc,Agglutination protein,PP_0812,R2,2241468.067,0.05039944,-1.297574292
Q88EE6,Q88EE6_PSEPK,Tolc,Agglutination protein,PP_0812,R3,2593333.333,0.052304279,-1.281462778
Q88EE8,Q88EE8_PSEPK,Pp_4517,YecA family protein,PP_0812,R1,1893333.333,0.039850814,-1.399562802
Q88EE8,Q88EE8_PSEPK,Pp_4517,YecA family protein,PP_0812,R2,1101468.067,0.024766524,-1.606134937
Q88EE8,Q88EE8_PSEPK,Pp_4517,YecA family protein,PP_0812,R3,2023333.333,0.040808094,-1.389253684
Q88EE9,Q88EE9_PSEPK,Recq,ATP-dependent DNA helicase RecQ,PP_0812,R1,326250.4067,0.006866907,-2.163238821
Q88EE9,Q88EE9_PSEPK,Recq,ATP-dependent DNA helicase RecQ,PP_0812,R2,166631.3333,0.003746708,-2.426350179
Q88EE9,Q88EE9_PSEPK,Recq,ATP-dependent DNA helicase RecQ,PP_0812,R3,232132.4667,0.004681821,-2.329585234
Q88EF9,Q88EF9_PSEPK,Pp_4506,Putative NAD(P)H nitroreductase,PP_0812,R1,1990052.667,0.041886559,-1.377925313
Q88EF9,Q88EF9_PSEPK,Pp_4506,Putative NAD(P)H nitroreductase,PP_0812,R2,2633333.333,0.059210535,-1.227601011
Q88EF9,Q88EF9_PSEPK,Pp_4506,Putative NAD(P)H nitroreductase,PP_0812,R3,2045406.667,0.041253286,-1.384541453
Q88EG2,Q88EG2_PSEPK,Pp_4503,DNA-binding response regulator,PP_0812,R1,136262.4067,0.002868046,-2.542413828
Q88EG2,Q88EG2_PSEPK,Pp_4503,DNA-binding response regulator,PP_0812,R2,14404.2,0.000323879,-3.489617705
Q88EG2,Q88EG2_PSEPK,Pp_4503,DNA-binding response regulator,PP_0812,R3,10591.7,0.000213621,-3.670355449
Q88EG5,Q88EG5_PSEPK,Ycio,Maturation enzyme,PP_0812,R1,665782.74,0.014013372,-1.853457351
Q88EG5,Q88EG5_PSEPK,Ycio,Maturation enzyme,PP_0812,R2,886709.7333,0.01993768,-1.700325372
Q88EG5,Q88EG5_PSEPK,Ycio,Maturation enzyme,PP_0812,R3,1180684.233,0.023812919,-1.623187356
Q88EH0,D2HDH_PSEPK,Ydij,D-2-hydroxyglutarate dehydrogenase,PP_0812,R1,399511.7033,0.008408908,-2.075260377
Q88EH0,D2HDH_PSEPK,Ydij,D-2-hydroxyglutarate dehydrogenase,PP_0812,R2,286821.4667,0.006449185,-2.190495196
Q88EH0,D2HDH_PSEPK,Ydij,D-2-hydroxyglutarate dehydrogenase,PP_0812,R3,641529,0.012938835,-1.888104827
