Protein.Group,Protein.Names,Protein,Protein.Description,%_of protein_abundance_Top3-method,Rank
Q88PN7,Q88PN7_PSEPK,Cyoa,"Cytochrome o ubiquinol oxidase, subunit II",0.067505941,268.0
Q88NM1,Q88NM1_PSEPK,Phop,Transcriptional regulatory protein PhoP,0.06735046344444445,269.0
Q88KJ0,CLPP_PSEPK,Clpp,ATP-dependent Clp protease proteolytic subunit,0.06648565072222222,270.0
Q88DK3,PUR9_PSEPK,Purh,Bifunctional purine biosynthesis protein PurH,0.06630267633333334,271.0
Q88PL2,Q88PL2_PSEPK,Suhb,Extragenic suppressor protein SuhB,0.06602088405555556,272.0
Q88PU7,MQO1_PSEPK,Mqo1,Probable malate:quinone oxidoreductase 1,0.06597069616666668,273.0
Q877U6,Q877U6_PSEPK,Pp_1157,"Acetolactate synthase, catabolic, putative",0.06556043616666668,274.0
Q88E95,Q88E95_PSEPK,Cysk,Cysteine synthase,0.06536272283333333,275.0
Q88KI6,Q88KI6_PSEPK,Pp_2304,Peptidylprolyl isomerase,0.065189664,276.0
Q88NC1,Q88NC1_PSEPK,Pp_1291,PhoH family protein,0.06517343083333332,277.0
Q88P88,MURA_PSEPK,Mura,UDP-N-acetylglucosamine 1-carboxyvinyltransferase,0.06504428627777778,278.0
Q88FS2,Q88FS2_PSEPK,Icd,Isocitrate dehydrogenase [NADP],0.06485486261111112,279.0
Q88N87,Q88N87_PSEPK,Pp_1325,"Lipoprotein, putative",0.06474114444444444,280.0
Q88GX7,Q88GX7_PSEPK,Tyrb-2,Aromatic-amino-acid aminotransferase,0.06463137488888888,281.0
Q88PN6,Q88PN6_PSEPK,Cyob,"Cytochrome o ubiquinol oxidase, subunit I",0.06458160305555555,282.0
Q88PU5,Q88PU5_PSEPK,Pp_0753,"Lipoprotein, putative",0.06457760716666666,283.0
Q88QL5,Q88QL5_PSEPK,Secy,Protein translocase subunit SecY,0.06450814033333334,284.0
Q88LE4,Q88LE4_PSEPK,Asd,Aspartate-semialdehyde dehydrogenase,0.06417278377777777,285.0
Q88DU5,CARA_PSEPK,Cara,Carbamoyl-phosphate synthase small chain,0.06400080455555555,286.0
Q88GM8,Q88GM8_PSEPK,Pp_3693,"Transcriptional regulator MvaT, P16 subunit, putative",0.06399296966666666,287.0
P59618,ARLY_PSEPK,Argh,Argininosuccinate lyase,0.06362222205555555,288.0
Q88MY8,Q88MY8_PSEPK,Algy,"Alginate biosynthesis negative regulator, serine protease AlgY",0.06352316277777777,289.0
Q88LD9,ACCD_PSEPK,Accd,Acetyl-coenzyme A carboxylase carboxyl transferase subunit beta,0.06332481611111111,290.0
Q88FT2,SYS_PSEPK,Sers,Serine--tRNA ligase,0.06314315172222222,291.0
Q88FC3,Q88FC3_PSEPK,Fabb,3-oxoacyl-(Acyl-carrier-protein) synthase I,0.06292793255555557,292.0
Q88D60,METK_PSEPK,Metk,S-adenosylmethionine synthase,0.06279425444444445,293.0
Q88NV7,SYM_PSEPK,Metg,Methionine--tRNA ligase,0.06260077455555556,294.0
Q88QD6,Q88QD6_PSEPK,Accc-1,"Acetyl-CoA carboxylase, biotin carboxylase",0.06204532399999999,295.0
Q88EQ6,YCGR_PSEPK,Ycgr,Flagellar brake protein YcgR,0.06189777961111112,296.0
P59612,ARGJ_PSEPK,Argj,Arginine biosynthesis bifunctional protein ArgJ,0.061771390888888895,297.0
Q88BX5,ATPE_PSEPK,Atpc,ATP synthase epsilon chain,0.061747343611111116,298.0
Q88P91,Q88P91_PSEPK,Ttg2d,Toluene-tolerance protein,0.06147825916666667,299.0
Q88FH5,NUOCD_PSEPK,Nuoc,NADH-quinone oxidoreductase subunit C/D,0.06147493772222222,300.0
Q88RB9,DAVT_PSEPK,Davt,5-aminovalerate aminotransferase DavT,0.061114478722222226,301.0
Q88QR6,TRPC_PSEPK,Trpc,Indole-3-glycerol phosphate synthase,0.061038901333333326,302.0
Q88D48,Q88D48_PSEPK,Rhle,ATP-dependent RNA helicase RhlE,0.060846005611111115,303.0
Q88P54,Q88P54_PSEPK,Arcc,Carbamate kinase,0.060521796777777775,304.0
P59319,ARGD_PSEPK,Argd,Acetylornithine aminotransferase,0.06008978716666666,305.0
Q88PL5,Q88PL5_PSEPK,Secd,Protein translocase subunit SecD,0.060023774888888895,306.0
Q88MA9,PUR5_PSEPK,Purm,Phosphoribosylformylglycinamidine cyclo-ligase,0.05989748577777777,307.0
Q88DA5,THIC_PSEPK,Thic,Phosphomethylpyrimidine synthase,0.05989181244444444,308.0
Q88GQ6,Q88GQ6_PSEPK,Pp_3662,Decarboxylase family protein,0.059844073722222224,309.0
Q88EH7,Q88EH7_PSEPK,Pp_4486,"Basic amino acid ABC transporter, periplasmic basic amino acid-binding protein",0.05945331444444445,310.0
Q88QS1,Q88QS1_PSEPK,Trpe,"Anthranilate synthase, component I",0.059191866277777776,311.0
Q88M42,Q88M42_PSEPK,Mind,Site-determining protein,0.059042543499999996,312.0
Q88LB8,Q88LB8_PSEPK,Pepn,Aminopeptidase N,0.058915932000000004,313.0
Q88E10,MCPS_PSEPK,Mcps,Methyl-accepting chemotaxis protein McpS,0.058861000222222216,314.0
Q88M00,Q88M00_PSEPK,Pp_1776,Mannose-6-phosphate isomerase/mannose-1-phosphate guanylyltransferase,0.05877507972222223,315.0
Q88PK8,ISCS_PSEPK,Iscs,Cysteine desulfurase IscS,0.05853820966666666,316.0
Q88Q14,Q88Q14_PSEPK,Fklb-1,Peptidyl-prolyl cis-trans isomerase,0.05850796383333333,317.0
Q88NA9,CYSD_PSEPK,Cysd,Sulfate adenylyltransferase subunit 2,0.0581460248888889,318.0
Q88DD5,Q88DD5_PSEPK,Hflk,HflK protein,0.058109717944444444,319.0
Q88P87,HIS1_PSEPK,Hisg,ATP phosphoribosyltransferase,0.05793332227777778,320.0
Q88FC0,Q88FC0_PSEPK,Pp_4178,Dienelactone hydrolase family protein,0.05791057983333333,321.0
Q88M05,Q88M05_PSEPK,Pp_1770,3-phosphoshikimate 1-carboxyvinyltransferase,0.057794585833333335,322.0
Q88DY4,Q88DY4_PSEPK,Pp_4684,Uncharacterized protein,0.057659301333333336,323.0
Q88EE8,Q88EE8_PSEPK,Pp_4517,Uncharacterized protein,0.057632402111111106,324.0
P0A173,TOLB_PSEPK,Tolb,Protein TolB,0.05725054833333333,325.0
Q88QQ6,ARGC1_PSEPK,Argc1,N-acetyl-gamma-glutamyl-phosphate reductase 1,0.05695835638888888,326.0
Q88GA4,Q88GA4_PSEPK,Galu,UTP--glucose-1-phosphate uridylyltransferase,0.05653090655555556,327.0
Q88MU0,Q88MU0_PSEPK,Pp_1478,"Xenobiotic reductase, putative",0.05648816666666666,328.0
Q88NR4,Q88NR4_PSEPK,Brac,"Branched-chain amino acid ABC transporter, periplasmic amino acid-binding protein",0.05600929311111111,329.0
Q88P86,HIS8_PSEPK,Hisc,Histidinol-phosphate aminotransferase,0.05595333616666667,330.0
Q88K22,SYFB_PSEPK,Phet,Phenylalanine--tRNA ligase beta subunit,0.05528540261111111,331.0
Q88NM8,Q88NM8_PSEPK,Nrda,Ribonucleoside-diphosphate reductase,0.055247622277777776,332.0
Q88KF5,Q88KF5_PSEPK,Pp_2335,Citrate synthase,0.05512595122222222,333.0
Q88M08,Q88M08_PSEPK,Gyra,DNA gyrase subunit A,0.05444522727777778,334.0
Q88RN3,Q88RN3_PSEPK,Prlc,Oligopeptidase A,0.05397187638888889,335.0
Q88DB8,Q88DB8_PSEPK,Serb,Phosphoserine phosphatase,0.053919083388888886,336.0
Q88PJ6,SYH_PSEPK,Hiss,Histidine--tRNA ligase,0.05372588088888889,337.0
Q88MU8,Q88MU8_PSEPK,Hom,Homoserine dehydrogenase,0.053560292055555556,338.0
Q88Q18,Q88Q18_PSEPK,Pp_0680,"ATP-dependent protease, putative",0.05348467288888889,339.0
Q88RW2,Q88RW2_PSEPK,Pp_0017,"Transcriptional regulator MvaT, P16 subunit, putative",0.053181537833333334,340.0
Q88CQ7,COAD_PSEPK,Coad,Phosphopantetheine adenylyltransferase,0.05310198338888889,341.0
P59400,HISX_PSEPK,Hisd,Histidinol dehydrogenase,0.05302429727777778,342.0
Q88Q08,OBG_PSEPK,Obg,GTPase Obg,0.05270591711111111,343.0
Q88PT5,Q88PT5_PSEPK,Pp_0763,Medium-chain-fatty-acid CoA ligase,0.052646799333333334,344.0
Q88R76,Q88R76_PSEPK,Pp_0258,LysM domain protein,0.05251257138888889,345.0
Q88FH3,Q88FH3_PSEPK,Nuof,"NADH dehydrogenase I, F subunit",0.052364427722222225,346.0
Q88CY1,Q88CY1_PSEPK,Ntrc,Two-component response regulator NtrC,0.052247866999999996,347.0
Q88PL6,Q88PL6_PSEPK,Yajc,"Preprotein translocase, YajC subunit",0.05198723711111111,348.0
Q88LZ3,Q88LZ3_PSEPK,Rmla,Glucose-1-phosphate thymidylyltransferase,0.05196102655555555,349.0
Q88K52,Q88K52_PSEPK,Ahpc,"Alkyl hydroperoxide reductase, C subunit",0.05179534583333333,350.0
Q88KF6,Q88KF6_PSEPK,Prpb,2-methylisocitrate lyase,0.05165623927777777,351.0
Q88CV5,Q88CV5_PSEPK,Gltd,"Glutamate synthase, small subunit",0.05165131455555556,352.0
Q88IT6,Q88IT6_PSEPK,Hemb-1,Delta-aminolevulinic acid dehydratase,0.05163821427777778,353.0
Q88MX5,Q88MX5_PSEPK,Lon-1,Lon protease,0.05160748961111111,354.0
Q88M07,SERC_PSEPK,Serc,Phosphoserine aminotransferase,0.05150337966666667,355.0
Q88DL6,Q88DL6_PSEPK,Rsfs,Ribosomal silencing factor RsfS,0.05141309716666667,356.0
Q88M55,Q88M55_PSEPK,Prc,Tail-specific protease prc,0.051391094944444445,357.0
Q88D52,Q88D52_PSEPK,Pp_4975,Long-chain acyl-CoA thioester hydrolase family protein,0.051269177444444446,358.0
Q88CR2,Q88CR2_PSEPK,Pp_5118,"Thiosulfate sulfurtransferase, putative",0.05103405694444444,359.0
Q88NW7,PYRC_PSEPK,Pyrc,Dihydroorotase,0.05094031977777777,360.0
Q88MD8,Q88MD8_PSEPK,Pp_1635,DNA-binding response regulator,0.05071223594444444,361.0
Q88PJ4,Q88PJ4_PSEPK,Bamb,Outer membrane protein assembly factor BamB,0.05063264888888889,362.0
Q88C92,PYRE_PSEPK,Pyre,Orotate phosphoribosyltransferase,0.050573757999999996,363.0
Q88NA1,SYW_PSEPK,Trps,Tryptophan--tRNA ligase,0.050428502944444446,364.0
Q88RK0,Q88RK0_PSEPK,Pp_0129,GGDEF domain protein,0.0502852475,365.0
Q88QK8,Q88QK8_PSEPK,Pp_0482,Ferroxidase,0.050230922444444444,366.0
Q88FF8,CHRR_PSEPK,Pp_4138,Chromate reductase,0.05012406227777778,367.0
Q88PU8,Q88PU8_PSEPK,Pp_0750,Uncharacterized protein,0.049942438888888885,368.0
Q88ED3,Q88ED3_PSEPK,Pp_4532,"ATP-dependent RNA helicase, DEAD box family",0.04985482783333333,369.0
Q88N72,Q88N72_PSEPK,Ftsa,Cell division protein ftsA,0.049654079722222216,370.0
Q88DM3,Y4802_PSEPK,Pp_4802,UPF0250 protein PP_4802,0.04942053944444444,371.0
Q88PX9,Q88PX9_PSEPK,Ychf,Ribosome-binding ATPase YchF,0.04920995394444445,372.0
Q88FS5,Q88FS5_PSEPK,Clpa,"ATP-dependent Clp protease, ATP-binding subunit ClpA",0.049195920444444444,373.0
Q88DV3,GLMM_PSEPK,Glmm,Phosphoglucosamine mutase,0.04907662911111111,374.0
Q88KG3,Q88KG3_PSEPK,Cysb,Transcriptional regulator CysB,0.04906102466666667,375.0
Q88F95,Q88F95_PSEPK,Pp_4203,"Electron transfer flavoprotein-ubiquinone oxidoreductase, putative",0.04870499927777778,376.0
Q88MI3,Q88MI3_PSEPK,Pp_1588,"Aminotransferase, class I",0.04844973494444445,377.0
Q88C82,RPOZ_PSEPK,Rpoz,DNA-directed RNA polymerase subunit omega,0.048335728555555554,378.0
Q88CJ7,Q88CJ7_PSEPK,Pp_5183,"Glutamine synthetase, putative",0.048310448944444445,379.0
Q88MR7,Q88MR7_PSEPK,Pp_1502,OmpA family protein,0.04826187155555556,380.0
Q88R52,Q88R52_PSEPK,Pp_0282,"Amino acid ABC transporter, periplasmic amino acid-binding protein",0.04772354911111111,381.0
Q88DE6,Q88DE6_PSEPK,Vacb,Ribonuclease R,0.04770229755555556,382.0
Q88MH2,Q88MH2_PSEPK,Bama,Outer membrane protein assembly factor BamA,0.04754803788888889,383.0
Q88DX5,Q88DX5_PSEPK,Dksa,RNA polymerase-binding transcription factor DksA,0.04749534111111112,384.0
Q88L40,PYRD_PSEPK,Pyrd,Dihydroorotate dehydrogenase (quinone),0.04748746577777777,385.0
Q88QH7,Q88QH7_PSEPK,Ribba-1,"3,4-dihydroxy-2-butanone 4-phosphate synthase",0.04748209716666667,386.0
Q88C47,Q88C47_PSEPK,Pure,N5-carboxyaminoimidazole ribonucleotide mutase,0.047180118722222227,387.0
Q88FH6,NUOB_PSEPK,Nuob,NADH-quinone oxidoreductase subunit B,0.047069445111111115,388.0
Q88GF9,Q88GF9_PSEPK,Pp_3765,"Transcriptional regulator MvaT, P16 subunit, putative",0.04705557255555556,389.0
Q88QT4,SURA_PSEPK,Sura,Chaperone SurA,0.0470409535,390.0
Q88CX4,GPMI_PSEPK,Gpmi,"2,3-bisphosphoglycerate-independent phosphoglycerate mutase",0.04692124322222222,391.0
Q88KM5,FOLD2_PSEPK,Fold2,Bifunctional protein FolD 2,0.04682717511111111,392.0
Q88D30,PYRB_PSEPK,Pyrb,Aspartate carbamoyltransferase,0.04667808622222222,393.0
Q88PA8,Q88PA8_PSEPK,Pmba,PmbA protein,0.046630154388888886,394.0
Q88R81,HSLO_PSEPK,Hslo,33 kDa chaperonin,0.04659287933333334,395.0
Q88QR7,TRPD_PSEPK,Trpd,Anthranilate phosphoribosyltransferase,0.04638738866666667,396.0
Q88R87,Q88R87_PSEPK,Ompr-1,DNA-binding response regulator OmpR,0.04619352561111111,397.0
Q88N93,Q88N93_PSEPK,Petc,"Ubiquinol--cytochrome c reductase, cytochrome c1",0.04615266177777778,398.0
Q88MB8,Q88MB8_PSEPK,Rela,GTP pyrophosphokinase,0.04614211838888889,399.0
Q88CI8,GCSH2_PSEPK,Gcvh2,Glycine cleavage system H protein 2,0.04599014377777778,400.0
Q88ME7,MUTS_PSEPK,Muts,DNA mismatch repair protein MutS,0.045933390666666664,401.0
P0A140,YIDC_PSEPK,Yidc,Membrane protein insertase YidC,0.045828002722222226,402.0
Q88ET0,Q88ET0_PSEPK,Fleq,Transcriptional regulator FleQ,0.04577592361111111,403.0
Q88CI0,Y5201_PSEPK,Pp_5201,UPF0149 protein PP_5201,0.04561403716666666,404.0
Q88NA3,Q88NA3_PSEPK,Pp_1309,Uncharacterized protein,0.045594859055555555,405.0
Q88P42,Q88P42_PSEPK,Glk,Glucokinase,0.045529268666666664,406.0
Q88PS5,Q88PS5_PSEPK,Pp_0773,OmpA family protein,0.04454612372222222,407.0
Q88JK1,Q88JK1_PSEPK,Pp_2648,Universal stress protein family,0.044500717111111115,408.0
Q88HC7,Q88HC7_PSEPK,Hpd,4-hydroxyphenylpyruvate dioxygenase,0.04443493766666667,409.0
Q88QR8,Q88QR8_PSEPK,Trpg,"Anthranilate synthase, component II",0.04424272188888889,410.0
Q88LL7,Q88LL7_PSEPK,Fabd,Malonyl CoA-acyl carrier protein transacylase,0.04413646372222222,411.0
Q88FA5,Q88FA5_PSEPK,Sdhc,"Succinate dehydrogenase, cytochrome b556 subunit",0.04412782005555556,412.0
Q88NH1,Q88NH1_PSEPK,Pp_1238,"Lipoprotein, putative",0.04386451833333333,413.0
Q88MG4,ACCA_PSEPK,Acca,Acetyl-coenzyme A carboxylase carboxyl transferase subunit alpha,0.04385859961111111,414.0
Q88L55,Q88L55_PSEPK,Pp_2080,Uncharacterized protein,0.04380116522222222,415.0
Q88FA6,Q88FA6_PSEPK,Sdhd,"Succinate dehydrogenase, hydrophobic membrane anchor protein",0.04361422194444445,416.0
Q88RE2,Q88RE2_PSEPK,Hemy,HemY protein,0.0434279715,417.0
Q88DI4,Q88DI4_PSEPK,Pp_4841,"Branched-chain amino acid ABC transporter, periplasmic amino acid-binding protein, putative",0.04336422477777777,418.0
Q88QQ2,SYY_PSEPK,Tyrs,Tyrosine--tRNA ligase,0.04328026166666667,419.0
Q88JG2,Q88JG2_PSEPK,Pp_2687,Uncharacterized protein,0.04320591872222222,420.0
Q88R98,Q88R98_PSEPK,Lsfa,Antioxidant protein LsfA,0.04304257244444445,421.0
Q88IU5,SYQ_PSEPK,Glns,Glutamine--tRNA ligase,0.04270632055555555,422.0
Q88DK2,PUR2_PSEPK,Purd,Phosphoribosylamine--glycine ligase,0.04269569377777778,423.0
Q88QU1,Q88QU1_PSEPK,Pp_0395,Uncharacterized protein,0.04258911033333333,424.0
Q88QS3,Q88QS3_PSEPK,Rpe,Ribulose-phosphate 3-epimerase,0.04250413577777778,425.0
Q88PL3,Q88PL3_PSEPK,Pp_0837,Uncharacterized protein,0.042469645388888894,426.0
Q88P67,Q88P67_PSEPK,Gcvt-1,Aminomethyltransferase,0.04213071766666667,427.0
Q88M72,RDGC_PSEPK,Rdgc,Recombination-associated protein RdgC,0.04153055388888889,428.0
Q88QK5,SSB_PSEPK,Ssb,Single-stranded DNA-binding protein,0.041323140055555554,429.0
Q88LF6,SYE_PSEPK,Gltx,Glutamate--tRNA ligase,0.04110627794444444,430.0
Q88NR0,RAPA_PSEPK,Rapa,RNA polymerase-associated protein RapA,0.04093794333333333,431.0
Q88GV6,Q88GV6_PSEPK,Pp_3611,Uncharacterized protein,0.04091945122222222,432.0
Q88MW1,PURT_PSEPK,Purt,Phosphoribosylglycinamide formyltransferase 2,0.040887449222222226,433.0
Q88BW9,ATPL_PSEPK,Atpe,ATP synthase subunit c,0.0408525135,434.0
Q88N95,Q88N95_PSEPK,Peta,Ubiquinol-cytochrome c reductase iron-sulfur subunit,0.04083136616666667,435.0
Q88D29,Q88D29_PSEPK,Pyrc,Dihydroorotase,0.040806470166666664,436.0
Q88Q11,Q88Q11_PSEPK,Ispb,Octylprenyl diphosphate synthase,0.04078253622222222,437.0
Q88H65,Q88H65_PSEPK,Pp_3496,Uncharacterized protein,0.04070356744444445,438.0
Q88LD4,Q88LD4_PSEPK,Metz,O-succinylhomoserine sulfhydrylase,0.040663376,439.0
Q88LZ0,Q88LZ0_PSEPK,Pp_1786,"Glycosyl transferase, putative",0.0406464015,440.0
Q99ZW2,CAS9_STRP1,Cas9,CRISPR-associated endonuclease Cas9/Csn1,0.040496008611111106,441.0
Q88PD7,Q88PD7_PSEPK,Pp_0913,Uncharacterized protein,0.040290029888888884,442.0
Q88PJ3,DER_PSEPK,Der,GTPase Der,0.040063448777777774,443.0
Q88P99,Q88P99_PSEPK,Pp_0953,"ABC transporter, ATP-binding protein, putative",0.04003709488888889,444.0
Q88N49,Q88N49_PSEPK,Puru-2,Formyltetrahydrofolate deformylase,0.03990353283333334,445.0
Q88I55,Q88I55_PSEPK,Pp_3146,"Oxidoreductase, putative",0.039850131571428575,446.0
Q88MY7,LEPA_PSEPK,Lepa,Elongation factor 4,0.039735736111111114,447.0
Q88PR2,Q88PR2_PSEPK,Trxb,Thioredoxin reductase,0.03968034933333334,448.0
Q88RW6,Q88RW6_PSEPK,Gyrb,DNA gyrase subunit B,0.03965546805555556,449.0
Q88DV8,RBFA_PSEPK,Rbfa,Ribosome-binding factor A,0.03963490733333333,450.0
Q88IU2,Q88IU2_PSEPK,Pp_2907,DNA-binding response regulator,0.039466791055555554,451.0
Q88GY7,Q88GY7_PSEPK,Pp_3578,"Phosphoglucomutase, alpha-D-glucose phosphate-specific",0.03942714011111111,452.0
Q88M06,Q88M06_PSEPK,Phea,Chorismate mutase/prephenate dehydratase,0.03928961472222223,453.0
Q88NF1,Q88NF1_PSEPK,Pp_1261,D-isomer specific 2-hydroxyacid dehydrogenase family protein,0.03917382861111111,454.0
Q88L30,Q88L30_PSEPK,Pp_2105,Uncharacterized protein,0.038874180499999994,455.0
Q88KG6,Q88KG6_PSEPK,Arof-1,Phospho-2-dehydro-3-deoxyheptonate aldolase,0.03880680122222222,456.0
Q88RW1,Q88RW1_PSEPK,Pp_0018,Uncharacterized protein,0.038804658166666665,457.0
Q88L51,RRAAH_PSEPK,Pp_2084,Putative 4-hydroxy-4-methyl-2-oxoglutarate aldolase,0.038733845277777776,458.0
Q88QV5,PQQB_PSEPK,Pqqb,Coenzyme PQQ synthesis protein B,0.038628240611111114,459.0
Q88EC1,Q88EC1_PSEPK,Pp_4545,"3-oxoacyl-(Acyl-carrier-protein) synthase III, putative",0.038469547,460.0
Q88NT3,Q88NT3_PSEPK,Pp_1121,OmpA family protein,0.03783036722222222,461.0
Q88CY8,Q88CY8_PSEPK,Glgp,"Alpha-1,4 glucan phosphorylase",0.03779553605555555,462.0
Q88CK0,Q88CK0_PSEPK,Potf-1,"Putrescine ABC transporter, periplasmic putrescine-binding protein",0.037788242944444446,463.0
Q88CM4,Q88CM4_PSEPK,Pp_5156,Uncharacterized protein,0.03776413361111111,464.0
Q88C48,Q88C48_PSEPK,Purk,N5-carboxyaminoimidazole ribonucleotide synthase,0.037747405,465.0
Q88CT5,Q88CT5_PSEPK,Proc-2,Pyrroline-5-carboxylate reductase,0.037657190888888886,466.0
Q88Q12,Q88Q12_PSEPK,Phna,PhnA protein,0.03758374955555556,467.0
Q88II0,Q88II0_PSEPK,Pp_3019,Carbon-nitrogen hydrolase family protein,0.037313604388888894,468.0
Q88LQ7,Q88LQ7_PSEPK,Pp_1872,"Aminotransferase, class I",0.03729831888888889,469.0
Q59692,FTSZ_PSEPK,Ftsz,Cell division protein FtsZ,0.03703405561111111,470.0
Q88PJ5,Q88PJ5_PSEPK,Pp_0855,Uncharacterized protein,0.03694365966666666,471.0
Q88FC9,GPDA_PSEPK,Gpsa,Glycerol-3-phosphate dehydrogenase [NAD(P)+],0.03681956905555556,472.0
Q88PB9,GATA_PSEPK,Gata,Glutamyl-tRNA(Gln) amidotransferase subunit A,0.03675060216666667,473.0
Q88GQ0,KATG_PSEPK,Katg,Catalase-peroxidase,0.03672480511111111,474.0
Q88EF9,Q88EF9_PSEPK,Pp_4506,Nitroreductase family protein,0.03660241488888889,475.0
Q88DF5,Q88DF5_PSEPK,Pp_4870,Azurin,0.036583012944444444,476.0
Q88MV7,Q88MV7_PSEPK,Ffh,Signal recognition particle protein,0.03643978922222222,477.0
Q88DP0,GSA_PSEPK,Heml,"Glutamate-1-semialdehyde 2,1-aminomutase",0.03639007711111111,478.0
Q88NH3,Q88NH3_PSEPK,Pp_1236,"Glycine cleavage system transcriptional repressor, putative",0.03639000328571429,479.0
Q88Q73,Q88Q73_PSEPK,Bamd,Outer membrane protein assembly factor BamD,0.036250999166666666,480.0
Q88L06,Q88L06_PSEPK,Pp_2131,"ABC transporter, ATP-binding protein",0.03621713766666666,481.0
Q88K23,SYFA_PSEPK,Phes,Phenylalanine--tRNA ligase alpha subunit,0.036098788388888886,482.0
P59560,Y1352_PSEPK,Pp_1352,UPF0234 protein PP_1352,0.03580754988888889,483.0
Q88F34,Q88F34_PSEPK,Anr,Transcriptional regulator Anr,0.03576872477777778,484.0
P59351,Y396_PSEPK,Pp_0396,UPF0229 protein PP_0396,0.035529814166666666,485.0
P0A126,IHFA_PSEPK,Ihfa,Integration host factor subunit alpha,0.03548578188888889,486.0
Q88RK2,Q88RK2_PSEPK,Pp_0127,Thiol:disulfide interchange protein,0.035338247611111116,487.0
Q88CX2,Q88CX2_PSEPK,Pp_5058,Carboxyl-terminal protease,0.035317261999999995,488.0
Q88PJ7,ISPG_PSEPK,Ispg,4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase (flavodoxin),0.03529478294444444,489.0
Q88LU7,AROC_PSEPK,Aroc,Chorismate synthase,0.03523768461111111,490.0
Q88EB4,Q88EB4_PSEPK,Phaj1,"Enoyl-CoA hydratase, R-specific",0.0349614595,491.0
Q88D31,Q88D31_PSEPK,Pyrr,Transcriptional regulator PyrR,0.034816809,492.0
Q88CS6,THIG_PSEPK,Thig,Thiazole synthase,0.03477574927777778,493.0
Q88D03,OPGG_PSEPK,Opgg,Glucans biosynthesis protein G,0.03477068966666667,494.0
Q88GI4,Q88GI4_PSEPK,Pp_3738,"Transcriptional regulator VanR, putative",0.03467514605555556,495.0
Q88KG2,Q88KG2_PSEPK,Cysh,Phosphoadenosine phosphosulfate reductase,0.034560584,496.0
Q88RD8,Q88RD8_PSEPK,Algp,Alginate regulatory protein AlgP,0.03442415744444444,497.0
Q88H69,Q88H69_PSEPK,Acda,Acyl-CoA dehydrogenase,0.03433872127777778,498.0
Q88CV2,AROB_PSEPK,Arob,3-dehydroquinate synthase,0.03426444994444444,499.0
Q88EE6,Q88EE6_PSEPK,Tolc,Agglutination protein,0.0341583755,500.0
Q88QE9,Q88QE9_PSEPK,Pp_0545,Aldehyde dehydrogenase family protein,0.0341186155,501.0
Q88IU4,SYC_PSEPK,Cyss,Cysteine--tRNA ligase,0.034112854222222225,502.0
Q88CF4,Q88CF4_PSEPK,Lysa-2,Diaminopimelate decarboxylase,0.03409905305555556,503.0
Q88H57,Q88H57_PSEPK,Cobw,Cobalamin biosynthesis protein CobW,0.03407836383333333,504.0
Q88CJ4,Q88CJ4_PSEPK,Pp_5187,Uncharacterized protein,0.03404109661111111,505.0
Q88CV3,Q88CV3_PSEPK,Pp_5077,Uncharacterized protein,0.034019687944444446,506.0
Q88CB6,XPT_PSEPK,Xpt,Xanthine phosphoribosyltransferase,0.03400009716666667,507.0
Q88QH5,NUSB_PSEPK,Nusb,N utilization substance protein B homolog,0.03396694211111111,508.0
Q88KC0,Q88KC0_PSEPK,Pp_2370,Uncharacterized protein,0.033926765944444444,509.0
Q88L02,FADB_PSEPK,Fadb,Fatty acid oxidation complex subunit alpha,0.03379819694444444,510.0
Q88DP5,Q88DP5_PSEPK,Amn,AMP nucleosidase,0.033698899944444444,511.0
Q88RE3,Q88RE3_PSEPK,Pp_0188,"Uroporphyrin-III C-methyltransferase, putative",0.033648069833333336,512.0
Q88PK7,Q88PK7_PSEPK,Iscu,Iron-sulfur cluster assembly scaffold protein IscU,0.033607173722222224,513.0
Q88D21,Q88D21_PSEPK,Pp_5007,Polyhydroxyalkanoate granule-associated protein GA2,0.03352395594444444,514.0
Q88PV2,UPP_PSEPK,Upp,Uracil phosphoribosyltransferase,0.033443125222222224,515.0
Q88CR9,Q88CR9_PSEPK,Ftsy,Signal recognition particle receptor FtsY,0.033400932555555554,516.0
Q88C91,Q88C91_PSEPK,Crc,Catabolite repression control protein,0.033330467833333335,517.0
Q88JG1,Q88JG1_PSEPK,Pp_2688,Uncharacterized protein,0.033234847666666664,518.0
Q88CN5,Q88CN5_PSEPK,Ptsp,Phosphoenolpyruvate-protein phosphotransferase PtsP,0.033161746,519.0
Q88EW2,Q88EW2_PSEPK,Chey,Chemotaxis protein CheY,0.033102557500000004,520.0
Q88LQ3,Q88LQ3_PSEPK,Pp_1876,Uncharacterized protein,0.033064333333333334,521.0
Q88M04,KCY_PSEPK,Cmk,Cytidylate kinase,0.03304394094444444,522.0
Q88PE1,Q88PE1_PSEPK,Pp_0909,Uncharacterized protein,0.033006085222222224,523.0
Q88PI2,Q88PI2_PSEPK,Pp_0868,"Glycine betaine/carnitine/choline ABC transporter, ATP-binding protein, putative",0.03298746066666666,524.0
Q88MI1,Q88MI1_PSEPK,Map,Methionine aminopeptidase,0.032965709333333336,525.0
Q88DM7,Q88DM7_PSEPK,Pp_4798,"Membrane-bound lytic murein transglycosylase, putative",0.03293844133333333,526.0
