Protein.Group,Protein.Names,Protein,Protein.Description,Sample,Replicate,Top_3pep_counts_mean,%_of protein_abundance_Top3-method,log10_%_abundance
Q88CB4,Q88CB4_PSEPK,Pp_5267,Cytochrome c5,PP_0368,R3,276085.66,0.005826034,-2.234626999
Q88CB4,Q88CB4_PSEPK,Pp_5267,Cytochrome c5,PP_0751,R1,23363.73333,0.0004668,-3.330869497
Q88CB4,Q88CB4_PSEPK,Pp_5267,Cytochrome c5,PP_0751,R2,10363.92,0.000216571,-3.664400515
Q88CB4,Q88CB4_PSEPK,Pp_5267,Cytochrome c5,PP_0751,R3,290598,0.006154466,-2.210809642
Q88CB4,Q88CB4_PSEPK,Pp_5267,Cytochrome c5,PP_0812,R1,37789.06667,0.000772467,-3.112120257
Q88CB4,Q88CB4_PSEPK,Pp_5267,Cytochrome c5,PP_0812,R2,33537.46667,0.000710543,-3.148409824
Q88CB4,Q88CB4_PSEPK,Pp_5267,Cytochrome c5,PP_0812,R3,313374.5,0.006673768,-2.175628874
Q88CB6,XPT_PSEPK,Xpt,Xanthine phosphoribosyltransferase,PP_0368,R1,1543601,0.032741324,-1.484903769
Q88CB6,XPT_PSEPK,Xpt,Xanthine phosphoribosyltransferase,PP_0368,R2,1636666.667,0.034022693,-1.468231308
Q88CB6,XPT_PSEPK,Xpt,Xanthine phosphoribosyltransferase,PP_0368,R3,1593333.333,0.033622948,-1.473364207
Q88CB6,XPT_PSEPK,Xpt,Xanthine phosphoribosyltransferase,PP_0751,R1,1583333.333,0.031634474,-1.499839383
Q88CB6,XPT_PSEPK,Xpt,Xanthine phosphoribosyltransferase,PP_0751,R2,1830000,0.038240761,-1.417473477
Q88CB6,XPT_PSEPK,Xpt,Xanthine phosphoribosyltransferase,PP_0751,R3,1593333.333,0.033744607,-1.471795621
Q88CB6,XPT_PSEPK,Xpt,Xanthine phosphoribosyltransferase,PP_0812,R1,981360,0.020060508,-1.69765807
Q88CB6,XPT_PSEPK,Xpt,Xanthine phosphoribosyltransferase,PP_0812,R2,740365.3667,0.015685776,-1.804493983
Q88CB6,XPT_PSEPK,Xpt,Xanthine phosphoribosyltransferase,PP_0812,R3,1410000,0.030028012,-1.522473416
Q88CB8,Q88CB8_PSEPK,Pp_5263,GGDEF domain protein,PP_0368,R1,475995.8,0.010096348,-1.995835699
Q88CB8,Q88CB8_PSEPK,Pp_5263,GGDEF domain protein,PP_0368,R2,496931.5333,0.010330112,-1.985894989
Q88CB8,Q88CB8_PSEPK,Pp_5263,GGDEF domain protein,PP_0368,R3,503299.9867,0.010620772,-1.97384393
Q88CB8,Q88CB8_PSEPK,Pp_5263,GGDEF domain protein,PP_0751,R1,361681.8667,0.007226284,-2.141085003
Q88CB8,Q88CB8_PSEPK,Pp_5263,GGDEF domain protein,PP_0751,R2,438515.2933,0.009163475,-2.037939823
Q88CB8,Q88CB8_PSEPK,Pp_5263,GGDEF domain protein,PP_0751,R3,277049.3333,0.005867524,-2.231545154
Q88CB8,Q88CB8_PSEPK,Pp_5263,GGDEF domain protein,PP_0812,R1,28341.8,0.00057935,-3.237058994
Q88CB8,Q88CB8_PSEPK,Pp_5263,GGDEF domain protein,PP_0812,R2,25153.1,0.000532907,-3.273348561
Q88CB8,Q88CB8_PSEPK,Pp_5263,GGDEF domain protein,PP_0812,R3,574154.3333,0.012227456,-1.912663881
Q88CC3,Q88CC3_PSEPK,Amab,aldehyde dehydrogenase (NAD(+)),PP_0368,R1,874664.5667,0.018552512,-1.731597287
Q88CC3,Q88CC3_PSEPK,Amab,aldehyde dehydrogenase (NAD(+)),PP_0368,R2,356931.5333,0.00741982,-2.129606628
Q88CC3,Q88CC3_PSEPK,Amab,aldehyde dehydrogenase (NAD(+)),PP_0368,R3,373299.9867,0.007877477,-2.103612875
Q88CC3,Q88CC3_PSEPK,Amab,aldehyde dehydrogenase (NAD(+)),PP_0751,R1,282846.8667,0.005651186,-2.247860366
Q88CC3,Q88CC3_PSEPK,Amab,aldehyde dehydrogenase (NAD(+)),PP_0751,R2,1085782.667,0.022689156,-1.644181662
Q88CC3,Q88CC3_PSEPK,Amab,aldehyde dehydrogenase (NAD(+)),PP_0751,R3,1005695.333,0.021299243,-1.671635828
Q88CC3,Q88CC3_PSEPK,Amab,aldehyde dehydrogenase (NAD(+)),PP_0812,R1,352227.8667,0.007200079,-2.14266271
Q88CC3,Q88CC3_PSEPK,Amab,aldehyde dehydrogenase (NAD(+)),PP_0812,R2,25153.1,0.000532907,-3.273348561
Q88CC3,Q88CC3_PSEPK,Amab,aldehyde dehydrogenase (NAD(+)),PP_0812,R3,360821,0.007684211,-2.114400723
Q88CE7,Q88CE7_PSEPK,Glnk,Activator of NRII(GlnL/NtrB) phosphatase,PP_0368,R1,8404788,0.178273973,-0.748912056
Q88CE7,Q88CE7_PSEPK,Glnk,Activator of NRII(GlnL/NtrB) phosphatase,PP_0368,R2,9137941.667,0.189957671,-0.721343164
Q88CE7,Q88CE7_PSEPK,Glnk,Activator of NRII(GlnL/NtrB) phosphatase,PP_0368,R3,9239983.327,0.194984612,-0.709999662
Q88CE7,Q88CE7_PSEPK,Glnk,Activator of NRII(GlnL/NtrB) phosphatase,PP_0751,R1,9158097,0.182975735,-0.737606499
Q88CE7,Q88CE7_PSEPK,Glnk,Activator of NRII(GlnL/NtrB) phosphatase,PP_0751,R2,8619257.647,0.180113098,-0.744454704
Q88CE7,Q88CE7_PSEPK,Glnk,Activator of NRII(GlnL/NtrB) phosphatase,PP_0751,R3,11424693.33,0.241959283,-0.616257712
Q88CE7,Q88CE7_PSEPK,Glnk,Activator of NRII(GlnL/NtrB) phosphatase,PP_0812,R1,8646113.933,0.17673987,-0.752665469
Q88CE7,Q88CE7_PSEPK,Glnk,Activator of NRII(GlnL/NtrB) phosphatase,PP_0812,R2,9109679.667,0.193002541,-0.714436972
Q88CE7,Q88CE7_PSEPK,Glnk,Activator of NRII(GlnL/NtrB) phosphatase,PP_0812,R3,9198180.333,0.195888703,-0.707990609
Q88CE8,Q88CE8_PSEPK,Amtb,Ammonium transporter,PP_0368,R1,1019329.133,0.021620992,-1.665124383
Q88CE8,Q88CE8_PSEPK,Amtb,Ammonium transporter,PP_0368,R2,1505007.433,0.031285788,-1.5046529
Q88CE8,Q88CE8_PSEPK,Amtb,Ammonium transporter,PP_0368,R3,1897149.333,0.040034155,-1.397569332
Q88CE8,Q88CE8_PSEPK,Amtb,Ammonium transporter,PP_0751,R1,1563283.933,0.031233894,-1.505373874
Q88CE8,Q88CE8_PSEPK,Amtb,Ammonium transporter,PP_0751,R2,1788884,0.037381576,-1.427342387
Q88CE8,Q88CE8_PSEPK,Amtb,Ammonium transporter,PP_0751,R3,1100358.267,0.023304074,-1.632568153
Q88CE8,Q88CE8_PSEPK,Amtb,Ammonium transporter,PP_0812,R1,1546113.933,0.031604947,-1.500244929
Q88CE8,Q88CE8_PSEPK,Amtb,Ammonium transporter,PP_0812,R2,737087.0667,0.01561632,-1.806421287
Q88CE8,Q88CE8_PSEPK,Amtb,Ammonium transporter,PP_0812,R3,1750410.5,0.037277552,-1.428552619
Q88CF0,Q88CF0_PSEPK,Had,(S)-2-haloacid dehalogenase,PP_0368,R1,731964,0.01552569,-1.808949098
Q88CF0,Q88CF0_PSEPK,Had,(S)-2-haloacid dehalogenase,PP_0368,R2,638552.4333,0.013274098,-1.876994981
Q88CF0,Q88CF0_PSEPK,Had,(S)-2-haloacid dehalogenase,PP_0368,R3,428526.3267,0.009042878,-2.043693341
Q88CF0,Q88CF0_PSEPK,Had,(S)-2-haloacid dehalogenase,PP_0751,R1,701391.9333,0.014013578,-1.853450971
Q88CF0,Q88CF0_PSEPK,Had,(S)-2-haloacid dehalogenase,PP_0751,R2,606123.98,0.012665925,-1.8973631
Q88CF0,Q88CF0_PSEPK,Had,(S)-2-haloacid dehalogenase,PP_0751,R3,875262.3333,0.018536852,-1.731964024
Q88CF0,Q88CF0_PSEPK,Had,(S)-2-haloacid dehalogenase,PP_0812,R1,574045.9333,0.011734382,-1.930539778
Q88CF0,Q88CF0_PSEPK,Had,(S)-2-haloacid dehalogenase,PP_0812,R2,451386.7,0.00956332,-2.019391319
Q88CF0,Q88CF0_PSEPK,Had,(S)-2-haloacid dehalogenase,PP_0812,R3,510214.8333,0.010865771,-1.963939448
Q88CF2,Q88CF2_PSEPK,Pp_5229,DUF484 family protein,PP_0368,R1,205511.1333,0.004359097,-2.360603466
Q88CF2,Q88CF2_PSEPK,Pp_5229,DUF484 family protein,PP_0368,R2,67572.53333,0.001404684,-2.852421344
Q88CF2,Q88CF2_PSEPK,Pp_5229,DUF484 family protein,PP_0368,R3,9949.98,0.000209967,-3.677848641
Q88CF2,Q88CF2_PSEPK,Pp_5229,DUF484 family protein,PP_0751,R1,183081.5333,0.003657908,-2.436767197
Q88CF2,Q88CF2_PSEPK,Pp_5229,DUF484 family protein,PP_0751,R2,118948.6267,0.002485621,-2.604565135
Q88CF2,Q88CF2_PSEPK,Pp_5229,DUF484 family protein,PP_0751,R3,823718.3333,0.017445221,-1.758323531
Q88CF2,Q88CF2_PSEPK,Pp_5229,DUF484 family protein,PP_0812,R1,28341.8,0.00057935,-3.237058994
Q88CF2,Q88CF2_PSEPK,Pp_5229,DUF484 family protein,PP_0812,R2,46085.1,0.000976384,-3.010379544
Q88CF2,Q88CF2_PSEPK,Pp_5229,DUF484 family protein,PP_0812,R3,506335.8333,0.010783162,-1.967253865
Q88CF4,Q88CF4_PSEPK,Lysa-ii,Diaminopimelate decarboxylase,PP_0368,R1,1284454,0.027244556,-1.564720264
Q88CF4,Q88CF4_PSEPK,Lysa-ii,Diaminopimelate decarboxylase,PP_0368,R2,1596666.667,0.033191182,-1.478977286
Q88CF4,Q88CF4_PSEPK,Lysa-ii,Diaminopimelate decarboxylase,PP_0368,R3,1523396,0.032147112,-1.492858038
Q88CF4,Q88CF4_PSEPK,Lysa-ii,Diaminopimelate decarboxylase,PP_0751,R1,1252507.6,0.025024686,-1.601631368
Q88CF4,Q88CF4_PSEPK,Lysa-ii,Diaminopimelate decarboxylase,PP_0751,R2,1282590.98,0.026801779,-1.571836385
Q88CF4,Q88CF4_PSEPK,Lysa-ii,Diaminopimelate decarboxylase,PP_0751,R3,1330771.333,0.028183905,-1.549998826
Q88CF4,Q88CF4_PSEPK,Lysa-ii,Diaminopimelate decarboxylase,PP_0812,R1,1397092,0.02855871,-1.544261417
Q88CF4,Q88CF4_PSEPK,Lysa-ii,Diaminopimelate decarboxylase,PP_0812,R2,746852.3667,0.015823213,-1.800705316
Q88CF4,Q88CF4_PSEPK,Lysa-ii,Diaminopimelate decarboxylase,PP_0812,R3,1538719.667,0.032769286,-1.484533024
Q88CF8,Q88CF8_PSEPK,Rnk,Regulator of nucleotide diphosphokinase,PP_0368,R1,18658.26667,0.000395761,-3.402567524
Q88CF8,Q88CF8_PSEPK,Rnk,Regulator of nucleotide diphosphokinase,PP_0368,R2,13863.06667,0.000288183,-3.540332233
Q88CF8,Q88CF8_PSEPK,Rnk,Regulator of nucleotide diphosphokinase,PP_0368,R3,291225.9933,0.006145529,-2.211440714
Q88CF8,Q88CF8_PSEPK,Rnk,Regulator of nucleotide diphosphokinase,PP_0751,R1,507583.2,0.010141344,-1.993904499
Q88CF8,Q88CF8_PSEPK,Rnk,Regulator of nucleotide diphosphokinase,PP_0751,R2,788486.3333,0.016476676,-1.783130397
Q88CF8,Q88CF8_PSEPK,Rnk,Regulator of nucleotide diphosphokinase,PP_0751,R3,1250534,0.026484589,-1.577006759
Q88CF8,Q88CF8_PSEPK,Rnk,Regulator of nucleotide diphosphokinase,PP_0812,R1,37789.06667,0.000772467,-3.112120257
Q88CF8,Q88CF8_PSEPK,Rnk,Regulator of nucleotide diphosphokinase,PP_0812,R2,33537.46667,0.000710543,-3.148409824
Q88CF8,Q88CF8_PSEPK,Rnk,Regulator of nucleotide diphosphokinase,PP_0812,R3,105302.6667,0.002242574,-2.649253159
Q88CG1,Q88CG1_PSEPK,Elbb,Glyoxalase,PP_0368,R1,542662.4667,0.011510415,-1.938909035
Q88CG1,Q88CG1_PSEPK,Elbb,Glyoxalase,PP_0368,R2,1020264.867,0.021209058,-1.673478613
Q88CG1,Q88CG1_PSEPK,Elbb,Glyoxalase,PP_0368,R3,2248592.667,0.047450407,-1.323760059
Q88CG1,Q88CG1_PSEPK,Elbb,Glyoxalase,PP_0751,R1,1633333.333,0.032633457,-1.486336913
Q88CG1,Q88CG1_PSEPK,Elbb,Glyoxalase,PP_0751,R2,1506666.667,0.031484196,-1.501907387
Q88CG1,Q88CG1_PSEPK,Elbb,Glyoxalase,PP_0751,R3,1569230.667,0.033234146,-1.478415477
Q88CG1,Q88CG1_PSEPK,Elbb,Glyoxalase,PP_0812,R1,1332227.867,0.027232787,-1.564907909
Q88CG1,Q88CG1_PSEPK,Elbb,Glyoxalase,PP_0812,R2,961815.7,0.020377541,-1.690848216
Q88CG1,Q88CG1_PSEPK,Elbb,Glyoxalase,PP_0812,R3,2107297,0.044877972,-1.34796678
Q88CG4,PPK1_PSEPK,Ppk,Polyphosphate kinase,PP_0368,R1,2320000,0.049209524,-1.307950835
Q88CG4,PPK1_PSEPK,Ppk,Polyphosphate kinase,PP_0368,R2,2156799.1,0.044835101,-1.348381852
Q88CG4,PPK1_PSEPK,Ppk,Polyphosphate kinase,PP_0368,R3,1506649.993,0.031793733,-1.497658475
Q88CG4,PPK1_PSEPK,Ppk,Polyphosphate kinase,PP_0751,R1,2010000,0.040159132,-1.396215681
Q88CG4,PPK1_PSEPK,Ppk,Polyphosphate kinase,PP_0751,R2,1824117.333,0.038117833,-1.418871797
Q88CG4,PPK1_PSEPK,Ppk,Polyphosphate kinase,PP_0751,R3,1927212.833,0.040815716,-1.389172584
Q88CG4,PPK1_PSEPK,Ppk,Polyphosphate kinase,PP_0812,R1,2006666.667,0.041019354,-1.387011186
Q88CG4,PPK1_PSEPK,Ppk,Polyphosphate kinase,PP_0812,R2,673487.4,0.014268864,-1.845610603
Q88CG4,PPK1_PSEPK,Ppk,Polyphosphate kinase,PP_0812,R3,1007487.667,0.021455923,-1.66845279
Q88CG5,Q88CG5_PSEPK,Ppx,Exopolyphosphatase,PP_0368,R1,1093690.567,0.023198273,-1.634544354
Q88CG5,Q88CG5_PSEPK,Ppx,Exopolyphosphatase,PP_0368,R2,1006426.433,0.020921388,-1.67940951
Q88CG5,Q88CG5_PSEPK,Ppx,Exopolyphosphatase,PP_0368,R3,979945.66,0.020679077,-1.684468855
Q88CG5,Q88CG5_PSEPK,Ppx,Exopolyphosphatase,PP_0751,R1,1383760.667,0.027647078,-1.558350756
Q88CG5,Q88CG5_PSEPK,Ppx,Exopolyphosphatase,PP_0751,R2,1118564.647,0.023374187,-1.631263478
Q88CG5,Q88CG5_PSEPK,Ppx,Exopolyphosphatase,PP_0751,R3,1167160.333,0.02471885,-1.606971744
Q88CG5,Q88CG5_PSEPK,Ppx,Exopolyphosphatase,PP_0812,R1,1502780.6,0.030719147,-1.512590843
Q88CG5,Q88CG5_PSEPK,Ppx,Exopolyphosphatase,PP_0812,R2,272049.1,0.005763778,-2.239292785
Q88CG5,Q88CG5_PSEPK,Ppx,Exopolyphosphatase,PP_0812,R3,767487.6667,0.016344772,-1.786621123
Q88CG6,Q88CG6_PSEPK,Trxa,Thioredoxin,PP_0368,R1,2177712.233,0.046191458,-1.335438329
Q88CG6,Q88CG6_PSEPK,Trxa,Thioredoxin,PP_0368,R2,2939501,0.061105748,-1.213917933
Q88CG6,Q88CG6_PSEPK,Trxa,Thioredoxin,PP_0368,R3,3989685,0.084191405,-1.074732241
Q88CG6,Q88CG6_PSEPK,Trxa,Thioredoxin,PP_0751,R1,2685273,0.053650862,-1.270423293
Q88CG6,Q88CG6_PSEPK,Trxa,Thioredoxin,PP_0751,R2,2780942,0.058112206,-1.235732636
Q88CG6,Q88CG6_PSEPK,Trxa,Thioredoxin,PP_0751,R3,4355766,0.09224913,-1.035037723
Q88CG6,Q88CG6_PSEPK,Trxa,Thioredoxin,PP_0812,R1,2429447.267,0.04966164,-1.303978946
Q88CG6,Q88CG6_PSEPK,Trxa,Thioredoxin,PP_0812,R2,2916109.033,0.061782244,-1.20913632
Q88CG6,Q88CG6_PSEPK,Trxa,Thioredoxin,PP_0812,R3,4199276.333,0.089429731,-1.048518074
Q88CG7,Q88CG7_PSEPK,Rho,Transcription termination factor Rho,PP_0368,R1,6630000,0.140628942,-0.851925291
Q88CG7,Q88CG7_PSEPK,Rho,Transcription termination factor Rho,PP_0368,R2,6883333.333,0.143089332,-0.844392744
Q88CG7,Q88CG7_PSEPK,Rho,Transcription termination factor Rho,PP_0368,R3,7733333.333,0.163190879,-0.787304119
Q88CG7,Q88CG7_PSEPK,Rho,Transcription termination factor Rho,PP_0751,R1,7200000,0.143853608,-0.842079242
Q88CG7,Q88CG7_PSEPK,Rho,Transcription termination factor Rho,PP_0751,R2,7320000,0.152963043,-0.815413486
Q88CG7,Q88CG7_PSEPK,Rho,Transcription termination factor Rho,PP_0751,R3,8913333.333,0.188772134,-0.724062115
Q88CG7,Q88CG7_PSEPK,Rho,Transcription termination factor Rho,PP_0812,R1,5380000,0.109975477,-0.958704147
Q88CG7,Q88CG7_PSEPK,Rho,Transcription termination factor Rho,PP_0812,R2,5725051.033,0.12129399,-0.916160716
Q88CG7,Q88CG7_PSEPK,Rho,Transcription termination factor Rho,PP_0812,R3,5363743.833,0.11422877,-0.9422245
Q88CG8,UBID_PSEPK,Ubid,3-octaprenyl-4-hydroxybenzoate carboxy-lyase,PP_0368,R1,1033993.7,0.021932042,-1.658920927
Q88CG8,UBID_PSEPK,Ubid,3-octaprenyl-4-hydroxybenzoate carboxy-lyase,PP_0368,R2,1177553.433,0.024478741,-1.611210922
Q88CG8,UBID_PSEPK,Ubid,3-octaprenyl-4-hydroxybenzoate carboxy-lyase,PP_0368,R3,675397.6533,0.014252423,-1.846111302
Q88CG8,UBID_PSEPK,Ubid,3-octaprenyl-4-hydroxybenzoate carboxy-lyase,PP_0751,R1,2112172.333,0.042200501,-1.374682388
Q88CG8,UBID_PSEPK,Ubid,3-octaprenyl-4-hydroxybenzoate carboxy-lyase,PP_0751,R2,2222997.333,0.046453065,-1.332985625
Q88CG8,UBID_PSEPK,Ubid,3-octaprenyl-4-hydroxybenzoate carboxy-lyase,PP_0751,R3,1779616.667,0.037689832,-1.423775799
Q88CG8,UBID_PSEPK,Ubid,3-octaprenyl-4-hydroxybenzoate carboxy-lyase,PP_0812,R1,1025008.467,0.02095275,-1.67875897
Q88CG8,UBID_PSEPK,Ubid,3-octaprenyl-4-hydroxybenzoate carboxy-lyase,PP_0812,R2,41921.83333,0.000888178,-3.051499811
Q88CG8,UBID_PSEPK,Ubid,3-octaprenyl-4-hydroxybenzoate carboxy-lyase,PP_0812,R3,716829.3333,0.015265929,-1.81627676
Q88CH4,Q88CH4_PSEPK,Rbba,Ribosome-associated ATPase,PP_0368,R1,84265.46667,0.001787355,-2.74778919
Q88CH4,Q88CH4_PSEPK,Rbba,Ribosome-associated ATPase,PP_0368,R2,66860.53333,0.001389883,-2.857021709
Q88CH4,Q88CH4_PSEPK,Rbba,Ribosome-associated ATPase,PP_0368,R3,9949.98,0.000209967,-3.677848641
Q88CH4,Q88CH4_PSEPK,Rbba,Ribosome-associated ATPase,PP_0751,R1,17522.8,0.0003501,-3.455808234
Q88CH4,Q88CH4_PSEPK,Rbba,Ribosome-associated ATPase,PP_0751,R2,7772.94,0.000162428,-3.789339251
Q88CH4,Q88CH4_PSEPK,Rbba,Ribosome-associated ATPase,PP_0751,R3,11638.5,0.000246487,-3.608205252
Q88CH4,Q88CH4_PSEPK,Rbba,Ribosome-associated ATPase,PP_0812,R1,28341.8,0.00057935,-3.237058994
Q88CH4,Q88CH4_PSEPK,Rbba,Ribosome-associated ATPase,PP_0812,R2,25153.1,0.000532907,-3.273348561
Q88CH4,Q88CH4_PSEPK,Rbba,Ribosome-associated ATPase,PP_0812,R3,11231.5,0.000239191,-3.621254767
Q88CH5,Q88CH5_PSEPK,Yhii,Translation-related protein,PP_0368,R1,1910000,0.040513013,-1.392405453
Q88CH5,Q88CH5_PSEPK,Yhii,Translation-related protein,PP_0368,R2,743465.7667,0.015455015,-1.810930569
Q88CH5,Q88CH5_PSEPK,Yhii,Translation-related protein,PP_0368,R3,1250000,0.026377836,-1.578760836
Q88CH5,Q88CH5_PSEPK,Yhii,Translation-related protein,PP_0751,R1,1454458.667,0.029059601,-1.536710354
Q88CH5,Q88CH5_PSEPK,Yhii,Translation-related protein,PP_0751,R2,1358653,0.028391215,-1.546816015
Q88CH5,Q88CH5_PSEPK,Yhii,Translation-related protein,PP_0751,R3,979325.3333,0.020740763,-1.683175274
Q88CH5,Q88CH5_PSEPK,Yhii,Translation-related protein,PP_0812,R1,718689.9333,0.014691128,-1.832944861
Q88CH5,Q88CH5_PSEPK,Yhii,Translation-related protein,PP_0812,R2,829783.7,0.017580241,-1.754975179
Q88CH5,Q88CH5_PSEPK,Yhii,Translation-related protein,PP_0812,R3,1293333.333,0.027543425,-1.559982058
Q88CH8,Q88CH8_PSEPK,Fau,5-formyltetrahydrofolate cyclo-ligase,PP_0368,R1,13993.7,0.00029682,-3.527506261
Q88CH8,Q88CH8_PSEPK,Fau,5-formyltetrahydrofolate cyclo-ligase,PP_0368,R2,305720.4333,0.006355254,-2.196867079
Q88CH8,Q88CH8_PSEPK,Fau,5-formyltetrahydrofolate cyclo-ligase,PP_0368,R3,336030.9933,0.007091016,-2.149291513
Q88CH8,Q88CH8_PSEPK,Fau,5-formyltetrahydrofolate cyclo-ligase,PP_0751,R1,386264.6,0.007717438,-2.11252683
Q88CH8,Q88CH8_PSEPK,Fau,5-formyltetrahydrofolate cyclo-ligase,PP_0751,R2,180303.6267,0.003767731,-2.423920104
Q88CH8,Q88CH8_PSEPK,Fau,5-formyltetrahydrofolate cyclo-ligase,PP_0751,R3,425605,0.009013728,-2.045095542
Q88CH8,Q88CH8_PSEPK,Fau,5-formyltetrahydrofolate cyclo-ligase,PP_0812,R1,28341.8,0.00057935,-3.237058994
Q88CH8,Q88CH8_PSEPK,Fau,5-formyltetrahydrofolate cyclo-ligase,PP_0812,R2,262589.7,0.005563366,-2.254662391
Q88CH8,Q88CH8_PSEPK,Fau,5-formyltetrahydrofolate cyclo-ligase,PP_0812,R3,298941.3333,0.006366393,-2.196106561
Q88CH9,Q88CH9_PSEPK,Pp_5202,Cell division protein ZapA,PP_0368,R1,13993.7,0.00029682,-3.527506261
Q88CH9,Q88CH9_PSEPK,Pp_5202,Cell division protein ZapA,PP_0368,R2,10397.3,0.000216137,-3.66527097
Q88CH9,Q88CH9_PSEPK,Pp_5202,Cell division protein ZapA,PP_0368,R3,79639.65333,0.001680577,-2.774541488
Q88CH9,Q88CH9_PSEPK,Pp_5202,Cell division protein ZapA,PP_0751,R1,17522.8,0.0003501,-3.455808234
Q88CH9,Q88CH9_PSEPK,Pp_5202,Cell division protein ZapA,PP_0751,R2,7772.94,0.000162428,-3.789339251
Q88CH9,Q88CH9_PSEPK,Pp_5202,Cell division protein ZapA,PP_0751,R3,11638.5,0.000246487,-3.608205252
Q88CH9,Q88CH9_PSEPK,Pp_5202,Cell division protein ZapA,PP_0812,R1,67888.53333,0.001387746,-2.857689996
Q88CH9,Q88CH9_PSEPK,Pp_5202,Cell division protein ZapA,PP_0812,R2,25153.1,0.000532907,-3.273348561
Q88CH9,Q88CH9_PSEPK,Pp_5202,Cell division protein ZapA,PP_0812,R3,121725.2,0.002592316,-2.586312032
Q88CI0,Y5201_PSEPK,Pp_5201,UPF0149 protein PP_5201,PP_0368,R1,969329.1333,0.020560442,-1.686967554
Q88CI0,Y5201_PSEPK,Pp_5201,UPF0149 protein PP_5201,PP_0368,R2,953598.2,0.019823205,-1.702826123
Q88CI0,Y5201_PSEPK,Pp_5201,UPF0149 protein PP_5201,PP_0368,R3,1613316.66,0.034044642,-1.467951231
Q88CI0,Y5201_PSEPK,Pp_5201,UPF0149 protein PP_5201,PP_0751,R1,1218348.533,0.024342199,-1.613640193
Q88CI0,Y5201_PSEPK,Pp_5201,UPF0149 protein PP_5201,PP_0751,R2,1395924.313,0.029170059,-1.535062695
Q88CI0,Y5201_PSEPK,Pp_5201,UPF0149 protein PP_5201,PP_0751,R3,2057212.833,0.043568937,-1.360823038
Q88CI0,Y5201_PSEPK,Pp_5201,UPF0149 protein PP_5201,PP_0812,R1,632227.8667,0.01292371,-1.888612788
Q88CI0,Y5201_PSEPK,Pp_5201,UPF0149 protein PP_5201,PP_0812,R2,603435.4,0.012784705,-1.893309294
Q88CI0,Y5201_PSEPK,Pp_5201,UPF0149 protein PP_5201,PP_0812,R3,1113299.833,0.023709348,-1.625080384
Q88CI1,Q88CI1_PSEPK,Pepp,Proline aminopeptidase P II,PP_0368,R1,87093.46667,0.00184734,-2.733453242
Q88CI1,Q88CI1_PSEPK,Pepp,Proline aminopeptidase P II,PP_0368,R2,151477.2,0.003148877,-2.501844276
Q88CI1,Q88CI1_PSEPK,Pepp,Proline aminopeptidase P II,PP_0368,R3,624530.6667,0.013179014,-1.880117081
Q88CI1,Q88CI1_PSEPK,Pepp,Proline aminopeptidase P II,PP_0751,R1,206077.3333,0.004117357,-2.385381512
Q88CI1,Q88CI1_PSEPK,Pepp,Proline aminopeptidase P II,PP_0751,R2,326632.6667,0.006825509,-2.16586495
Q88CI1,Q88CI1_PSEPK,Pepp,Proline aminopeptidase P II,PP_0751,R3,693677.6667,0.014691138,-1.832944551
Q88CI1,Q88CI1_PSEPK,Pepp,Proline aminopeptidase P II,PP_0812,R1,28341.8,0.00057935,-3.237058994
Q88CI1,Q88CI1_PSEPK,Pepp,Proline aminopeptidase P II,PP_0812,R2,25153.1,0.000532907,-3.273348561
Q88CI1,Q88CI1_PSEPK,Pepp,Proline aminopeptidase P II,PP_0812,R3,212975.3333,0.004535621,-2.343363222
Q88CI2,Q88CI2_PSEPK,Ubih,2-octaprenyl-6-methoxyphenyl hydroxylase,PP_0368,R1,111263.4667,0.00236001,-2.627086233
Q88CI2,Q88CI2_PSEPK,Ubih,2-octaprenyl-6-methoxyphenyl hydroxylase,PP_0368,R2,183792.2,0.003820635,-2.417864469
Q88CI2,Q88CI2_PSEPK,Ubih,2-octaprenyl-6-methoxyphenyl hydroxylase,PP_0368,R3,223885.6533,0.004724495,-2.325644584
Q88CI2,Q88CI2_PSEPK,Ubih,2-octaprenyl-6-methoxyphenyl hydroxylase,PP_0751,R1,17522.8,0.0003501,-3.455808234
Q88CI2,Q88CI2_PSEPK,Ubih,2-octaprenyl-6-methoxyphenyl hydroxylase,PP_0751,R2,133898.2933,0.002798018,-2.553149525
Q88CI2,Q88CI2_PSEPK,Ubih,2-octaprenyl-6-methoxyphenyl hydroxylase,PP_0751,R3,287086.6667,0.006080101,-2.21608924
Q88CI2,Q88CI2_PSEPK,Ubih,2-octaprenyl-6-methoxyphenyl hydroxylase,PP_0812,R1,28341.8,0.00057935,-3.237058994
Q88CI2,Q88CI2_PSEPK,Ubih,2-octaprenyl-6-methoxyphenyl hydroxylase,PP_0812,R2,202960.0667,0.00430002,-2.366529481
Q88CI2,Q88CI2_PSEPK,Ubih,2-octaprenyl-6-methoxyphenyl hydroxylase,PP_0812,R3,517573.5,0.011022485,-1.957720496
Q88CI4,Q88CI4_PSEPK,Visc,"Oxidoreductase involved in anerobic synthesis of ubiquinone, FAD/NAD(P)-binding domain",PP_0368,R1,13993.7,0.00029682,-3.527506261
Q88CI4,Q88CI4_PSEPK,Visc,"Oxidoreductase involved in anerobic synthesis of ubiquinone, FAD/NAD(P)-binding domain",PP_0368,R2,174716.8667,0.003631979,-2.439856713
