Protein.Group,Protein.Names,Protein,Protein.Description,Sample,Replicate,Top_3pep_counts_mean,%_of protein_abundance_Top3-method,log10_%_abundance
PP_4258,Q88F41_PSEPK,Ccop-ii,Cbb3-type cytochrome c oxidase subunit,PP_5313,R3,70422.87,0.00695374,-2.157781575
PP_4258,Q88F41_PSEPK,Ccop-ii,Cbb3-type cytochrome c oxidase subunit,PP_0815_NT,R1,112641.7667,0.010663017,-1.97211988
PP_4258,Q88F41_PSEPK,Ccop-ii,Cbb3-type cytochrome c oxidase subunit,PP_0815_NT,R2,15241.88667,0.001461441,-2.835218643
PP_4258,Q88F41_PSEPK,Ccop-ii,Cbb3-type cytochrome c oxidase subunit,PP_0815_NT,R3,113448.2333,0.011412437,-1.942621594
PP_4258,Q88F41_PSEPK,Ccop-ii,Cbb3-type cytochrome c oxidase subunit,PP_0815_Target,R1,14753.92,0.001502837,-2.823088105
PP_4258,Q88F41_PSEPK,Ccop-ii,Cbb3-type cytochrome c oxidase subunit,PP_0815_Target,R2,30195.50667,0.0030641,-2.513697102
PP_4258,Q88F41_PSEPK,Ccop-ii,Cbb3-type cytochrome c oxidase subunit,PP_0815_Target,R3,70114.6,0.007415605,-2.129853384
PP_4256,Q88F43_PSEPK,Ccoo-ii,"Cytochrome c oxidase subunit, cbb3-type",PP_0378,R1,408520.6667,0.038016309,-1.420030055
PP_4256,Q88F43_PSEPK,Ccoo-ii,"Cytochrome c oxidase subunit, cbb3-type",PP_0378,R2,129374.6667,0.013820923,-1.859462962
PP_4256,Q88F43_PSEPK,Ccoo-ii,"Cytochrome c oxidase subunit, cbb3-type",PP_0378,R3,351749.6667,0.036613044,-1.436364161
PP_4256,Q88F43_PSEPK,Ccoo-ii,"Cytochrome c oxidase subunit, cbb3-type",PP_0379,R1,565353.3333,0.048893116,-1.310752287
PP_4256,Q88F43_PSEPK,Ccoo-ii,"Cytochrome c oxidase subunit, cbb3-type",PP_0379,R2,164833.3333,0.016320224,-1.787273876
PP_4256,Q88F43_PSEPK,Ccoo-ii,"Cytochrome c oxidase subunit, cbb3-type",PP_0379,R3,377805.0,0.035286054,-1.4523969
PP_4256,Q88F43_PSEPK,Ccoo-ii,"Cytochrome c oxidase subunit, cbb3-type",PP_0977_1,R1,438052.6667,0.041091514,-1.386247857
PP_4256,Q88F43_PSEPK,Ccoo-ii,"Cytochrome c oxidase subunit, cbb3-type",PP_0977_1,R2,417043.0,0.038660937,-1.412727619
PP_4256,Q88F43_PSEPK,Ccoo-ii,"Cytochrome c oxidase subunit, cbb3-type",PP_0977_1,R3,365377.0,0.034190496,-1.466094598
PP_4256,Q88F43_PSEPK,Ccoo-ii,"Cytochrome c oxidase subunit, cbb3-type",PP_0977_2,R1,430668.0,0.038019551,-1.419993018
PP_4256,Q88F43_PSEPK,Ccoo-ii,"Cytochrome c oxidase subunit, cbb3-type",PP_0977_2,R2,345128.79,0.03104582,-1.507996861
PP_4256,Q88F43_PSEPK,Ccoo-ii,"Cytochrome c oxidase subunit, cbb3-type",PP_0977_2,R3,337802.6333,0.030629216,-1.513864124
PP_4256,Q88F43_PSEPK,Ccoo-ii,"Cytochrome c oxidase subunit, cbb3-type",PP_0977_3,R1,225663.3333,0.022278311,-1.652117733
PP_4256,Q88F43_PSEPK,Ccoo-ii,"Cytochrome c oxidase subunit, cbb3-type",PP_0977_3,R2,0.0,1e-05,-5.0
PP_4256,Q88F43_PSEPK,Ccoo-ii,"Cytochrome c oxidase subunit, cbb3-type",PP_0977_3,R3,62928.31667,0.006405474,-2.193448733
PP_4256,Q88F43_PSEPK,Ccoo-ii,"Cytochrome c oxidase subunit, cbb3-type",PP_0986,R1,0.0,1e-05,-5.0
PP_4256,Q88F43_PSEPK,Ccoo-ii,"Cytochrome c oxidase subunit, cbb3-type",PP_0986,R2,112487.0,0.013742327,-1.861939724
PP_4256,Q88F43_PSEPK,Ccoo-ii,"Cytochrome c oxidase subunit, cbb3-type",PP_0986,R3,38437.0,0.004172545,-2.379598978
PP_4256,Q88F43_PSEPK,Ccoo-ii,"Cytochrome c oxidase subunit, cbb3-type",PP_1018,R1,370955.7567,0.03673909,-1.434871604
PP_4256,Q88F43_PSEPK,Ccoo-ii,"Cytochrome c oxidase subunit, cbb3-type",PP_1018,R2,515753.0,0.047244241,-1.325651124
PP_4256,Q88F43_PSEPK,Ccoo-ii,"Cytochrome c oxidase subunit, cbb3-type",PP_1018,R3,484622.0,0.044935442,-1.347410985
PP_4256,Q88F43_PSEPK,Ccoo-ii,"Cytochrome c oxidase subunit, cbb3-type",PP_1593,R1,55553.54667,0.005642045,-2.248563488
PP_4256,Q88F43_PSEPK,Ccoo-ii,"Cytochrome c oxidase subunit, cbb3-type",PP_1593,R2,0.0,1e-05,-5.0
PP_4256,Q88F43_PSEPK,Ccoo-ii,"Cytochrome c oxidase subunit, cbb3-type",PP_1593,R3,193797.9867,0.018839398,-1.724932978
PP_4256,Q88F43_PSEPK,Ccoo-ii,"Cytochrome c oxidase subunit, cbb3-type",PP_1638_1,R1,278474.1433,0.026574538,-1.57553427
PP_4256,Q88F43_PSEPK,Ccoo-ii,"Cytochrome c oxidase subunit, cbb3-type",PP_1638_1,R2,414006.3333,0.037933046,-1.420982277
PP_4256,Q88F43_PSEPK,Ccoo-ii,"Cytochrome c oxidase subunit, cbb3-type",PP_1638_1,R3,241560.0133,0.023055075,-1.637233462
PP_4256,Q88F43_PSEPK,Ccoo-ii,"Cytochrome c oxidase subunit, cbb3-type",PP_1638_2,R1,293762.0,0.027475837,-1.561049066
PP_4256,Q88F43_PSEPK,Ccoo-ii,"Cytochrome c oxidase subunit, cbb3-type",PP_1638_2,R2,319220.8767,0.031021439,-1.508338058
PP_4256,Q88F43_PSEPK,Ccoo-ii,"Cytochrome c oxidase subunit, cbb3-type",PP_1638_2,R3,120615.6667,0.011737395,-1.930428269
PP_4256,Q88F43_PSEPK,Ccoo-ii,"Cytochrome c oxidase subunit, cbb3-type",PP_1638_3,R1,261593.6,0.017683735,-1.752425996
PP_4256,Q88F43_PSEPK,Ccoo-ii,"Cytochrome c oxidase subunit, cbb3-type",PP_1638_3,R2,395135.3333,0.037404085,-1.427080965
PP_4256,Q88F43_PSEPK,Ccoo-ii,"Cytochrome c oxidase subunit, cbb3-type",PP_1638_3,R3,377655.6667,0.035340685,-1.451725033
PP_4256,Q88F43_PSEPK,Ccoo-ii,"Cytochrome c oxidase subunit, cbb3-type",PP_1982,R1,244063.6667,0.023726571,-1.624765031
PP_4256,Q88F43_PSEPK,Ccoo-ii,"Cytochrome c oxidase subunit, cbb3-type",PP_1982,R2,0.0,1e-05,-5.0
PP_4256,Q88F43_PSEPK,Ccoo-ii,"Cytochrome c oxidase subunit, cbb3-type",PP_1982,R3,74665.95333,0.007233077,-2.140676915
PP_4256,Q88F43_PSEPK,Ccoo-ii,"Cytochrome c oxidase subunit, cbb3-type",PP_2664,R1,81093.0,0.008453171,-2.072980331
PP_4256,Q88F43_PSEPK,Ccoo-ii,"Cytochrome c oxidase subunit, cbb3-type",PP_2664,R2,244230.0167,0.023440209,-1.630038521
PP_4256,Q88F43_PSEPK,Ccoo-ii,"Cytochrome c oxidase subunit, cbb3-type",PP_2664,R3,226479.4067,0.021990052,-1.657773743
PP_4256,Q88F43_PSEPK,Ccoo-ii,"Cytochrome c oxidase subunit, cbb3-type",PP_2665,R1,180397.0967,0.018839343,-1.724934247
PP_4256,Q88F43_PSEPK,Ccoo-ii,"Cytochrome c oxidase subunit, cbb3-type",PP_2665,R2,44070.18,0.004472644,-2.349435705
PP_4256,Q88F43_PSEPK,Ccoo-ii,"Cytochrome c oxidase subunit, cbb3-type",PP_2665,R3,34264.65333,0.003501932,-2.455692338
PP_4256,Q88F43_PSEPK,Ccoo-ii,"Cytochrome c oxidase subunit, cbb3-type",PP_2680,R1,361269.9733,0.035226378,-1.45313201
PP_4256,Q88F43_PSEPK,Ccoo-ii,"Cytochrome c oxidase subunit, cbb3-type",PP_2680,R2,209672.5667,0.020150401,-1.695716313
PP_4256,Q88F43_PSEPK,Ccoo-ii,"Cytochrome c oxidase subunit, cbb3-type",PP_2680,R3,274316.9667,0.02563595,-1.591150588
PP_4256,Q88F43_PSEPK,Ccoo-ii,"Cytochrome c oxidase subunit, cbb3-type",PP_3379,R1,340182.3333,0.033573197,-1.474007298
PP_4256,Q88F43_PSEPK,Ccoo-ii,"Cytochrome c oxidase subunit, cbb3-type",PP_3379,R2,395404.6667,0.036929429,-1.432627413
PP_4256,Q88F43_PSEPK,Ccoo-ii,"Cytochrome c oxidase subunit, cbb3-type",PP_3379,R3,354204.47,0.032362158,-1.489962526
PP_4256,Q88F43_PSEPK,Ccoo-ii,"Cytochrome c oxidase subunit, cbb3-type",PP_3416,R1,321371.8067,0.032433329,-1.489008479
PP_4256,Q88F43_PSEPK,Ccoo-ii,"Cytochrome c oxidase subunit, cbb3-type",PP_3416,R2,356393.6667,0.035250936,-1.452829348
PP_4256,Q88F43_PSEPK,Ccoo-ii,"Cytochrome c oxidase subunit, cbb3-type",PP_3416,R3,147858.0,0.015044106,-1.822633613
PP_4256,Q88F43_PSEPK,Ccoo-ii,"Cytochrome c oxidase subunit, cbb3-type",PP_5313,R1,200694.25,0.019945467,-1.700155785
PP_4256,Q88F43_PSEPK,Ccoo-ii,"Cytochrome c oxidase subunit, cbb3-type",PP_5313,R2,61622.42,0.006116137,-2.213522829
PP_4256,Q88F43_PSEPK,Ccoo-ii,"Cytochrome c oxidase subunit, cbb3-type",PP_5313,R3,52859.60667,0.005219497,-2.282371368
PP_4256,Q88F43_PSEPK,Ccoo-ii,"Cytochrome c oxidase subunit, cbb3-type",PP_0815_NT,R1,176488.21,0.016706919,-1.777103635
PP_4256,Q88F43_PSEPK,Ccoo-ii,"Cytochrome c oxidase subunit, cbb3-type",PP_0815_NT,R2,139912.96,0.013415306,-1.872399427
PP_4256,Q88F43_PSEPK,Ccoo-ii,"Cytochrome c oxidase subunit, cbb3-type",PP_0815_NT,R3,211940.43,0.021320357,-1.67120552
PP_4256,Q88F43_PSEPK,Ccoo-ii,"Cytochrome c oxidase subunit, cbb3-type",PP_0815_Target,R1,47582.98667,0.004846812,-2.314543831
PP_4256,Q88F43_PSEPK,Ccoo-ii,"Cytochrome c oxidase subunit, cbb3-type",PP_0815_Target,R2,46853.28,0.004754453,-2.322899424
PP_4256,Q88F43_PSEPK,Ccoo-ii,"Cytochrome c oxidase subunit, cbb3-type",PP_0815_Target,R3,37344.24867,0.00394968,-2.403438118
PP_4255,Q88F44_PSEPK,Ccon-ii,cytochrome-c oxidase,PP_0378,R1,122067.9333,0.011359455,-1.944642496
PP_4255,Q88F44_PSEPK,Ccon-ii,cytochrome-c oxidase,PP_0378,R2,48437.0,0.00517446,-2.286134969
PP_4255,Q88F44_PSEPK,Ccon-ii,cytochrome-c oxidase,PP_0378,R3,60046.66667,0.006250159,-2.204108952
PP_4255,Q88F44_PSEPK,Ccon-ii,cytochrome-c oxidase,PP_0379,R1,117576.4667,0.010168296,-1.992751839
PP_4255,Q88F44_PSEPK,Ccon-ii,cytochrome-c oxidase,PP_0379,R2,131176.0,0.012987796,-1.886464534
PP_4255,Q88F44_PSEPK,Ccon-ii,cytochrome-c oxidase,PP_0379,R3,140224.6667,0.013096638,-1.882840184
PP_4255,Q88F44_PSEPK,Ccon-ii,cytochrome-c oxidase,PP_0977_1,R1,126619.38,0.011877526,-1.925274003
PP_4255,Q88F44_PSEPK,Ccon-ii,cytochrome-c oxidase,PP_0977_1,R2,125065.8,0.011593915,-1.93576989
PP_4255,Q88F44_PSEPK,Ccon-ii,cytochrome-c oxidase,PP_0977_1,R3,106731.1533,0.009987468,-2.000544601
PP_4255,Q88F44_PSEPK,Ccon-ii,cytochrome-c oxidase,PP_0977_2,R1,145309.5333,0.012827986,-1.891841514
PP_4255,Q88F44_PSEPK,Ccon-ii,cytochrome-c oxidase,PP_0977_2,R2,149609.3333,0.013458004,-1.871019362
PP_4255,Q88F44_PSEPK,Ccon-ii,cytochrome-c oxidase,PP_0977_2,R3,123642.6667,0.011210919,-1.950358792
PP_4255,Q88F44_PSEPK,Ccon-ii,cytochrome-c oxidase,PP_0977_3,R1,95154.27667,0.009393979,-2.027150419
PP_4255,Q88F44_PSEPK,Ccon-ii,cytochrome-c oxidase,PP_0977_3,R2,0.0,1e-05,-5.0
PP_4255,Q88F44_PSEPK,Ccon-ii,cytochrome-c oxidase,PP_0977_3,R3,44373.725,0.004516802,-2.34516896
PP_4255,Q88F44_PSEPK,Ccon-ii,cytochrome-c oxidase,PP_0986,R1,0.0,1e-05,-5.0
PP_4255,Q88F44_PSEPK,Ccon-ii,cytochrome-c oxidase,PP_0986,R2,47259.33333,0.005773585,-2.238554468
PP_4255,Q88F44_PSEPK,Ccon-ii,cytochrome-c oxidase,PP_0986,R3,29761.76667,0.003230801,-2.490689754
PP_4255,Q88F44_PSEPK,Ccon-ii,cytochrome-c oxidase,PP_1018,R1,129486.69,0.012824233,-1.891968589
PP_4255,Q88F44_PSEPK,Ccon-ii,cytochrome-c oxidase,PP_1018,R2,147805.9,0.013539383,-1.868401117
PP_4255,Q88F44_PSEPK,Ccon-ii,cytochrome-c oxidase,PP_1018,R3,143718.6667,0.013325977,-1.875300931
PP_4255,Q88F44_PSEPK,Ccon-ii,cytochrome-c oxidase,PP_1593,R1,32098.24,0.003259912,-2.486794058
PP_4255,Q88F44_PSEPK,Ccon-ii,cytochrome-c oxidase,PP_1593,R2,0.0,1e-05,-5.0
PP_4255,Q88F44_PSEPK,Ccon-ii,cytochrome-c oxidase,PP_1593,R3,58765.62,0.005712696,-2.243158917
PP_4255,Q88F44_PSEPK,Ccon-ii,cytochrome-c oxidase,PP_1638_1,R1,106901.71,0.010201535,-1.991334494
PP_4255,Q88F44_PSEPK,Ccon-ii,cytochrome-c oxidase,PP_1638_1,R2,158672.0333,0.014538216,-1.837488874
PP_4255,Q88F44_PSEPK,Ccon-ii,cytochrome-c oxidase,PP_1638_1,R3,149227.5,0.014242635,-1.846409643
PP_4255,Q88F44_PSEPK,Ccon-ii,cytochrome-c oxidase,PP_1638_2,R1,96271.13333,0.00900433,-2.045548598
PP_4255,Q88F44_PSEPK,Ccon-ii,cytochrome-c oxidase,PP_1638_2,R2,121968.5667,0.011852735,-1.926181424
PP_4255,Q88F44_PSEPK,Ccon-ii,cytochrome-c oxidase,PP_1638_2,R3,87130.86667,0.00847891,-2.071659956
PP_4255,Q88F44_PSEPK,Ccon-ii,cytochrome-c oxidase,PP_1638_3,R1,76766.86667,0.005189442,-2.284879296
PP_4255,Q88F44_PSEPK,Ccon-ii,cytochrome-c oxidase,PP_1638_3,R2,135128.9333,0.012791501,-1.893078483
PP_4255,Q88F44_PSEPK,Ccon-ii,cytochrome-c oxidase,PP_1638_3,R3,109338.3,0.010231782,-1.990048721
PP_4255,Q88F44_PSEPK,Ccon-ii,cytochrome-c oxidase,PP_1982,R1,118618.3,0.01153144,-1.938116467
PP_4255,Q88F44_PSEPK,Ccon-ii,cytochrome-c oxidase,PP_1982,R2,0.0,1e-05,-5.0
PP_4255,Q88F44_PSEPK,Ccon-ii,cytochrome-c oxidase,PP_1982,R3,50730.71,0.00491441,-2.308528589
PP_4255,Q88F44_PSEPK,Ccon-ii,cytochrome-c oxidase,PP_2664,R1,80029.0,0.008342259,-2.078716308
PP_4255,Q88F44_PSEPK,Ccon-ii,cytochrome-c oxidase,PP_2664,R2,75841.78333,0.007278988,-2.137929024
PP_4255,Q88F44_PSEPK,Ccon-ii,cytochrome-c oxidase,PP_2664,R3,70146.43333,0.006810878,-2.166796868
PP_4255,Q88F44_PSEPK,Ccon-ii,cytochrome-c oxidase,PP_2665,R1,10362.29333,0.001082162,-2.965707908
PP_4255,Q88F44_PSEPK,Ccon-ii,cytochrome-c oxidase,PP_2665,R2,45617.51333,0.004629681,-2.334448921
PP_4255,Q88F44_PSEPK,Ccon-ii,cytochrome-c oxidase,PP_2665,R3,40019.26,0.004090067,-2.388269627
PP_4255,Q88F44_PSEPK,Ccon-ii,cytochrome-c oxidase,PP_2680,R1,67855.50667,0.006616392,-2.17937878
PP_4255,Q88F44_PSEPK,Ccon-ii,cytochrome-c oxidase,PP_2680,R2,119661.9,0.011500003,-1.939302031
PP_4255,Q88F44_PSEPK,Ccon-ii,cytochrome-c oxidase,PP_2680,R3,112190.8333,0.010484654,-1.979445884
PP_4255,Q88F44_PSEPK,Ccon-ii,cytochrome-c oxidase,PP_3379,R1,116943.1,0.011541322,-1.937744452
PP_4255,Q88F44_PSEPK,Ccon-ii,cytochrome-c oxidase,PP_3379,R2,147092.4667,0.013737928,-1.862078772
PP_4255,Q88F44_PSEPK,Ccon-ii,cytochrome-c oxidase,PP_3379,R3,135272.4667,0.012359271,-1.908007154
PP_4255,Q88F44_PSEPK,Ccon-ii,cytochrome-c oxidase,PP_3416,R1,150796.14,0.015218574,-1.817626028
PP_4255,Q88F44_PSEPK,Ccon-ii,cytochrome-c oxidase,PP_3416,R2,127594.4,0.012620376,-1.898927712
PP_4255,Q88F44_PSEPK,Ccon-ii,cytochrome-c oxidase,PP_3416,R3,103597.2333,0.010540706,-1.977130283
PP_4255,Q88F44_PSEPK,Ccon-ii,cytochrome-c oxidase,PP_5313,R1,38569.83333,0.003833161,-2.416442952
PP_4255,Q88F44_PSEPK,Ccon-ii,cytochrome-c oxidase,PP_5313,R2,63150.94333,0.006267845,-2.202881737
PP_4255,Q88F44_PSEPK,Ccon-ii,cytochrome-c oxidase,PP_5313,R3,82756.90333,0.008171635,-2.087691064
PP_4255,Q88F44_PSEPK,Ccon-ii,cytochrome-c oxidase,PP_0815_NT,R1,67861.74333,0.006424002,-2.192194321
PP_4255,Q88F44_PSEPK,Ccon-ii,cytochrome-c oxidase,PP_0815_NT,R2,58514.23333,0.005610533,-2.250995852
PP_4255,Q88F44_PSEPK,Ccon-ii,cytochrome-c oxidase,PP_0815_NT,R3,74732.26333,0.007517766,-2.123911195
PP_4255,Q88F44_PSEPK,Ccon-ii,cytochrome-c oxidase,PP_0815_Target,R1,32142.96,0.003274088,-2.484909662
PP_4255,Q88F44_PSEPK,Ccon-ii,cytochrome-c oxidase,PP_0815_Target,R2,38022.34,0.00385833,-2.413600583
PP_4255,Q88F44_PSEPK,Ccon-ii,cytochrome-c oxidase,PP_0815_Target,R3,37436.32433,0.003959418,-2.402368643
PP_4251,Q88F48_PSEPK,Ccoo-i,"Cytochrome c oxidase subunit, cbb3-type",PP_0378,R1,48217.66667,0.004487062,-2.348037897
PP_4251,Q88F48_PSEPK,Ccoo-i,"Cytochrome c oxidase subunit, cbb3-type",PP_0378,R2,0.0,1e-05,-5.0
PP_4251,Q88F48_PSEPK,Ccoo-i,"Cytochrome c oxidase subunit, cbb3-type",PP_0378,R3,186256.3333,0.019387115,-1.712486807
PP_4251,Q88F48_PSEPK,Ccoo-i,"Cytochrome c oxidase subunit, cbb3-type",PP_0379,R1,112618.2333,0.009739496,-2.011463534
PP_4251,Q88F48_PSEPK,Ccoo-i,"Cytochrome c oxidase subunit, cbb3-type",PP_0379,R2,0.0,1e-05,-5.0
PP_4251,Q88F48_PSEPK,Ccoo-i,"Cytochrome c oxidase subunit, cbb3-type",PP_0379,R3,0.0,1e-05,-5.0
PP_4251,Q88F48_PSEPK,Ccoo-i,"Cytochrome c oxidase subunit, cbb3-type",PP_0977_1,R1,79397.00667,0.007447833,-2.127970056
PP_4251,Q88F48_PSEPK,Ccoo-i,"Cytochrome c oxidase subunit, cbb3-type",PP_0977_1,R2,142852.6667,0.013242802,-1.878020103
PP_4251,Q88F48_PSEPK,Ccoo-i,"Cytochrome c oxidase subunit, cbb3-type",PP_0977_1,R3,74562.02667,0.006977212,-2.156318099
PP_4251,Q88F48_PSEPK,Ccoo-i,"Cytochrome c oxidase subunit, cbb3-type",PP_0977_2,R1,169684.0,0.014979774,-1.824494728
PP_4251,Q88F48_PSEPK,Ccoo-i,"Cytochrome c oxidase subunit, cbb3-type",PP_0977_2,R2,147298.58,0.013250141,-1.877779489
PP_4251,Q88F48_PSEPK,Ccoo-i,"Cytochrome c oxidase subunit, cbb3-type",PP_0977_2,R3,170191.2667,0.01543157,-1.811589885
PP_4251,Q88F48_PSEPK,Ccoo-i,"Cytochrome c oxidase subunit, cbb3-type",PP_0977_3,R1,284058.1533,0.028043262,-1.552171472
PP_4251,Q88F48_PSEPK,Ccoo-i,"Cytochrome c oxidase subunit, cbb3-type",PP_0977_3,R2,121040.6667,0.01362257,-1.865740957
PP_4251,Q88F48_PSEPK,Ccoo-i,"Cytochrome c oxidase subunit, cbb3-type",PP_0977_3,R3,232525.3167,0.023668754,-1.625824603
PP_4251,Q88F48_PSEPK,Ccoo-i,"Cytochrome c oxidase subunit, cbb3-type",PP_0986,R1,114350.3333,0.014285174,-1.845114479
PP_4251,Q88F48_PSEPK,Ccoo-i,"Cytochrome c oxidase subunit, cbb3-type",PP_0986,R2,94497.66667,0.011544604,-1.937620973
PP_4251,Q88F48_PSEPK,Ccoo-i,"Cytochrome c oxidase subunit, cbb3-type",PP_0986,R3,191687.7667,0.020808747,-1.681754064
PP_4251,Q88F48_PSEPK,Ccoo-i,"Cytochrome c oxidase subunit, cbb3-type",PP_1018,R1,4212.36,0.000417188,-3.379668238
PP_4251,Q88F48_PSEPK,Ccoo-i,"Cytochrome c oxidase subunit, cbb3-type",PP_1018,R2,101184.8167,0.009268778,-2.032977538
PP_4251,Q88F48_PSEPK,Ccoo-i,"Cytochrome c oxidase subunit, cbb3-type",PP_1018,R3,70906.64,0.006574652,-2.182127204
PP_4251,Q88F48_PSEPK,Ccoo-i,"Cytochrome c oxidase subunit, cbb3-type",PP_1593,R1,124771.78,0.012671881,-1.897158908
PP_4251,Q88F48_PSEPK,Ccoo-i,"Cytochrome c oxidase subunit, cbb3-type",PP_1593,R2,0.0,1e-05,-5.0
PP_4251,Q88F48_PSEPK,Ccoo-i,"Cytochrome c oxidase subunit, cbb3-type",PP_1593,R3,99115.30667,0.00963515,-2.01614151
PP_4251,Q88F48_PSEPK,Ccoo-i,"Cytochrome c oxidase subunit, cbb3-type",PP_1638_1,R1,57724.43,0.005508591,-2.258959493
PP_4251,Q88F48_PSEPK,Ccoo-i,"Cytochrome c oxidase subunit, cbb3-type",PP_1638_1,R2,124356.9133,0.011394117,-1.943319328
PP_4251,Q88F48_PSEPK,Ccoo-i,"Cytochrome c oxidase subunit, cbb3-type",PP_1638_1,R3,111129.6267,0.010606482,-1.974428651
PP_4251,Q88F48_PSEPK,Ccoo-i,"Cytochrome c oxidase subunit, cbb3-type",PP_1638_2,R1,149560.0,0.013988488,-1.854229226
PP_4251,Q88F48_PSEPK,Ccoo-i,"Cytochrome c oxidase subunit, cbb3-type",PP_1638_2,R2,3602.173333,0.000350054,-3.455864737
PP_4251,Q88F48_PSEPK,Ccoo-i,"Cytochrome c oxidase subunit, cbb3-type",PP_1638_2,R3,97654.0,0.009502941,-2.022141953
PP_4251,Q88F48_PSEPK,Ccoo-i,"Cytochrome c oxidase subunit, cbb3-type",PP_1638_3,R1,13347.73333,0.000902307,-3.044645589
PP_4251,Q88F48_PSEPK,Ccoo-i,"Cytochrome c oxidase subunit, cbb3-type",PP_1638_3,R2,0.0,1e-05,-5.0
PP_4251,Q88F48_PSEPK,Ccoo-i,"Cytochrome c oxidase subunit, cbb3-type",PP_1638_3,R3,78459.8,0.007342199,-2.134173842
PP_4251,Q88F48_PSEPK,Ccoo-i,"Cytochrome c oxidase subunit, cbb3-type",PP_1982,R1,109095.6667,0.0106057,-1.974460662
PP_4251,Q88F48_PSEPK,Ccoo-i,"Cytochrome c oxidase subunit, cbb3-type",PP_1982,R2,0.0,1e-05,-5.0
PP_4251,Q88F48_PSEPK,Ccoo-i,"Cytochrome c oxidase subunit, cbb3-type",PP_1982,R3,129995.21,0.01259296,-1.899872179
PP_4251,Q88F48_PSEPK,Ccoo-i,"Cytochrome c oxidase subunit, cbb3-type",PP_2664,R1,0.0,1e-05,-5.0
PP_4251,Q88F48_PSEPK,Ccoo-i,"Cytochrome c oxidase subunit, cbb3-type",PP_2664,R2,154943.05,0.014870807,-1.82766546
PP_4251,Q88F48_PSEPK,Ccoo-i,"Cytochrome c oxidase subunit, cbb3-type",PP_2664,R3,172227.1467,0.016722421,-1.776700855
PP_4251,Q88F48_PSEPK,Ccoo-i,"Cytochrome c oxidase subunit, cbb3-type",PP_2665,R1,192428.5633,0.020095821,-1.696894253
PP_4251,Q88F48_PSEPK,Ccoo-i,"Cytochrome c oxidase subunit, cbb3-type",PP_2665,R2,152430.5133,0.015470038,-1.810508617
PP_4251,Q88F48_PSEPK,Ccoo-i,"Cytochrome c oxidase subunit, cbb3-type",PP_2665,R3,223104.4333,0.02280182,-1.64203048
PP_4251,Q88F48_PSEPK,Ccoo-i,"Cytochrome c oxidase subunit, cbb3-type",PP_2680,R1,106464.68,0.010381059,-1.983758324
PP_4251,Q88F48_PSEPK,Ccoo-i,"Cytochrome c oxidase subunit, cbb3-type",PP_2680,R2,119372.6333,0.011472204,-1.94035315
PP_4251,Q88F48_PSEPK,Ccoo-i,"Cytochrome c oxidase subunit, cbb3-type",PP_2680,R3,84536.56667,0.007900259,-2.102358653
PP_4251,Q88F48_PSEPK,Ccoo-i,"Cytochrome c oxidase subunit, cbb3-type",PP_3379,R1,0.0,1e-05,-5.0
PP_4251,Q88F48_PSEPK,Ccoo-i,"Cytochrome c oxidase subunit, cbb3-type",PP_3379,R2,71577.64667,0.006685105,-2.174891788
PP_4251,Q88F48_PSEPK,Ccoo-i,"Cytochrome c oxidase subunit, cbb3-type",PP_3379,R3,149673.1367,0.013674999,-1.864072703
PP_4251,Q88F48_PSEPK,Ccoo-i,"Cytochrome c oxidase subunit, cbb3-type",PP_3416,R1,162361.1733,0.016385735,-1.785534072
PP_4251,Q88F48_PSEPK,Ccoo-i,"Cytochrome c oxidase subunit, cbb3-type",PP_3416,R2,152994.1233,0.015132665,-1.820084577
PP_4251,Q88F48_PSEPK,Ccoo-i,"Cytochrome c oxidase subunit, cbb3-type",PP_3416,R3,151609.2333,0.015425783,-1.811752789
PP_4251,Q88F48_PSEPK,Ccoo-i,"Cytochrome c oxidase subunit, cbb3-type",PP_5313,R1,75349.7,0.007488431,-2.125609187
PP_4251,Q88F48_PSEPK,Ccoo-i,"Cytochrome c oxidase subunit, cbb3-type",PP_5313,R2,137870.7533,0.013683921,-1.86378943
PP_4251,Q88F48_PSEPK,Ccoo-i,"Cytochrome c oxidase subunit, cbb3-type",PP_5313,R3,181471.4333,0.017918967,-1.746687026
PP_4251,Q88F48_PSEPK,Ccoo-i,"Cytochrome c oxidase subunit, cbb3-type",PP_0815_NT,R1,85822.42,0.008124215,-2.090218577
PP_4251,Q88F48_PSEPK,Ccoo-i,"Cytochrome c oxidase subunit, cbb3-type",PP_0815_NT,R2,137842.5867,0.013216792,-1.878873957
PP_4251,Q88F48_PSEPK,Ccoo-i,"Cytochrome c oxidase subunit, cbb3-type",PP_0815_NT,R3,80991.29,0.008147399,-2.088981014
PP_4251,Q88F48_PSEPK,Ccoo-i,"Cytochrome c oxidase subunit, cbb3-type",PP_0815_Target,R1,163191.32,0.016622698,-1.779298474
PP_4251,Q88F48_PSEPK,Ccoo-i,"Cytochrome c oxidase subunit, cbb3-type",PP_0815_Target,R2,297470.0333,0.030185877,-1.520196201
PP_4251,Q88F48_PSEPK,Ccoo-i,"Cytochrome c oxidase subunit, cbb3-type",PP_0815_Target,R3,211937.6333,0.022415387,-1.649453764
PP_4248,PPNP_PSEPK,Ppnp,Pyrimidine/purine nucleoside phosphorylase,PP_0378,R1,369175.3333,0.034354892,-1.464011412
