From	Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	Gene Names (ordered locus)	Gene Names (ORF)	Gene Names (primary)	Gene Names (synonym)
Q88E24	Q88E24	unreviewed	Q88E24_PSEPK	DNA repair protein RadA	radA PP_4644	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	456	PP_4644		radA	
Q88E25	Q88E25	unreviewed	Q88E25_PSEPK	Xanthine/uracil permease family protein	PP_4643	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	505	PP_4643			
Q88E26	Q88E26	unreviewed	Q88E26_PSEPK	Cyclic diguanosine monophosphate-binding protein (c-di-GMP-binding protein) (Pilz domain-containing protein)	PP_4642	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	128	PP_4642			
Q88E27	Q88E27	unreviewed	Q88E27_PSEPK	Transporter	yjiY PP_4641	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	688	PP_4641		yjiY	
Q88E29	Q88E29	unreviewed	Q88E29_PSEPK	P-loop guanosine triphosphatase-dependent zinc chaperone	zinU PP_4639	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	323	PP_4639		zinU	
Q88E32	Q88E32	unreviewed	Q88E32_PSEPK	Acetyl-CoA acetyltransferase (EC 2.3.1.9)	yqeF PP_4636	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	392	PP_4636		yqeF	
Q88E33	Q88E33	reviewed	FABV_PSEPK	Enoyl-[acyl-carrier-protein] reductase [NADH] (ENR) (EC 1.3.1.9)	fabV PP_4635	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	403	PP_4635		fabV	
Q88E35	Q88E35	unreviewed	Q88E35_PSEPK	SMc04008-like domain-containing protein	PP_4633	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	98	PP_4633			
Q88E36	Q88E36	unreviewed	Q88E36_PSEPK	Dihydromonapterin reductase (EC 1.5.1.3) (EC 1.5.1.50) (Dihydrofolate reductase)	folM PP_4632	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	245	PP_4632		folM	
Q88E37	Q88E37	unreviewed	Q88E37_PSEPK	Antibiotic biosynthesis monooxygenase	PP_4631	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	186	PP_4631			
Q88E39	Q88E39	unreviewed	Q88E39_PSEPK	Sensory box protein	PP_4629	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	142	PP_4629			
Q88E40	Q88E40	unreviewed	Q88E40_PSEPK	Flavodoxin-like domain-containing protein	PP_4628	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	151	PP_4628			
Q88E46	Q88E46	unreviewed	Q88E46_PSEPK	Hmg transcriptional repressor	hmgR PP_4622	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	277	PP_4622		hmgR	
Q88E47	Q88E47	reviewed	HGD_PSEPK	Homogentisate 1,2-dioxygenase (HGDO) (EC 1.13.11.5) (Homogentisate oxygenase) (Homogentisic acid oxidase) (Homogentisicase)	hmgA PP_4621	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	433	PP_4621		hmgA	
Q88E48	Q88E48	unreviewed	Q88E48_PSEPK	fumarylacetoacetase (EC 3.7.1.2)	hmgB PP_4620	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	430	PP_4620		hmgB	
Q88E49	Q88E49	unreviewed	Q88E49_PSEPK	Maleylacetoacetate isomerase (EC 5.2.1.2)	hmgC PP_4619	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	210	PP_4619		hmgC	
Q88E51	Q88E51	unreviewed	Q88E51_PSEPK	Leucine dehydrogenase (EC 1.4.1.9)	ldh PP_4617	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	339	PP_4617		ldh	
Q88E52	Q88E52	unreviewed	Q88E52_PSEPK	YebG family protein	PP_4616	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	87	PP_4616			
Q88E58	Q88E58	unreviewed	Q88E58_PSEPK	Peptidase	PP_4610	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	525	PP_4610			
Q88E61	Q88E61	unreviewed	Q88E61_PSEPK	Transmembrane sensor	PP_4607	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	326	PP_4607			
Q88E63	Q88E63	unreviewed	Q88E63_PSEPK	Transcriptional regulator, AraC family	PP_4605	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	291	PP_4605			
Q88E64	Q88E64	unreviewed	Q88E64_PSEPK	Permease of the drug/metabolite transporter (DMT) superfamily	PP_4604	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	300	PP_4604			
Q88E65	Q88E65	unreviewed	Q88E65_PSEPK	Transcriptional regulator, AraC family	PP_4602	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	279	PP_4602			
Q88E66	Q88E66	unreviewed	Q88E66_PSEPK	Transcriptional regulator, LysR family	PP_4601	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	295	PP_4601			
Q88E67	Q88E67	unreviewed	Q88E67_PSEPK	Molybdenum cofactor biosynthesis protein B	moaB-II PP_4600	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	172	PP_4600		moaB-II	
Q88E72	Q88E72	unreviewed	Q88E72_PSEPK	Cystathionine gamma-synthase	PP_4594	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	393	PP_4594			
Q88E73	Q88E73	unreviewed	Q88E73_PSEPK	DUF465 domain-containing protein	PP_4593	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	78	PP_4593			
Q88E74	Q88E74	unreviewed	Q88E74_PSEPK	Metal dependent hydrolase	PP_4592	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	545	PP_4592			
Q88E75	Q88E75	unreviewed	Q88E75_PSEPK	Ribonuclease D (RNase D) (EC 3.1.13.5)	rnd PP_4591	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	377	PP_4591		rnd	
Q88E76	Q88E76	reviewed	Y4590_PSEPK	YcgL domain-containing protein PP_4590	PP_4590	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	97	PP_4590			
Q88E77	Q88E77	unreviewed	Q88E77_PSEPK	D-isomer specific 2-hydroxyacid dehydrogenase family protein	PP_4589	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	310	PP_4589			
Q88E78	Q88E78	unreviewed	Q88E78_PSEPK	Oxidoreductase (Nitroreductase family) (EC 1.-.-.-)	PP_4588	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	197	PP_4588			
Q88E80	Q88E80	unreviewed	Q88E80_PSEPK	M61 glycyl aminopeptidase	PP_4586	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	402	PP_4586			
Q88E81	Q88E81	unreviewed	Q88E81_PSEPK	RNA methyltransferase, TrmH family	PP_4585	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	156	PP_4585			
Q88E83	Q88E83	unreviewed	Q88E83_PSEPK	Peptidase	PP_4583	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	680	PP_4583			
Q88E84	Q88E84	unreviewed	Q88E84_PSEPK	MFS transporter	PP_4582	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	165	PP_4582			
Q88E85	Q88E85	unreviewed	Q88E85_PSEPK	Amidotransferase	yafJ PP_4581	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	257	PP_4581		yafJ	
Q88E86	Q88E86	unreviewed	Q88E86_PSEPK	DUF2937 family protein	PP_4580	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	173	PP_4580			
Q88E87	Q88E87	unreviewed	Q88E87_PSEPK	Transcriptional regulator, LysR family	PP_4579	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	303	PP_4579			
Q88E89	Q88E89	reviewed	PXPA2_PSEPK	5-oxoprolinase subunit A 2 (5-OPase subunit A 2) (EC 3.5.2.9) (5-oxoprolinase (ATP-hydrolyzing) subunit A 2)	pxpA2 PP_4577	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	258	PP_4577		pxpA2	
Q88E90	Q88E90	unreviewed	Q88E90_PSEPK	Allophanate hydrolase subunit (EC 3.5.1.54)	ybgJ PP_4576	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	229	PP_4576		ybgJ	
Q88E91	Q88E91	unreviewed	Q88E91_PSEPK	Urea amidolyase-related protein	PP_4575	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	305	PP_4575			
Q88E92	Q88E92	unreviewed	Q88E92_PSEPK	VWA domain-containing protein	PP_4574	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	392	PP_4574			
Q88E93	Q88E93	unreviewed	Q88E93_PSEPK	ATPase, AAA family	PP_4573	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	281	PP_4573			
Q88E95	Q88E95	unreviewed	Q88E95_PSEPK	Cysteine synthase (EC 2.5.1.47)	cysK PP_4571	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	324	PP_4571		cysK	
Q88E96	Q88E96	unreviewed	Q88E96_PSEPK	Aspartyl/asparaginy/proline hydroxylase domain-containing protein	PP_4570	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	311	PP_4570			
Q88EA1	Q88EA1	reviewed	ACEK_PSEPK	Isocitrate dehydrogenase kinase/phosphatase (IDH kinase/phosphatase) (IDHK/P) (EC 2.7.11.5) (EC 3.1.3.-)	aceK PP_4565	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	571	PP_4565		aceK	
Q88EA3	Q88EA3	unreviewed	Q88EA3_PSEPK	S1 motif domain-containing protein	PP_4563	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	278	PP_4563			
Q88EA4	Q88EA4	unreviewed	Q88EA4_PSEPK	Uncharacterized protein	PP_4562	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	126	PP_4562			
Q88EA5	Q88EA5	reviewed	Y4561_PSEPK	UPF0337 protein PP_4561	PP_4561	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	59	PP_4561			
Q88EA7	Q88EA7	reviewed	DEF2_PSEPK	Peptide deformylase 2 (PDF 2) (EC 3.5.1.88) (Polypeptide deformylase 2)	def2 PP_4559	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	178	PP_4559		def2	
Q88EB0	Q88EB0	unreviewed	Q88EB0_PSEPK	SnoaL-like domain-containing protein	PP_4556	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	141	PP_4556			
Q88EB1	Q88EB1	unreviewed	Q88EB1_PSEPK	YCII-related domain-containing protein	PP_4555	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	114	PP_4555			
Q88EB2	Q88EB2	unreviewed	Q88EB2_PSEPK	Activator of Hsp90 ATPase homologue 1/2-like C-terminal domain-containing protein	PP_4554	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	161	PP_4554			
Q88EB3	Q88EB3	unreviewed	Q88EB3_PSEPK	RNA polymerase sigma-70 factor, ECF subfamily	PP_4553	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	406	PP_4553			
Q88EB4	Q88EB4	unreviewed	Q88EB4_PSEPK	MaoC-like domain-containing protein	PP_4552	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	156	PP_4552			
Q88EB5	Q88EB5	unreviewed	Q88EB5_PSEPK	Hydrolase, alpha/beta fold family	PP_4551	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	314	PP_4551			
Q88EB6	Q88EB6	unreviewed	Q88EB6_PSEPK	Long-chain-fatty-acid--CoA ligase (EC 6.2.1.3) (Long-chain acyl-CoA synthetase)	fadD-II PP_4550	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	562	PP_4550		fadD-II	
Q88EB7	Q88EB7	unreviewed	Q88EB7_PSEPK	Long-chain-fatty-acid--CoA ligase (EC 6.2.1.3) (Long-chain acyl-CoA synthetase)	fadD-I PP_4549	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	565	PP_4549		fadD-I	
Q88EC0	Q88EC0	unreviewed	Q88EC0_PSEPK	ATP-dependent helicase HrpA	hrpA PP_4546	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	1301	PP_4546		hrpA	
Q88EC1	Q88EC1	unreviewed	Q88EC1_PSEPK	Beta-ketodecanoyl-(Acyl-carrier-protein) synthase (EC 2.3.1.207)	PP_4545	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	390	PP_4545			
Q88EC3	Q88EC3	unreviewed	Q88EC3_PSEPK	N-acetyltransferase	PP_4543	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	403	PP_4543			
Q88EC4	Q88EC4	unreviewed	Q88EC4_PSEPK	ABC transporter, ATP-binding protein/permease protein	PP_4542	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	610	PP_4542			
Q88EC5	Q88EC5	unreviewed	Q88EC5_PSEPK	Peptidyl-prolyl cis-trans isomerase (PPIase) (EC 5.2.1.8)	ppiA PP_4541	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	185	PP_4541		ppiA	
Q88EC6	Q88EC6	unreviewed	Q88EC6_PSEPK	Hydrolase, alpha/beta fold family	PP_4540	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	270	PP_4540			
Q88EC7	Q88EC7	unreviewed	Q88EC7_PSEPK	Transcriptional regulator, LysR family	PP_4539	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	307	PP_4539			
Q88EC8	Q88EC8	reviewed	AZOR2_PSEPK	FMN-dependent NADH:quinone oxidoreductase 2 (EC 1.6.5.-) (Azo-dye reductase 2) (FMN-dependent NADH-azo compound oxidoreductase 2) (FMN-dependent NADH-azoreductase 2) (EC 1.7.1.17)	azoR2 PP_4538	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	199	PP_4538		azoR2	
Q88ED2	Q88ED2	unreviewed	Q88ED2_PSEPK	Mechanosensitive channel of miniconductance	mscMB PP_4533	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	433	PP_4533		mscMB	
Q88ED3	Q88ED3	unreviewed	Q88ED3_PSEPK	ATP-dependent DEAD-box RNA helicase require for 50S ribosomal subunit biogenesis (EC 2.7.7.-)	srmB PP_4532	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	440	PP_4532		srmB	
Q88ED7	Q88ED7	unreviewed	Q88ED7_PSEPK	Transcriptional regulator	PP_4528	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	143	PP_4528			
Q88EE2	Q88EE2	unreviewed	Q88EE2_PSEPK	Agmatinase	PP_4523	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	320	PP_4523			
Q88EE4	Q88EE4	unreviewed	Q88EE4_PSEPK	Aerotaxis receptor	PP_4521	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	521	PP_4521			
Q88EE5	Q88EE5	unreviewed	Q88EE5_PSEPK	tRNA-uridine aminocarboxypropyltransferase (EC 2.5.1.25)	PP_4520	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	199	PP_4520			
Q88EE6	Q88EE6	unreviewed	Q88EE6_PSEPK	Agglutination protein	tolC PP_4519	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	452	PP_4519		tolC	
Q88EE8	Q88EE8	unreviewed	Q88EE8_PSEPK	YecA family protein	PP_4517	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	195	PP_4517			
Q88EE9	Q88EE9	unreviewed	Q88EE9_PSEPK	DNA helicase RecQ (EC 5.6.2.4)	recQ PP_4516	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	715	PP_4516		recQ	
Q88EF0	Q88EF0	unreviewed	Q88EF0_PSEPK	Transcriptional regulator, MarR family	PP_4515	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	145	PP_4515			
Q88EF2	Q88EF2	unreviewed	Q88EF2_PSEPK	Selenoprotein	PP_4513	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	93	PP_4513			
Q88EF7	Q88EF7	unreviewed	Q88EF7_PSEPK	Transcriptional regulator, AraC family	PP_4508	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	326	PP_4508			
Q88EF9	Q88EF9	unreviewed	Q88EF9_PSEPK	Putative NAD(P)H nitroreductase (EC 1.-.-.-)	PP_4506	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	185	PP_4506			
Q88EG0	Q88EG0	unreviewed	Q88EG0_PSEPK	histidine kinase (EC 2.7.13.3)	PP_4505	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	446	PP_4505			
Q88EG1	Q88EG1	unreviewed	Q88EG1_PSEPK	LTXXQ domain protein	PP_4504	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	138	PP_4504			
Q88EG2	Q88EG2	unreviewed	Q88EG2_PSEPK	DNA-binding response regulator	PP_4503	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	225	PP_4503			
Q88EG3	Q88EG3	unreviewed	Q88EG3_PSEPK	Enzyme	yciI PP_4502	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	110	PP_4502		yciI	
Q88EG5	Q88EG5	unreviewed	Q88EG5_PSEPK	Maturation enzyme	yciO PP_4499	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	221	PP_4499		yciO	
Q88EG7	Q88EG7	unreviewed	Q88EG7_PSEPK	Segregation and condensation protein B	PP_4497	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	255	PP_4497			
Q88EG8	Q88EG8	unreviewed	Q88EG8_PSEPK	Aromatic amino acid transport protein AroP (Aromatic amino acid:H(+) symporter AroP) (General aromatic amino acid permease)	aroP-II PP_4495	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	472	PP_4495		aroP-II	
Q88EH2	Q88EH2	reviewed	PHS_PSEPK	Pterin-4-alpha-carbinolamine dehydratase (PHS) (EC 4.2.1.96) (4-alpha-hydroxy-tetrahydropterin dehydratase) (Pterin carbinolamine dehydratase) (PCD)	phhB PP_4491	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	118	PP_4491		phhB	
Q88EH5	Q88EH5	unreviewed	Q88EH5_PSEPK	DUF2790 domain-containing protein	PP_4488	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	84	PP_4488			
Q88EH6	Q88EH6	reviewed	ACSA1_PSEPK	Acetyl-coenzyme A synthetase 1 (AcCoA synthetase 1) (Acs 1) (EC 6.2.1.1) (Acetate--CoA ligase 1) (Acyl-activating enzyme 1)	acsA1 PP_4487	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	653	PP_4487		acsA1	
Q88EH7	Q88EH7	unreviewed	Q88EH7_PSEPK	Lysine / arginine / ornithine ABC transporter-periplasmic binding protein (EC 3.6.3.21)	argT PP_4486	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	261	PP_4486		argT	
Q88EH8	Q88EH8	unreviewed	Q88EH8_PSEPK	Histidine / lysine / arginine / ornithine ABC transporter-permease subunit (EC 3.6.3.21)	hisQ PP_4485	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	229	PP_4485		hisQ	
Q88EH9	Q88EH9	unreviewed	Q88EH9_PSEPK	Histidine/lysine/arginine/ornithine transport system permease protein HisM	hisM PP_4484	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	232	PP_4484		hisM	
Q88EI0	Q88EI0	unreviewed	Q88EI0_PSEPK	Histidine lysine / arginine / ornithine ABC transporter-ATP binding subunit (EC 3.6.3.21)	hisP PP_4483	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	254	PP_4483		hisP	
Q88EI1	Q88EI1	unreviewed	Q88EI1_PSEPK	Transcriptional regulator, AraC family	PP_4482	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	326	PP_4482			
Q88EI2	Q88EI2	unreviewed	Q88EI2_PSEPK	Arginine N-succinyltransferase, subunit alpha (EC 2.3.1.109)	astA-II PP_4480	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	339	PP_4480		astA-II	
Q88EI3	Q88EI3	unreviewed	Q88EI3_PSEPK	Arginine N-succinyltransferase (EC 2.3.1.109)	astA-I PP_4479	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	342	PP_4479		astA-I	
Q88EI4	Q88EI4	reviewed	ASTD_PSEPK	N-succinylglutamate 5-semialdehyde dehydrogenase (EC 1.2.1.71) (Succinylglutamic semialdehyde dehydrogenase) (SGSD)	astD PP_4478	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	487	PP_4478		astD	
Q88EI5	Q88EI5	reviewed	ASTB_PSEPK	N-succinylarginine dihydrolase (EC 3.5.3.23)	astB PP_4477	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	449	PP_4477		astB	
Q88EI6	Q88EI6	unreviewed	Q88EI6_PSEPK	Topoisomerase II	PP_4476	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	96	PP_4476			
Q88EI7	Q88EI7	reviewed	ASTE_PSEPK	Succinylglutamate desuccinylase (EC 3.5.1.96)	astE PP_4475	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	335	PP_4475		astE	
Q88EI8	Q88EI8	reviewed	SYA_PSEPK	Alanine--tRNA ligase (EC 6.1.1.7) (Alanyl-tRNA synthetase) (AlaRS)	alaS PP_4474	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	874	PP_4474		alaS	
Q88EI9	Q88EI9	reviewed	AK_PSEPK	Aspartate kinase (EC 2.7.2.4) (Aspartokinase)	PP_4473	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	411	PP_4473			
Q88EJ0	Q88EJ0	unreviewed	Q88EJ0_PSEPK	Translational regulator CsrA (Carbon storage regulator)	csrA PP_4472	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	62	PP_4472		csrA	
Q88EJ1	Q88EJ1	unreviewed	Q88EJ1_PSEPK	Magnesium transporter MgtE	mgtE PP_4471	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	480	PP_4471		mgtE	
Q88EJ2	Q88EJ2	unreviewed	Q88EJ2_PSEPK	Transcriptional regulator (Arc domain-containing)	PP_4470	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	108	PP_4470			
Q88EK2	Q88EK2	unreviewed	Q88EK2_PSEPK	Transcriptional regulator, LysR family	PP_4460	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	308	PP_4460			
Q88EK9	Q88EK9	unreviewed	Q88EK9_PSEPK	Glutathione import ATP-binding protein GsiA (EC 7.4.2.10)	gsiA PP_4453	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	610	PP_4453		gsiA	
