Rank,Protein.Group,Protein.Names,Protein,Protein.Description,%_of protein_abundance_Top3-method
293,Q88D60,METK_PSEPK,Metk,S-adenosylmethionine synthase,0.062794254
294,Q88NV7,SYM_PSEPK,Metg,Methionine--tRNA ligase,0.062600775
295,Q88QD6,Q88QD6_PSEPK,Accc-1,"Acetyl-CoA carboxylase, biotin carboxylase",0.062045324
296,Q88EQ6,YCGR_PSEPK,Ycgr,Flagellar brake protein YcgR,0.06189778
297,P59612,ARGJ_PSEPK,Argj,Arginine biosynthesis bifunctional protein ArgJ,0.061771391
298,Q88BX5,ATPE_PSEPK,Atpc,ATP synthase epsilon chain,0.061747344
299,Q88P91,Q88P91_PSEPK,Ttg2d,Toluene-tolerance protein,0.061478259
300,Q88FH5,NUOCD_PSEPK,Nuoc,NADH-quinone oxidoreductase subunit C/D,0.061474938
301,Q88RB9,DAVT_PSEPK,Davt,5-aminovalerate aminotransferase DavT,0.061114479
302,Q88QR6,TRPC_PSEPK,Trpc,Indole-3-glycerol phosphate synthase,0.061038901
303,Q88D48,Q88D48_PSEPK,Rhle,ATP-dependent RNA helicase RhlE,0.060846006
304,Q88P54,Q88P54_PSEPK,Arcc,Carbamate kinase,0.060521797
305,P59319,ARGD_PSEPK,Argd,Acetylornithine aminotransferase,0.060089787
306,Q88PL5,Q88PL5_PSEPK,Secd,Protein translocase subunit SecD,0.060023775
307,Q88MA9,PUR5_PSEPK,Purm,Phosphoribosylformylglycinamidine cyclo-ligase,0.059897486
308,Q88DA5,THIC_PSEPK,Thic,Phosphomethylpyrimidine synthase,0.059891812
309,Q88GQ6,Q88GQ6_PSEPK,Pp_3662,Decarboxylase family protein,0.059844074
310,Q88EH7,Q88EH7_PSEPK,Pp_4486,"Basic amino acid ABC transporter, periplasmic basic amino acid-binding protein",0.059453314
311,Q88QS1,Q88QS1_PSEPK,Trpe,"Anthranilate synthase, component I",0.059191866
312,Q88M42,Q88M42_PSEPK,Mind,Site-determining protein,0.059042543
313,Q88LB8,Q88LB8_PSEPK,Pepn,Aminopeptidase N,0.058915932
314,Q88E10,MCPS_PSEPK,Mcps,Methyl-accepting chemotaxis protein McpS,0.058861
315,Q88M00,Q88M00_PSEPK,Pp_1776,Mannose-6-phosphate isomerase/mannose-1-phosphate guanylyltransferase,0.05877508
316,Q88PK8,ISCS_PSEPK,Iscs,Cysteine desulfurase IscS,0.05853821
317,Q88Q14,Q88Q14_PSEPK,Fklb-1,Peptidyl-prolyl cis-trans isomerase,0.058507964
318,Q88NA9,CYSD_PSEPK,Cysd,Sulfate adenylyltransferase subunit 2,0.058146025
319,Q88DD5,Q88DD5_PSEPK,Hflk,HflK protein,0.058109718
320,Q88P87,HIS1_PSEPK,Hisg,ATP phosphoribosyltransferase,0.057933322
321,Q88FC0,Q88FC0_PSEPK,Pp_4178,Dienelactone hydrolase family protein,0.05791058
322,Q88M05,Q88M05_PSEPK,Pp_1770,3-phosphoshikimate 1-carboxyvinyltransferase,0.057794586
323,Q88DY4,Q88DY4_PSEPK,Pp_4684,Uncharacterized protein,0.057659301
324,Q88EE8,Q88EE8_PSEPK,Pp_4517,Uncharacterized protein,0.057632402
325,P0A173,TOLB_PSEPK,Tolb,Protein TolB,0.057250548
326,Q88QQ6,ARGC1_PSEPK,Argc1,N-acetyl-gamma-glutamyl-phosphate reductase 1,0.056958356
327,Q88GA4,Q88GA4_PSEPK,Galu,UTP--glucose-1-phosphate uridylyltransferase,0.056530907
328,Q88MU0,Q88MU0_PSEPK,Pp_1478,"Xenobiotic reductase, putative",0.056488167
329,Q88NR4,Q88NR4_PSEPK,Brac,"Branched-chain amino acid ABC transporter, periplasmic amino acid-binding protein",0.056009293
330,Q88P86,HIS8_PSEPK,Hisc,Histidinol-phosphate aminotransferase,0.055953336
331,Q88K22,SYFB_PSEPK,Phet,Phenylalanine--tRNA ligase beta subunit,0.055285403
332,Q88NM8,Q88NM8_PSEPK,Nrda,Ribonucleoside-diphosphate reductase,0.055247622
333,Q88KF5,Q88KF5_PSEPK,Pp_2335,Citrate synthase,0.055125951
334,Q88M08,Q88M08_PSEPK,Gyra,DNA gyrase subunit A,0.054445227
335,Q88RN3,Q88RN3_PSEPK,Prlc,Oligopeptidase A,0.053971876
336,Q88DB8,Q88DB8_PSEPK,Serb,Phosphoserine phosphatase,0.053919083
337,Q88PJ6,SYH_PSEPK,Hiss,Histidine--tRNA ligase,0.053725881
338,Q88MU8,Q88MU8_PSEPK,Hom,Homoserine dehydrogenase,0.053560292
339,Q88Q18,Q88Q18_PSEPK,Pp_0680,"ATP-dependent protease, putative",0.053484673
340,Q88RW2,Q88RW2_PSEPK,Pp_0017,"Transcriptional regulator MvaT, P16 subunit, putative",0.053181538
341,Q88CQ7,COAD_PSEPK,Coad,Phosphopantetheine adenylyltransferase,0.053101983
342,P59400,HISX_PSEPK,Hisd,Histidinol dehydrogenase,0.053024297
343,Q88Q08,OBG_PSEPK,Obg,GTPase Obg,0.052705917
344,Q88PT5,Q88PT5_PSEPK,Pp_0763,Medium-chain-fatty-acid CoA ligase,0.052646799
345,Q88R76,Q88R76_PSEPK,Pp_0258,LysM domain protein,0.052512571
346,Q88FH3,Q88FH3_PSEPK,Nuof,"NADH dehydrogenase I, F subunit",0.052364428
347,Q88CY1,Q88CY1_PSEPK,Ntrc,Two-component response regulator NtrC,0.052247867
348,Q88PL6,Q88PL6_PSEPK,Yajc,"Preprotein translocase, YajC subunit",0.051987237
349,Q88LZ3,Q88LZ3_PSEPK,Rmla,Glucose-1-phosphate thymidylyltransferase,0.051961027
350,Q88K52,Q88K52_PSEPK,Ahpc,"Alkyl hydroperoxide reductase, C subunit",0.051795346
351,Q88KF6,Q88KF6_PSEPK,Prpb,2-methylisocitrate lyase,0.051656239
352,Q88CV5,Q88CV5_PSEPK,Gltd,"Glutamate synthase, small subunit",0.051651315
353,Q88IT6,Q88IT6_PSEPK,Hemb-1,Delta-aminolevulinic acid dehydratase,0.051638214
354,Q88MX5,Q88MX5_PSEPK,Lon-1,Lon protease,0.05160749
355,Q88M07,SERC_PSEPK,Serc,Phosphoserine aminotransferase,0.05150338
356,Q88DL6,Q88DL6_PSEPK,Rsfs,Ribosomal silencing factor RsfS,0.051413097
357,Q88M55,Q88M55_PSEPK,Prc,Tail-specific protease prc,0.051391095
358,Q88D52,Q88D52_PSEPK,Pp_4975,Long-chain acyl-CoA thioester hydrolase family protein,0.051269177
359,Q88CR2,Q88CR2_PSEPK,Pp_5118,"Thiosulfate sulfurtransferase, putative",0.051034057
360,Q88NW7,PYRC_PSEPK,Pyrc,Dihydroorotase,0.05094032
361,Q88MD8,Q88MD8_PSEPK,Pp_1635,DNA-binding response regulator,0.050712236
362,Q88PJ4,Q88PJ4_PSEPK,Bamb,Outer membrane protein assembly factor BamB,0.050632649
363,Q88C92,PYRE_PSEPK,Pyre,Orotate phosphoribosyltransferase,0.050573758
364,Q88NA1,SYW_PSEPK,Trps,Tryptophan--tRNA ligase,0.050428503
365,Q88RK0,Q88RK0_PSEPK,Pp_0129,GGDEF domain protein,0.050285248
366,Q88QK8,Q88QK8_PSEPK,Pp_0482,Ferroxidase,0.050230922
367,Q88FF8,CHRR_PSEPK,Pp_4138,Chromate reductase,0.050124062
368,Q88PU8,Q88PU8_PSEPK,Pp_0750,Uncharacterized protein,0.049942439
369,Q88ED3,Q88ED3_PSEPK,Pp_4532,"ATP-dependent RNA helicase, DEAD box family",0.049854828
370,Q88N72,Q88N72_PSEPK,Ftsa,Cell division protein ftsA,0.04965408
371,Q88DM3,Y4802_PSEPK,Pp_4802,UPF0250 protein PP_4802,0.049420539
372,Q88PX9,Q88PX9_PSEPK,Ychf,Ribosome-binding ATPase YchF,0.049209954
373,Q88FS5,Q88FS5_PSEPK,Clpa,"ATP-dependent Clp protease, ATP-binding subunit ClpA",0.04919592
374,Q88DV3,GLMM_PSEPK,Glmm,Phosphoglucosamine mutase,0.049076629
375,Q88KG3,Q88KG3_PSEPK,Cysb,Transcriptional regulator CysB,0.049061025
376,Q88F95,Q88F95_PSEPK,Pp_4203,"Electron transfer flavoprotein-ubiquinone oxidoreductase, putative",0.048704999
377,Q88MI3,Q88MI3_PSEPK,Pp_1588,"Aminotransferase, class I",0.048449735
378,Q88C82,RPOZ_PSEPK,Rpoz,DNA-directed RNA polymerase subunit omega,0.048335729
379,Q88CJ7,Q88CJ7_PSEPK,Pp_5183,"Glutamine synthetase, putative",0.048310449
380,Q88MR7,Q88MR7_PSEPK,Pp_1502,OmpA family protein,0.048261872
381,Q88R52,Q88R52_PSEPK,Pp_0282,"Amino acid ABC transporter, periplasmic amino acid-binding protein",0.047723549
382,Q88DE6,Q88DE6_PSEPK,Vacb,Ribonuclease R,0.047702298
383,Q88MH2,Q88MH2_PSEPK,Bama,Outer membrane protein assembly factor BamA,0.047548038
384,Q88DX5,Q88DX5_PSEPK,Dksa,RNA polymerase-binding transcription factor DksA,0.047495341
385,Q88L40,PYRD_PSEPK,Pyrd,Dihydroorotate dehydrogenase (quinone),0.047487466
386,Q88QH7,Q88QH7_PSEPK,Ribba-1,"3,4-dihydroxy-2-butanone 4-phosphate synthase",0.047482097
387,Q88C47,Q88C47_PSEPK,Pure,N5-carboxyaminoimidazole ribonucleotide mutase,0.047180119
388,Q88FH6,NUOB_PSEPK,Nuob,NADH-quinone oxidoreductase subunit B,0.047069445
389,Q88GF9,Q88GF9_PSEPK,Pp_3765,"Transcriptional regulator MvaT, P16 subunit, putative",0.047055573
390,Q88QT4,SURA_PSEPK,Sura,Chaperone SurA,0.047040954
391,Q88CX4,GPMI_PSEPK,Gpmi,"2,3-bisphosphoglycerate-independent phosphoglycerate mutase",0.046921243
392,Q88KM5,FOLD2_PSEPK,Fold2,Bifunctional protein FolD 2,0.046827175
393,Q88D30,PYRB_PSEPK,Pyrb,Aspartate carbamoyltransferase,0.046678086
394,Q88PA8,Q88PA8_PSEPK,Pmba,PmbA protein,0.046630154
395,Q88R81,HSLO_PSEPK,Hslo,33 kDa chaperonin,0.046592879
396,Q88QR7,TRPD_PSEPK,Trpd,Anthranilate phosphoribosyltransferase,0.046387389
397,Q88R87,Q88R87_PSEPK,Ompr-1,DNA-binding response regulator OmpR,0.046193526
398,Q88N93,Q88N93_PSEPK,Petc,"Ubiquinol--cytochrome c reductase, cytochrome c1",0.046152662
399,Q88MB8,Q88MB8_PSEPK,Rela,GTP pyrophosphokinase,0.046142118
400,Q88CI8,GCSH2_PSEPK,Gcvh2,Glycine cleavage system H protein 2,0.045990144
401,Q88ME7,MUTS_PSEPK,Muts,DNA mismatch repair protein MutS,0.045933391
402,P0A140,YIDC_PSEPK,Yidc,Membrane protein insertase YidC,0.045828003
403,Q88ET0,Q88ET0_PSEPK,Fleq,Transcriptional regulator FleQ,0.045775924
404,Q88CI0,Y5201_PSEPK,Pp_5201,UPF0149 protein PP_5201,0.045614037
405,Q88NA3,Q88NA3_PSEPK,Pp_1309,Uncharacterized protein,0.045594859
406,Q88P42,Q88P42_PSEPK,Glk,Glucokinase,0.045529269
407,Q88PS5,Q88PS5_PSEPK,Pp_0773,OmpA family protein,0.044546124
408,Q88JK1,Q88JK1_PSEPK,Pp_2648,Universal stress protein family,0.044500717
409,Q88HC7,Q88HC7_PSEPK,Hpd,4-hydroxyphenylpyruvate dioxygenase,0.044434938
410,Q88QR8,Q88QR8_PSEPK,Trpg,"Anthranilate synthase, component II",0.044242722
411,Q88LL7,Q88LL7_PSEPK,Fabd,Malonyl CoA-acyl carrier protein transacylase,0.044136464
412,Q88FA5,Q88FA5_PSEPK,Sdhc,"Succinate dehydrogenase, cytochrome b556 subunit",0.04412782
413,Q88NH1,Q88NH1_PSEPK,Pp_1238,"Lipoprotein, putative",0.043864518
414,Q88MG4,ACCA_PSEPK,Acca,Acetyl-coenzyme A carboxylase carboxyl transferase subunit alpha,0.0438586
415,Q88L55,Q88L55_PSEPK,Pp_2080,Uncharacterized protein,0.043801165
416,Q88FA6,Q88FA6_PSEPK,Sdhd,"Succinate dehydrogenase, hydrophobic membrane anchor protein",0.043614222
417,Q88RE2,Q88RE2_PSEPK,Hemy,HemY protein,0.043427972
418,Q88DI4,Q88DI4_PSEPK,Pp_4841,"Branched-chain amino acid ABC transporter, periplasmic amino acid-binding protein, putative",0.043364225
419,Q88QQ2,SYY_PSEPK,Tyrs,Tyrosine--tRNA ligase,0.043280262
420,Q88JG2,Q88JG2_PSEPK,Pp_2687,Uncharacterized protein,0.043205919
421,Q88R98,Q88R98_PSEPK,Lsfa,Antioxidant protein LsfA,0.043042572
422,Q88IU5,SYQ_PSEPK,Glns,Glutamine--tRNA ligase,0.042706321
423,Q88DK2,PUR2_PSEPK,Purd,Phosphoribosylamine--glycine ligase,0.042695694
424,Q88QU1,Q88QU1_PSEPK,Pp_0395,Uncharacterized protein,0.04258911
425,Q88QS3,Q88QS3_PSEPK,Rpe,Ribulose-phosphate 3-epimerase,0.042504136
426,Q88PL3,Q88PL3_PSEPK,Pp_0837,Uncharacterized protein,0.042469645
427,Q88P67,Q88P67_PSEPK,Gcvt-1,Aminomethyltransferase,0.042130718
428,Q88M72,RDGC_PSEPK,Rdgc,Recombination-associated protein RdgC,0.041530554
429,Q88QK5,SSB_PSEPK,Ssb,Single-stranded DNA-binding protein,0.04132314
430,Q88LF6,SYE_PSEPK,Gltx,Glutamate--tRNA ligase,0.041106278
431,Q88NR0,RAPA_PSEPK,Rapa,RNA polymerase-associated protein RapA,0.040937943
432,Q88GV6,Q88GV6_PSEPK,Pp_3611,Uncharacterized protein,0.040919451
433,Q88MW1,PURT_PSEPK,Purt,Phosphoribosylglycinamide formyltransferase 2,0.040887449
434,Q88BW9,ATPL_PSEPK,Atpe,ATP synthase subunit c,0.040852514
435,Q88N95,Q88N95_PSEPK,Peta,Ubiquinol-cytochrome c reductase iron-sulfur subunit,0.040831366
436,Q88D29,Q88D29_PSEPK,Pyrc,Dihydroorotase,0.04080647
437,Q88Q11,Q88Q11_PSEPK,Ispb,Octylprenyl diphosphate synthase,0.040782536
438,Q88H65,Q88H65_PSEPK,Pp_3496,Uncharacterized protein,0.040703567
439,Q88LD4,Q88LD4_PSEPK,Metz,O-succinylhomoserine sulfhydrylase,0.040663376
440,Q88LZ0,Q88LZ0_PSEPK,Pp_1786,"Glycosyl transferase, putative",0.040646402
441,Q99ZW2,CAS9_STRP1,Cas9,CRISPR-associated endonuclease Cas9/Csn1,0.040496009
442,Q88PD7,Q88PD7_PSEPK,Pp_0913,Uncharacterized protein,0.04029003
443,Q88PJ3,DER_PSEPK,Der,GTPase Der,0.040063449
444,Q88P99,Q88P99_PSEPK,Pp_0953,"ABC transporter, ATP-binding protein, putative",0.040037095
445,Q88N49,Q88N49_PSEPK,Puru-2,Formyltetrahydrofolate deformylase,0.039903533
446,Q88I55,Q88I55_PSEPK,Pp_3146,"Oxidoreductase, putative",0.039850132
447,Q88MY7,LEPA_PSEPK,Lepa,Elongation factor 4,0.039735736
448,Q88PR2,Q88PR2_PSEPK,Trxb,Thioredoxin reductase,0.039680349
449,Q88RW6,Q88RW6_PSEPK,Gyrb,DNA gyrase subunit B,0.039655468
450,Q88DV8,RBFA_PSEPK,Rbfa,Ribosome-binding factor A,0.039634907
451,Q88IU2,Q88IU2_PSEPK,Pp_2907,DNA-binding response regulator,0.039466791
452,Q88GY7,Q88GY7_PSEPK,Pp_3578,"Phosphoglucomutase, alpha-D-glucose phosphate-specific",0.03942714
453,Q88M06,Q88M06_PSEPK,Phea,Chorismate mutase/prephenate dehydratase,0.039289615
454,Q88NF1,Q88NF1_PSEPK,Pp_1261,D-isomer specific 2-hydroxyacid dehydrogenase family protein,0.039173829
455,Q88L30,Q88L30_PSEPK,Pp_2105,Uncharacterized protein,0.03887418
456,Q88KG6,Q88KG6_PSEPK,Arof-1,Phospho-2-dehydro-3-deoxyheptonate aldolase,0.038806801
457,Q88RW1,Q88RW1_PSEPK,Pp_0018,Uncharacterized protein,0.038804658
458,Q88L51,RRAAH_PSEPK,Pp_2084,Putative 4-hydroxy-4-methyl-2-oxoglutarate aldolase,0.038733845
459,Q88QV5,PQQB_PSEPK,Pqqb,Coenzyme PQQ synthesis protein B,0.038628241
460,Q88EC1,Q88EC1_PSEPK,Pp_4545,"3-oxoacyl-(Acyl-carrier-protein) synthase III, putative",0.038469547
461,Q88NT3,Q88NT3_PSEPK,Pp_1121,OmpA family protein,0.037830367
462,Q88CY8,Q88CY8_PSEPK,Glgp,"Alpha-1,4 glucan phosphorylase",0.037795536
463,Q88CK0,Q88CK0_PSEPK,Potf-1,"Putrescine ABC transporter, periplasmic putrescine-binding protein",0.037788243
464,Q88CM4,Q88CM4_PSEPK,Pp_5156,Uncharacterized protein,0.037764134
465,Q88C48,Q88C48_PSEPK,Purk,N5-carboxyaminoimidazole ribonucleotide synthase,0.037747405
466,Q88CT5,Q88CT5_PSEPK,Proc-2,Pyrroline-5-carboxylate reductase,0.037657191
467,Q88Q12,Q88Q12_PSEPK,Phna,PhnA protein,0.03758375
468,Q88II0,Q88II0_PSEPK,Pp_3019,Carbon-nitrogen hydrolase family protein,0.037313604
469,Q88LQ7,Q88LQ7_PSEPK,Pp_1872,"Aminotransferase, class I",0.037298319
470,Q59692,FTSZ_PSEPK,Ftsz,Cell division protein FtsZ,0.037034056
471,Q88PJ5,Q88PJ5_PSEPK,Pp_0855,Uncharacterized protein,0.03694366
472,Q88FC9,GPDA_PSEPK,Gpsa,Glycerol-3-phosphate dehydrogenase [NAD(P)+],0.036819569
473,Q88PB9,GATA_PSEPK,Gata,Glutamyl-tRNA(Gln) amidotransferase subunit A,0.036750602
474,Q88GQ0,KATG_PSEPK,Katg,Catalase-peroxidase,0.036724805
475,Q88EF9,Q88EF9_PSEPK,Pp_4506,Nitroreductase family protein,0.036602415
476,Q88DF5,Q88DF5_PSEPK,Pp_4870,Azurin,0.036583013
477,Q88MV7,Q88MV7_PSEPK,Ffh,Signal recognition particle protein,0.036439789
478,Q88DP0,GSA_PSEPK,Heml,"Glutamate-1-semialdehyde 2,1-aminomutase",0.036390077
479,Q88NH3,Q88NH3_PSEPK,Pp_1236,"Glycine cleavage system transcriptional repressor, putative",0.036390003
480,Q88Q73,Q88Q73_PSEPK,Bamd,Outer membrane protein assembly factor BamD,0.036250999
481,Q88L06,Q88L06_PSEPK,Pp_2131,"ABC transporter, ATP-binding protein",0.036217138
482,Q88K23,SYFA_PSEPK,Phes,Phenylalanine--tRNA ligase alpha subunit,0.036098788
483,P59560,Y1352_PSEPK,Pp_1352,UPF0234 protein PP_1352,0.03580755
484,Q88F34,Q88F34_PSEPK,Anr,Transcriptional regulator Anr,0.035768725
485,P59351,Y396_PSEPK,Pp_0396,UPF0229 protein PP_0396,0.035529814
486,P0A126,IHFA_PSEPK,Ihfa,Integration host factor subunit alpha,0.035485782
487,Q88RK2,Q88RK2_PSEPK,Pp_0127,Thiol:disulfide interchange protein,0.035338248
488,Q88CX2,Q88CX2_PSEPK,Pp_5058,Carboxyl-terminal protease,0.035317262
489,Q88PJ7,ISPG_PSEPK,Ispg,4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase (flavodoxin),0.035294783
490,Q88LU7,AROC_PSEPK,Aroc,Chorismate synthase,0.035237685
491,Q88EB4,Q88EB4_PSEPK,Phaj1,"Enoyl-CoA hydratase, R-specific",0.03496146
492,Q88D31,Q88D31_PSEPK,Pyrr,Transcriptional regulator PyrR,0.034816809
493,Q88CS6,THIG_PSEPK,Thig,Thiazole synthase,0.034775749
494,Q88D03,OPGG_PSEPK,Opgg,Glucans biosynthesis protein G,0.03477069
495,Q88GI4,Q88GI4_PSEPK,Pp_3738,"Transcriptional regulator VanR, putative",0.034675146
496,Q88KG2,Q88KG2_PSEPK,Cysh,Phosphoadenosine phosphosulfate reductase,0.034560584
497,Q88RD8,Q88RD8_PSEPK,Algp,Alginate regulatory protein AlgP,0.034424157
498,Q88H69,Q88H69_PSEPK,Acda,Acyl-CoA dehydrogenase,0.034338721
499,Q88CV2,AROB_PSEPK,Arob,3-dehydroquinate synthase,0.03426445
500,Q88EE6,Q88EE6_PSEPK,Tolc,Agglutination protein,0.034158376
501,Q88QE9,Q88QE9_PSEPK,Pp_0545,Aldehyde dehydrogenase family protein,0.034118616
502,Q88IU4,SYC_PSEPK,Cyss,Cysteine--tRNA ligase,0.034112854
503,Q88CF4,Q88CF4_PSEPK,Lysa-2,Diaminopimelate decarboxylase,0.034099053
504,Q88H57,Q88H57_PSEPK,Cobw,Cobalamin biosynthesis protein CobW,0.034078364
505,Q88CJ4,Q88CJ4_PSEPK,Pp_5187,Uncharacterized protein,0.034041097
506,Q88CV3,Q88CV3_PSEPK,Pp_5077,Uncharacterized protein,0.034019688
507,Q88CB6,XPT_PSEPK,Xpt,Xanthine phosphoribosyltransferase,0.034000097
508,Q88QH5,NUSB_PSEPK,Nusb,N utilization substance protein B homolog,0.033966942
509,Q88KC0,Q88KC0_PSEPK,Pp_2370,Uncharacterized protein,0.033926766
510,Q88L02,FADB_PSEPK,Fadb,Fatty acid oxidation complex subunit alpha,0.033798197
511,Q88DP5,Q88DP5_PSEPK,Amn,AMP nucleosidase,0.0336989
512,Q88RE3,Q88RE3_PSEPK,Pp_0188,"Uroporphyrin-III C-methyltransferase, putative",0.03364807
513,Q88PK7,Q88PK7_PSEPK,Iscu,Iron-sulfur cluster assembly scaffold protein IscU,0.033607174
514,Q88D21,Q88D21_PSEPK,Pp_5007,Polyhydroxyalkanoate granule-associated protein GA2,0.033523956
515,Q88PV2,UPP_PSEPK,Upp,Uracil phosphoribosyltransferase,0.033443125
516,Q88CR9,Q88CR9_PSEPK,Ftsy,Signal recognition particle receptor FtsY,0.033400933
517,Q88C91,Q88C91_PSEPK,Crc,Catabolite repression control protein,0.033330468
518,Q88JG1,Q88JG1_PSEPK,Pp_2688,Uncharacterized protein,0.033234848
519,Q88CN5,Q88CN5_PSEPK,Ptsp,Phosphoenolpyruvate-protein phosphotransferase PtsP,0.033161746
520,Q88EW2,Q88EW2_PSEPK,Chey,Chemotaxis protein CheY,0.033102558
521,Q88LQ3,Q88LQ3_PSEPK,Pp_1876,Uncharacterized protein,0.033064333
522,Q88M04,KCY_PSEPK,Cmk,Cytidylate kinase,0.033043941
523,Q88PE1,Q88PE1_PSEPK,Pp_0909,Uncharacterized protein,0.033006085
524,Q88PI2,Q88PI2_PSEPK,Pp_0868,"Glycine betaine/carnitine/choline ABC transporter, ATP-binding protein, putative",0.032987461
525,Q88MI1,Q88MI1_PSEPK,Map,Methionine aminopeptidase,0.032965709
526,Q88DM7,Q88DM7_PSEPK,Pp_4798,"Membrane-bound lytic murein transglycosylase, putative",0.032938441
527,Q88DD4,Q88DD4_PSEPK,Hflx,GTPase HflX,0.032936824
528,Q88DV4,TPIS_PSEPK,Tpia,Triosephosphate isomerase,0.032823465
529,Q88E48,Q88E48_PSEPK,Pp_4620,Fumarylacetoacetase,0.032491859
530,Q88DU7,GREA_PSEPK,Grea,Transcription elongation factor GreA,0.03237201
531,Q88QD0,Q88QD0_PSEPK,Pp_0564,Uncharacterized protein,0.032267029
532,Q88QX8,MASZ_PSEPK,Glcb,Malate synthase G,0.032247525
533,Q88RQ7,Q88RQ7_PSEPK,Qor-1,Quinone oxidoreductase,0.032085286
534,Q88LY9,Q88LY9_PSEPK,Pp_1787,Uncharacterized protein,0.032070851
535,Q88FH0,NUOI_PSEPK,Nuoi,NADH-quinone oxidoreductase subunit I,0.032043501
536,Q88PI6,Q88PI6_PSEPK,Pp_0864,"Ornithine decarboxylase, putative",0.032041214
537,Q88CG4,PPK_PSEPK,Ppk,Polyphosphate kinase,0.031982456
538,Q88D35,GSHB_PSEPK,Gshb,Glutathione synthetase,0.031963236
539,Q88CY2,Q88CY2_PSEPK,Ntrb,Histidine kinase,0.031826887
540,Q88DN7,Q88DN7_PSEPK,Pp_4787,PhoH family protein,0.031812453
541,Q88DU9,Q88DU9_PSEPK,Pp_4720,Uncharacterized protein,0.031804214
542,Q88RG2,Q88RG2_PSEPK,Pp_0168,"Surface adhesion protein, putative",0.031791435
543,Q88QW6,Q88QW6_PSEPK,Pp_0368,"Acyl-CoA dehydrogenase, putative",0.031715945
544,Q88N98,Q88N98_PSEPK,Pp_1314,"Oxidoreductase, aldo/keto reductase family",0.031712398
545,Q88EW5,CHEB1_PSEPK,Cheb1,Chemotaxis response regulator protein-glutamate methylesterase of group 1 operon,0.031611111
546,Q88D93,HLDE_PSEPK,Hlde,Bifunctional protein HldE,0.031551772
547,Q88JI7,Q88JI7_PSEPK,Pp_2662,Uncharacterized protein,0.031423085
548,Q88DX2,Q88DX2_PSEPK,Pp_4696,Nitrogen regulation protein NR(I),0.031353608
549,Q88CX5,Q88CX5_PSEPK,Pp_5055,Rhodanese domain protein,0.031352496
550,Q88DC9,Q88DC9_PSEPK,Pp_4898,Uncharacterized protein,0.031270643
551,Q88D05,Q88D05_PSEPK,Pp_5024,"Amino acid ABC transporter, periplasmic amino acid-binding protein",0.03126343
552,Q88KV0,Q88KV0_PSEPK,Pp_2189,Uncharacterized protein,0.031252648
553,Q88Q23,Q88Q23_PSEPK,Gdha,Glutamate dehydrogenase,0.030772035
554,Q88CN0,RPIA_PSEPK,Rpia,Ribose-5-phosphate isomerase A,0.030733316
555,Q88D83,Q88D83_PSEPK,Pp_4944,"Carbamoyltransferase, NodU family",0.0306269
556,Q88BX6,GLMU_PSEPK,Glmu,Bifunctional protein GlmU,0.030472528
557,Q88D17,UBIE_PSEPK,Ubie,Ubiquinone/menaquinone biosynthesis C-methyltransferase UbiE,0.030429237
558,Q88P37,Q88P37_PSEPK,Pp_1016,"Sugar ABC transporter, permease protein",0.030345062
559,Q88ES4,Q88ES4_PSEPK,Pp_4379,3-oxoacyl-(Acyl-carrier-protein) synthase III,0.030342358
560,Q88N30,TTGA_PSEPK,Ttga,Probable efflux pump periplasmic linker TtgA,0.030337933
561,Q88PC0,GATB_PSEPK,Gatb,Aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase subunit B,0.030179823
562,Q88LE1,Q88LE1_PSEPK,Pp_1993,Uncharacterized protein,0.029989468
563,Q88EZ5,Q88EZ5_PSEPK,Pp_4305,Periplasmic thiosulfate-binding protein,0.029437574
564,Q88QE7,Q88QE7_PSEPK,Mpl,UDP-N-acetylmuramate:L-alanyl-gamma-D-glutamyl-meso-diaminopimelate ligase,0.029393266
565,Q88I13,Q88I13_PSEPK,Coda,Cytosine deaminase,0.029346899
566,Q88R45,HIS7_PSEPK,Hisb,Imidazoleglycerol-phosphate dehydratase,0.029333644
567,Q88R90,GSH1_PSEPK,Gsha,Glutamate--cysteine ligase,0.029234272
568,Q88QI2,Q88QI2_PSEPK,Trx-1,Thioredoxin,0.029191592
569,Q88DL4,PROA_PSEPK,Proa,Gamma-glutamyl phosphate reductase,0.029184504
570,Q88Q40,Q88Q40_PSEPK,Pp_0658,Homocysteine S-methyltransferase family protein,0.029101884
571,Q88BY9,Q88BY9_PSEPK,Pp_5395,Uncharacterized protein,0.029084198
572,Q88K95,Q88K95_PSEPK,Pp_2396,Uncharacterized protein,0.029038879
573,Q88QT9,GLPE_PSEPK,Glpe,Thiosulfate sulfurtransferase GlpE,0.028862036
574,Q88GF8,Q88GF8_PSEPK,Gloa,Lactoylglutathione lyase,0.028835512
575,Q88MY6,Q88MY6_PSEPK,Lepb,Signal peptidase I,0.028773732
576,Q88KS2,Q88KS2_PSEPK,Fadb1x,Enoyl-CoA hydratase/isomerase FadB1x,0.028768962
577,Q88PG5,Q88PG5_PSEPK,Pp_0885,"Dipeptide ABC transporter, periplasmic peptide-binding protein",0.028729468
578,Q88R44,HIS5_PSEPK,Hish,Imidazole glycerol phosphate synthase subunit HisH,0.028689202
