Protein.Group,Protein.Names,Protein,Protein.Description,Sample,Top_3pep_counts_mean,%_of protein_abundance_Top3-method,log10_%_abundance
Q88DX5,Q88DX5_PSEPK,Dksa,RNA polymerase-binding transcription factor DksA,BL_241101_PP_0812_15,188811.74,0.034933108,-1.456762774
Q88DX5,Q88DX5_PSEPK,Dksa,RNA polymerase-binding transcription factor DksA,BL_241101_PP_0812_15,1997549.4,0.302122318,-0.519817192
Q88DX6,Q88DX6_PSEPK,Pp_4692,Aminotransferase,BL_241101_PP_0812_15,15459.8,0.002727591,-2.56422083
Q88DX6,Q88DX6_PSEPK,Pp_4692,Aminotransferase,BL_241101_PP_0812_15,21912.90667,0.004054228,-2.392091779
Q88DX6,Q88DX6_PSEPK,Pp_4692,Aminotransferase,BL_241101_PP_0812_15,0,1.00E-05,-5
Q88DX9,Q88DX9_PSEPK,Pp_4689,"Heme/hemin ABC transporter, periplasmic heme/hemin-binding protein",BL_241101_PP_0812_15,11790,0.002080123,-2.681910897
Q88DX9,Q88DX9_PSEPK,Pp_4689,"Heme/hemin ABC transporter, periplasmic heme/hemin-binding protein",BL_241101_PP_0812_15,3712.22,0.000686818,-3.163158062
Q88DX9,Q88DX9_PSEPK,Pp_4689,"Heme/hemin ABC transporter, periplasmic heme/hemin-binding protein",BL_241101_PP_0812_15,0,1.00E-05,-5
Q88DY4,Q88DY4_PSEPK,Pp_4684,Aminoglycoside phosphotransferase domain-containing protein,BL_241101_PP_0812_15,328129.6667,0.057892299,-1.237379204
Q88DY4,Q88DY4_PSEPK,Pp_4684,Aminoglycoside phosphotransferase domain-containing protein,BL_241101_PP_0812_15,312260.3333,0.057773017,-1.238274949
Q88DY4,Q88DY4_PSEPK,Pp_4684,Aminoglycoside phosphotransferase domain-containing protein,BL_241101_PP_0812_15,312100,0.047204027,-1.326020951
Q88DY5,Q88DY5_PSEPK,Mrcb,Penicillin-binding protein 1B,BL_241101_PP_0812_15,20160.4,0.003556923,-2.448925557
Q88DY5,Q88DY5_PSEPK,Mrcb,Penicillin-binding protein 1B,BL_241101_PP_0812_15,25203.21333,0.004662986,-2.331335853
Q88DY5,Q88DY5_PSEPK,Mrcb,Penicillin-binding protein 1B,BL_241101_PP_0812_15,0,1.00E-05,-5
Q88DY6,Q88DY6_PSEPK,Pp_4682,Uncharacterized protein,BL_241101_PP_0812_15,114153.4667,0.020140229,-1.695935597
Q88DY6,Q88DY6_PSEPK,Pp_4682,Uncharacterized protein,BL_241101_PP_0812_15,104355.3,0.019307353,-1.714277257
Q88DY6,Q88DY6_PSEPK,Pp_4682,Uncharacterized protein,BL_241101_PP_0812_15,137355.7667,0.020774576,-1.682467823
Q88DY8,Q88DY8_PSEPK,Ilvi,Acetolactate synthase,BL_241101_PP_0812_15,418762.9667,0.073882837,-1.131456434
Q88DY8,Q88DY8_PSEPK,Ilvi,Acetolactate synthase,BL_241101_PP_0812_15,407133.74,0.075326073,-1.123054673
Q88DY8,Q88DY8_PSEPK,Ilvi,Acetolactate synthase,BL_241101_PP_0812_15,380418.3333,0.057536934,-1.240053281
Q88DY9,Q88DY9_PSEPK,Ilvh,Acetolactate synthase small subunit,BL_241101_PP_0812_15,316823.1,0.055897468,-1.252607863
Q88DY9,Q88DY9_PSEPK,Ilvh,Acetolactate synthase small subunit,BL_241101_PP_0812_15,362921.9667,0.067146207,-1.172978512
Q88DY9,Q88DY9_PSEPK,Ilvh,Acetolactate synthase small subunit,BL_241101_PP_0812_15,205850.6667,0.031134189,-1.506762442
Q88DZ0,ILVC_PSEPK,Ilvc,Ketol-acid reductoisomerase (NADP(+)),BL_241101_PP_0812_15,2313315.333,0.408140916,-0.389189865
Q88DZ0,ILVC_PSEPK,Ilvc,Ketol-acid reductoisomerase (NADP(+)),BL_241101_PP_0812_15,2517958.333,0.465861447,-0.331743229
Q88DZ0,ILVC_PSEPK,Ilvc,Ketol-acid reductoisomerase (NADP(+)),BL_241101_PP_0812_15,2029708.9,0.306986329,-0.512880964
Q88E01,Q88E01_PSEPK,Mmsa-ii,methylmalonate-semialdehyde dehydrogenase (CoA acylating),BL_241101_PP_0812_15,515904.3333,0.091021602,-1.040855526
Q88E01,Q88E01_PSEPK,Mmsa-ii,methylmalonate-semialdehyde dehydrogenase (CoA acylating),BL_241101_PP_0812_15,432826.6667,0.080079664,-1.096477758
Q88E01,Q88E01_PSEPK,Mmsa-ii,methylmalonate-semialdehyde dehydrogenase (CoA acylating),BL_241101_PP_0812_15,548764.3333,0.082998675,-1.080928843
Q88E02,Q88E02_PSEPK,Mmsb,3-hydroxyisobutyrate dehydrogenase,BL_241101_PP_0812_15,598463.6667,0.105587641,-0.976386913
Q88E02,Q88E02_PSEPK,Mmsb,3-hydroxyisobutyrate dehydrogenase,BL_241101_PP_0812_15,575088.6667,0.106400346,-0.973056959
Q88E02,Q88E02_PSEPK,Mmsb,3-hydroxyisobutyrate dehydrogenase,BL_241101_PP_0812_15,517205,0.078225436,-1.106652005
Q88E09,Q88E09_PSEPK,Ggt,Glutathione hydrolase proenzyme,BL_241101_PP_0812_15,24564.1,0.004333873,-2.363123845
Q88E09,Q88E09_PSEPK,Ggt,Glutathione hydrolase proenzyme,BL_241101_PP_0812_15,11235.68,0.002078776,-2.682192406
Q88E09,Q88E09_PSEPK,Ggt,Glutathione hydrolase proenzyme,BL_241101_PP_0812_15,0,1.00E-05,-5
Q88E10,MCPS_PSEPK,Mcps,Methyl-accepting chemotaxis protein McpS,BL_241101_PP_0812_15,1676.4,0.000295769,-3.52904705
Q88E10,MCPS_PSEPK,Mcps,Methyl-accepting chemotaxis protein McpS,BL_241101_PP_0812_15,3712.22,0.000686818,-3.163158062
Q88E10,MCPS_PSEPK,Mcps,Methyl-accepting chemotaxis protein McpS,BL_241101_PP_0812_15,0,1.00E-05,-5
Q88E11,Q88E11_PSEPK,Ypfj,Zinc metalloprotease,BL_241101_PP_0812_15,27566.66667,0.004863619,-2.313040447
Q88E11,Q88E11_PSEPK,Ypfj,Zinc metalloprotease,BL_241101_PP_0812_15,38321.64,0.007090099,-2.149347681
Q88E11,Q88E11_PSEPK,Ypfj,Zinc metalloprotease,BL_241101_PP_0812_15,0,1.00E-05,-5
Q88E14,TRMA_PSEPK,Trma,tRNA/tmRNA (uracil-C(5))-methyltransferase,BL_241101_PP_0812_15,63372.23333,0.011180837,-1.951525689
Q88E14,TRMA_PSEPK,Trma,tRNA/tmRNA (uracil-C(5))-methyltransferase,BL_241101_PP_0812_15,65768.74,0.01216824,-1.914772246
Q88E14,TRMA_PSEPK,Trma,tRNA/tmRNA (uracil-C(5))-methyltransferase,BL_241101_PP_0812_15,11778.26667,0.001781421,-2.749233337
Q88E16,Q88E16_PSEPK,Pp_4652,Membrane protein,BL_241101_PP_0812_15,12287.13333,0.002167833,-2.663974131
Q88E16,Q88E16_PSEPK,Pp_4652,Membrane protein,BL_241101_PP_0812_15,13768.21333,0.002547334,-2.593914182
Q88E16,Q88E16_PSEPK,Pp_4652,Membrane protein,BL_241101_PP_0812_15,0,1.00E-05,-5
Q88E17,Q88E17_PSEPK,Cioa,"Ubiquinol oxidase subunit I, cyanide insensitive",BL_241101_PP_0812_15,97874.43333,0.0172681,-1.762755441
Q88E17,Q88E17_PSEPK,Cioa,"Ubiquinol oxidase subunit I, cyanide insensitive",BL_241101_PP_0812_15,90251.03333,0.016697845,-1.777339585
Q88E17,Q88E17_PSEPK,Cioa,"Ubiquinol oxidase subunit I, cyanide insensitive",BL_241101_PP_0812_15,92230.76667,0.013949579,-1.855438901
Q88E20,RLMG_PSEPK,Rlmg,Ribosomal RNA large subunit methyltransferase G,BL_241101_PP_0812_15,65794.26667,0.011608159,-1.935236651
Q88E20,RLMG_PSEPK,Rlmg,Ribosomal RNA large subunit methyltransferase G,BL_241101_PP_0812_15,82203.77333,0.015208976,-1.817900015
Q88E20,RLMG_PSEPK,Rlmg,Ribosomal RNA large subunit methyltransferase G,BL_241101_PP_0812_15,36849.66667,0.005573382,-2.253881156
Q88E22,Q88E22_PSEPK,Fpr-ii,Flavodoxin/ferredoxin--NADP reductase,BL_241101_PP_0812_15,36110.26667,0.006370976,-2.195794006
Q88E22,Q88E22_PSEPK,Fpr-ii,Flavodoxin/ferredoxin--NADP reductase,BL_241101_PP_0812_15,167417.0733,0.030974762,-1.508992023
Q88E22,Q88E22_PSEPK,Fpr-ii,Flavodoxin/ferredoxin--NADP reductase,BL_241101_PP_0812_15,33870.66667,0.005122819,-2.290490975
Q88E23,MSCL_PSEPK,Mscl,Large-conductance mechanosensitive channel,BL_241101_PP_0812_15,33639.86667,0.005935121,-2.226570436
Q88E23,MSCL_PSEPK,Mscl,Large-conductance mechanosensitive channel,BL_241101_PP_0812_15,41844.8,0.007741939,-2.111150272
Q88E23,MSCL_PSEPK,Mscl,Large-conductance mechanosensitive channel,BL_241101_PP_0812_15,15254.8,0.002307235,-2.636908202
Q88E24,Q88E24_PSEPK,Rada,DNA repair protein RadA,BL_241101_PP_0812_15,258834.9667,0.045666554,-1.340401756
Q88E24,Q88E24_PSEPK,Rada,DNA repair protein RadA,BL_241101_PP_0812_15,251102.74,0.046457912,-1.332940316
Q88E24,Q88E24_PSEPK,Rada,DNA repair protein RadA,BL_241101_PP_0812_15,0,1.00E-05,-5
Q88E26,Q88E26_PSEPK,Pp_4642,Cyclic diguanosine monophosphate-binding protein,BL_241101_PP_0812_15,61285.76667,0.010812719,-1.966065078
Q88E26,Q88E26_PSEPK,Pp_4642,Cyclic diguanosine monophosphate-binding protein,BL_241101_PP_0812_15,47724.44,0.008829764,-2.054050927
Q88E26,Q88E26_PSEPK,Pp_4642,Cyclic diguanosine monophosphate-binding protein,BL_241101_PP_0812_15,81014.2,0.012253113,-1.911753572
Q88E27,Q88E27_PSEPK,Yjiy,Transporter,BL_241101_PP_0812_15,110923.4,0.019570345,-1.708401529
Q88E27,Q88E27_PSEPK,Yjiy,Transporter,BL_241101_PP_0812_15,90703.93333,0.016781638,-1.775165648
Q88E27,Q88E27_PSEPK,Yjiy,Transporter,BL_241101_PP_0812_15,20146.23333,0.003047047,-2.51612086
Q88E29,Q88E29_PSEPK,Zinu,P-loop guanosine triphosphatase-dependent zinc chaperone,BL_241101_PP_0812_15,78945.96667,0.013928529,-1.856094755
Q88E29,Q88E29_PSEPK,Zinu,P-loop guanosine triphosphatase-dependent zinc chaperone,BL_241101_PP_0812_15,84876.54,0.01570348,-1.804004101
Q88E29,Q88E29_PSEPK,Zinu,P-loop guanosine triphosphatase-dependent zinc chaperone,BL_241101_PP_0812_15,42202,0.006382904,-2.194981687
Q88E32,Q88E32_PSEPK,Yqef,Acetyl-CoA acetyltransferase,BL_241101_PP_0812_15,1676.4,0.000295769,-3.52904705
Q88E32,Q88E32_PSEPK,Yqef,Acetyl-CoA acetyltransferase,BL_241101_PP_0812_15,3712.22,0.000686818,-3.163158062
Q88E32,Q88E32_PSEPK,Yqef,Acetyl-CoA acetyltransferase,BL_241101_PP_0812_15,0,1.00E-05,-5
Q88E33,FABV_PSEPK,Fabv,Enoyl-[acyl-carrier-protein] reductase [NADH],BL_241101_PP_0812_15,613281.4667,0.108201963,-0.965764861
Q88E33,FABV_PSEPK,Fabv,Enoyl-[acyl-carrier-protein] reductase [NADH],BL_241101_PP_0812_15,577602.9667,0.106865531,-0.971162353
Q88E33,FABV_PSEPK,Fabv,Enoyl-[acyl-carrier-protein] reductase [NADH],BL_241101_PP_0812_15,644071,0.097413473,-1.011380975
Q88E35,Q88E35_PSEPK,Pp_4633,SMc04008-like domain-containing protein,BL_241101_PP_0812_15,201100.4667,0.035480389,-1.450011623
Q88E35,Q88E35_PSEPK,Pp_4633,SMc04008-like domain-containing protein,BL_241101_PP_0812_15,120075.6667,0.022215866,-1.653336762
Q88E35,Q88E35_PSEPK,Pp_4633,SMc04008-like domain-containing protein,BL_241101_PP_0812_15,383017.6,0.057930064,-1.237095989
Q88E36,Q88E36_PSEPK,Folm,Dihydromonapterin reductase,BL_241101_PP_0812_15,21791.9,0.00384477,-2.415129604
Q88E36,Q88E36_PSEPK,Folm,Dihydromonapterin reductase,BL_241101_PP_0812_15,21362.24667,0.003952348,-2.403144843
Q88E36,Q88E36_PSEPK,Folm,Dihydromonapterin reductase,BL_241101_PP_0812_15,0,1.00E-05,-5
Q88E40,Q88E40_PSEPK,Pp_4628,Flavodoxin-like domain-containing protein,BL_241101_PP_0812_15,81171.93333,0.014321259,-1.844018812
Q88E40,Q88E40_PSEPK,Pp_4628,Flavodoxin-like domain-containing protein,BL_241101_PP_0812_15,23455.01333,0.004339542,-2.362556084
Q88E40,Q88E40_PSEPK,Pp_4628,Flavodoxin-like domain-containing protein,BL_241101_PP_0812_15,32586.43333,0.004928583,-2.307277891
Q88E47,HGD_PSEPK,Hmga,"Homogentisate 1,2-dioxygenase",BL_241101_PP_0812_15,45023.03333,0.007943466,-2.09998995
Q88E47,HGD_PSEPK,Hmga,"Homogentisate 1,2-dioxygenase",BL_241101_PP_0812_15,71291.44,0.013190025,-1.879754381
Q88E47,HGD_PSEPK,Hmga,"Homogentisate 1,2-dioxygenase",BL_241101_PP_0812_15,0,1.00E-05,-5
Q88E48,Q88E48_PSEPK,Hmgb,fumarylacetoacetase,BL_241101_PP_0812_15,136771.3667,0.024130731,-1.617429515
Q88E48,Q88E48_PSEPK,Hmgb,fumarylacetoacetase,BL_241101_PP_0812_15,172969.6,0.032002066,-1.494821987
Q88E48,Q88E48_PSEPK,Hmgb,fumarylacetoacetase,BL_241101_PP_0812_15,107101.6667,0.01619875,-1.790518491
Q88E52,Q88E52_PSEPK,Pp_4616,YebG family protein,BL_241101_PP_0812_15,135885.4667,0.023974431,-1.620251691
Q88E52,Q88E52_PSEPK,Pp_4616,YebG family protein,BL_241101_PP_0812_15,60384.20667,0.011172017,-1.951868403
Q88E52,Q88E52_PSEPK,Pp_4616,YebG family protein,BL_241101_PP_0812_15,438883.3333,0.06637956,-1.177965631
Q88E75,Q88E75_PSEPK,Rnd,Ribonuclease D,BL_241101_PP_0812_15,12935.2,0.002282172,-2.641651554
Q88E75,Q88E75_PSEPK,Rnd,Ribonuclease D,BL_241101_PP_0812_15,43542.7,0.008056077,-2.093876413
Q88E75,Q88E75_PSEPK,Rnd,Ribonuclease D,BL_241101_PP_0812_15,0,1.00E-05,-5
Q88E78,Q88E78_PSEPK,Pp_4588,Oxidoreductase (Nitroreductase family),BL_241101_PP_0812_15,146835.9333,0.025906435,-1.586592354
Q88E78,Q88E78_PSEPK,Pp_4588,Oxidoreductase (Nitroreductase family),BL_241101_PP_0812_15,151966.0733,0.028116087,-1.551045126
Q88E78,Q88E78_PSEPK,Pp_4588,Oxidoreductase (Nitroreductase family),BL_241101_PP_0812_15,149356,0.022589569,-1.646092046
Q88E83,Q88E83_PSEPK,Pp_4583,Peptidase,BL_241101_PP_0812_15,41230.6,0.007274363,-2.138205047
Q88E83,Q88E83_PSEPK,Pp_4583,Peptidase,BL_241101_PP_0812_15,14742.24667,0.002727545,-2.564228095
Q88E83,Q88E83_PSEPK,Pp_4583,Peptidase,BL_241101_PP_0812_15,0,1.00E-05,-5
Q88E89,PXPA2_PSEPK,Pxpa2,5-oxoprolinase subunit A 2,BL_241101_PP_0812_15,21064.03333,0.003716352,-2.429883168
Q88E89,PXPA2_PSEPK,Pxpa2,5-oxoprolinase subunit A 2,BL_241101_PP_0812_15,11069.24667,0.002047983,-2.688673703
Q88E89,PXPA2_PSEPK,Pxpa2,5-oxoprolinase subunit A 2,BL_241101_PP_0812_15,0,1.00E-05,-5
Q88E93,Q88E93_PSEPK,Pp_4573,"ATPase, AAA family",BL_241101_PP_0812_15,163112.4,0.028778111,-1.540937724
Q88E93,Q88E93_PSEPK,Pp_4573,"ATPase, AAA family",BL_241101_PP_0812_15,154487.6667,0.028582621,-1.543897954
Q88E93,Q88E93_PSEPK,Pp_4573,"ATPase, AAA family",BL_241101_PP_0812_15,71474.06667,0.010810201,-1.966166227
Q88E95,Q88E95_PSEPK,Cysk,Cysteine synthase,BL_241101_PP_0812_15,446601.6667,0.078794452,-1.103504362
Q88E95,Q88E95_PSEPK,Cysk,Cysteine synthase,BL_241101_PP_0812_15,413755,0.076551109,-1.116048513
Q88E95,Q88E95_PSEPK,Cysk,Cysteine synthase,BL_241101_PP_0812_15,545412,0.082491646,-1.083590031
Q88E96,Q88E96_PSEPK,Pp_4570,Aspartyl/asparaginy/proline hydroxylase domain-containing protein,BL_241101_PP_0812_15,124718.1667,0.022004171,-1.657494983
Q88E96,Q88E96_PSEPK,Pp_4570,Aspartyl/asparaginy/proline hydroxylase domain-containing protein,BL_241101_PP_0812_15,60887.80667,0.011265191,-1.948261438
Q88E96,Q88E96_PSEPK,Pp_4570,Aspartyl/asparaginy/proline hydroxylase domain-containing protein,BL_241101_PP_0812_15,73397.53333,0.011101119,-1.954633255
Q88EA3,Q88EA3_PSEPK,Pp_4563,S1 motif domain-containing protein,BL_241101_PP_0812_15,49740.1,0.008775704,-2.056718048
Q88EA3,Q88EA3_PSEPK,Pp_4563,S1 motif domain-containing protein,BL_241101_PP_0812_15,47144.9,0.00872254,-2.059357049
Q88EA3,Q88EA3_PSEPK,Pp_4563,S1 motif domain-containing protein,BL_241101_PP_0812_15,15673.53333,0.002370567,-2.625147808
Q88EA4,Q88EA4_PSEPK,Pp_4562,Uncharacterized protein,BL_241101_PP_0812_15,41706.26667,0.007358285,-2.133223386
Q88EA4,Q88EA4_PSEPK,Pp_4562,Uncharacterized protein,BL_241101_PP_0812_15,35733.84,0.006611316,-2.17971208
Q88EA4,Q88EA4_PSEPK,Pp_4562,Uncharacterized protein,BL_241101_PP_0812_15,41903.43333,0.006337747,-2.198065112
Q88EB1,Q88EB1_PSEPK,Pp_4555,YCII-related domain-containing protein,BL_241101_PP_0812_15,78428.06667,0.013837155,-1.858953192
Q88EB1,Q88EB1_PSEPK,Pp_4555,YCII-related domain-containing protein,BL_241101_PP_0812_15,40914.48,0.007569815,-2.120914732
Q88EB1,Q88EB1_PSEPK,Pp_4555,YCII-related domain-containing protein,BL_241101_PP_0812_15,63290.66667,0.009572491,-2.01897505
Q88EB2,Q88EB2_PSEPK,Pp_4554,Activator of Hsp90 ATPase homologue 1-like C-terminal domain-containing protein,BL_241101_PP_0812_15,44747.56667,0.007894865,-2.102655278
Q88EB2,Q88EB2_PSEPK,Pp_4554,Activator of Hsp90 ATPase homologue 1-like C-terminal domain-containing protein,BL_241101_PP_0812_15,20443.88667,0.003782437,-2.422228303
Q88EB2,Q88EB2_PSEPK,Pp_4554,Activator of Hsp90 ATPase homologue 1-like C-terminal domain-containing protein,BL_241101_PP_0812_15,0,1.00E-05,-5
Q88EB3,Q88EB3_PSEPK,Pp_4553,"RNA polymerase sigma-70 factor, ECF subfamily",BL_241101_PP_0812_15,1676.4,0.000295769,-3.52904705
Q88EB3,Q88EB3_PSEPK,Pp_4553,"RNA polymerase sigma-70 factor, ECF subfamily",BL_241101_PP_0812_15,3712.22,0.000686818,-3.163158062
Q88EB3,Q88EB3_PSEPK,Pp_4553,"RNA polymerase sigma-70 factor, ECF subfamily",BL_241101_PP_0812_15,0,1.00E-05,-5
Q88EB4,Q88EB4_PSEPK,Pp_4552,MaoC-like domain-containing protein,BL_241101_PP_0812_15,205720.5,0.036295507,-1.44014713
Q88EB4,Q88EB4_PSEPK,Pp_4552,MaoC-like domain-containing protein,BL_241101_PP_0812_15,196481.6667,0.036352164,-1.439469735
Q88EB4,Q88EB4_PSEPK,Pp_4552,MaoC-like domain-containing protein,BL_241101_PP_0812_15,100678,0.015227193,-1.81738014
Q88EB7,Q88EB7_PSEPK,Fadd-i,Long-chain-fatty-acid--CoA ligase,BL_241101_PP_0812_15,95207.13333,0.016797505,-1.774755213
Q88EB7,Q88EB7_PSEPK,Fadd-i,Long-chain-fatty-acid--CoA ligase,BL_241101_PP_0812_15,93247.03333,0.017252151,-1.763156745
Q88EB7,Q88EB7_PSEPK,Fadd-i,Long-chain-fatty-acid--CoA ligase,BL_241101_PP_0812_15,0,1.00E-05,-5
Q88EC0,Q88EC0_PSEPK,Hrpa,ATP-dependent helicase HrpA,BL_241101_PP_0812_15,93892.13333,0.016565498,-1.780795495
Q88EC0,Q88EC0_PSEPK,Hrpa,ATP-dependent helicase HrpA,BL_241101_PP_0812_15,71647.3,0.013255865,-1.877591939
Q88EC0,Q88EC0_PSEPK,Hrpa,ATP-dependent helicase HrpA,BL_241101_PP_0812_15,0,1.00E-05,-5
Q88EC1,Q88EC1_PSEPK,Pp_4545,Beta-ketodecanoyl-(Acyl-carrier-protein) synthase,BL_241101_PP_0812_15,217084.3333,0.038300442,-1.41679622
Q88EC1,Q88EC1_PSEPK,Pp_4545,Beta-ketodecanoyl-(Acyl-carrier-protein) synthase,BL_241101_PP_0812_15,240964.3333,0.044582149,-1.350839004
Q88EC1,Q88EC1_PSEPK,Pp_4545,Beta-ketodecanoyl-(Acyl-carrier-protein) synthase,BL_241101_PP_0812_15,126255.6667,0.019095725,-1.71906384
Q88EC5,Q88EC5_PSEPK,Ppia,Peptidyl-prolyl cis-trans isomerase,BL_241101_PP_0812_15,138374.4667,0.024413568,-1.612368742
Q88EC5,Q88EC5_PSEPK,Ppia,Peptidyl-prolyl cis-trans isomerase,BL_241101_PP_0812_15,112882.84,0.020885081,-1.680163841
Q88EC5,Q88EC5_PSEPK,Ppia,Peptidyl-prolyl cis-trans isomerase,BL_241101_PP_0812_15,226691.3,0.034286261,-1.464879867
Q88EC7,Q88EC7_PSEPK,Pp_4539,"Transcriptional regulator, LysR family",BL_241101_PP_0812_15,16352.6,0.002885108,-2.539837888
Q88EC7,Q88EC7_PSEPK,Pp_4539,"Transcriptional regulator, LysR family",BL_241101_PP_0812_15,26354.77333,0.004876043,-2.311932483
Q88EC7,Q88EC7_PSEPK,Pp_4539,"Transcriptional regulator, LysR family",BL_241101_PP_0812_15,0,1.00E-05,-5
Q88ED3,Q88ED3_PSEPK,Srmb,ATP-dependent DEAD-box RNA helicase require for 50S ribosomal subunit biogenesis,BL_241101_PP_0812_15,221584.5333,0.039094417,-1.407885258
Q88ED3,Q88ED3_PSEPK,Srmb,ATP-dependent DEAD-box RNA helicase require for 50S ribosomal subunit biogenesis,BL_241101_PP_0812_15,239155.6,0.044247505,-1.354111213
Q88ED3,Q88ED3_PSEPK,Srmb,ATP-dependent DEAD-box RNA helicase require for 50S ribosomal subunit biogenesis,BL_241101_PP_0812_15,153212.6,0.023172867,-1.635020237
Q88EE4,Q88EE4_PSEPK,Pp_4521,Aerotaxis receptor,BL_241101_PP_0812_15,11458,0.002021548,-2.694315884
Q88EE4,Q88EE4_PSEPK,Pp_4521,Aerotaxis receptor,BL_241101_PP_0812_15,3712.22,0.000686818,-3.163158062
Q88EE4,Q88EE4_PSEPK,Pp_4521,Aerotaxis receptor,BL_241101_PP_0812_15,0,1.00E-05,-5
Q88EE6,Q88EE6_PSEPK,Tolc,Agglutination protein,BL_241101_PP_0812_15,85926.36667,0.015160089,-1.819298253
Q88EE6,Q88EE6_PSEPK,Tolc,Agglutination protein,BL_241101_PP_0812_15,110924.7333,0.020522801,-1.687763375
Q88EE6,Q88EE6_PSEPK,Tolc,Agglutination protein,BL_241101_PP_0812_15,88323.7,0.013358649,-1.874237466
Q88EE8,Q88EE8_PSEPK,Pp_4517,YecA family protein,BL_241101_PP_0812_15,260940.6667,0.046038065,-1.336882934
Q88EE8,Q88EE8_PSEPK,Pp_4517,YecA family protein,BL_241101_PP_0812_15,207665,0.038421254,-1.415428462
Q88EE8,Q88EE8_PSEPK,Pp_4517,YecA family protein,BL_241101_PP_0812_15,454532.3333,0.068746416,-1.162749938
Q88EE9,Q88EE9_PSEPK,Recq,ATP-dependent DNA helicase RecQ,BL_241101_PP_0812_15,1676.4,0.000295769,-3.52904705
Q88EE9,Q88EE9_PSEPK,Recq,ATP-dependent DNA helicase RecQ,BL_241101_PP_0812_15,3712.22,0.000686818,-3.163158062
Q88EE9,Q88EE9_PSEPK,Recq,ATP-dependent DNA helicase RecQ,BL_241101_PP_0812_15,0,1.00E-05,-5
Q88EF0,Q88EF0_PSEPK,Pp_4515,"Transcriptional regulator, MarR family",BL_241101_PP_0812_15,113534.4333,0.020031012,-1.698297105
Q88EF0,Q88EF0_PSEPK,Pp_4515,"Transcriptional regulator, MarR family",BL_241101_PP_0812_15,121774.5333,0.022530182,-1.647235294
Q88EF0,Q88EF0_PSEPK,Pp_4515,"Transcriptional regulator, MarR family",BL_241101_PP_0812_15,97710.66667,0.014778395,-1.830372743
Q88EF9,Q88EF9_PSEPK,Pp_4506,Putative NAD(P)H nitroreductase,BL_241101_PP_0812_15,275816,0.048662538,-1.312805246
Q88EF9,Q88EF9_PSEPK,Pp_4506,Putative NAD(P)H nitroreductase,BL_241101_PP_0812_15,236209.6667,0.043702461,-1.359494101
Q88EF9,Q88EF9_PSEPK,Pp_4506,Putative NAD(P)H nitroreductase,BL_241101_PP_0812_15,418722.3333,0.06333028,-1.198388594
Q88EG1,Q88EG1_PSEPK,Pp_4504,LTXXQ domain protein,BL_241101_PP_0812_15,66609.06667,0.011751915,-1.929891353
Q88EG1,Q88EG1_PSEPK,Pp_4504,LTXXQ domain protein,BL_241101_PP_0812_15,4949.626667,0.000915758,-3.038219325
Q88EG1,Q88EG1_PSEPK,Pp_4504,LTXXQ domain protein,BL_241101_PP_0812_15,129436,0.01957674,-1.708259637
Q88EG5,Q88EG5_PSEPK,Ycio,Maturation enzyme,BL_241101_PP_0812_15,73096.06667,0.012896424,-1.889530694
Q88EG5,Q88EG5_PSEPK,Ycio,Maturation enzyme,BL_241101_PP_0812_15,77956.14667,0.014423099,-1.840941404
Q88EG5,Q88EG5_PSEPK,Ycio,Maturation enzyme,BL_241101_PP_0812_15,0,1.00E-05,-5
Q88EH0,D2HDH_PSEPK,Ydij,D-2-hydroxyglutarate dehydrogenase,BL_241101_PP_0812_15,25883.3,0.004566621,-2.340405056
Q88EH0,D2HDH_PSEPK,Ydij,D-2-hydroxyglutarate dehydrogenase,BL_241101_PP_0812_15,18580.08,0.003437604,-2.463744189
Q88EH0,D2HDH_PSEPK,Ydij,D-2-hydroxyglutarate dehydrogenase,BL_241101_PP_0812_15,7916.8,0.001197388,-2.921765046
Q88EH6,ACSA1_PSEPK,Acsa1,Acetyl-coenzyme A synthetase 1,BL_241101_PP_0812_15,1613509.267,0.284673317,-0.545653238
Q88EH6,ACSA1_PSEPK,Acsa1,Acetyl-coenzyme A synthetase 1,BL_241101_PP_0812_15,1342839.833,0.248446251,-0.604767553
Q88EH6,ACSA1_PSEPK,Acsa1,Acetyl-coenzyme A synthetase 1,BL_241101_PP_0812_15,1819175,0.275143818,-0.560440241
Q88EH7,Q88EH7_PSEPK,Argt,Lysine / arginine / ornithine ABC transporter-periplasmic binding protein,BL_241101_PP_0812_15,488997.6667,0.086274427,-1.064117915
Q88EH7,Q88EH7_PSEPK,Argt,Lysine / arginine / ornithine ABC transporter-periplasmic binding protein,BL_241101_PP_0812_15,508708.6667,0.094119014,-1.026322632
Q88EH7,Q88EH7_PSEPK,Argt,Lysine / arginine / ornithine ABC transporter-periplasmic binding protein,BL_241101_PP_0812_15,810405.6667,0.122571006,-0.911612251
Q88EI0,Q88EI0_PSEPK,Hisp,Histidine lysine / arginine / ornithine ABC transporter-ATP binding subunit,BL_241101_PP_0812_15,73576.66667,0.012981217,-1.886684593
Q88EI0,Q88EI0_PSEPK,Hisp,Histidine lysine / arginine / ornithine ABC transporter-ATP binding subunit,BL_241101_PP_0812_15,32943.27333,0.006095018,-2.215025018
Q88EI0,Q88EI0_PSEPK,Hisp,Histidine lysine / arginine / ornithine ABC transporter-ATP binding subunit,BL_241101_PP_0812_15,0,1.00E-05,-5
