Protein.Group,Protein.Names,Protein,Protein.Description,%_of protein_abundance_Top3-method,Rank
cyoB,Q88PN6_PSEPK,Cyob,"Cytochrome o ubiquinol oxidase, subunit I",0.06458160305555555,280.0
PP_0753,Q88PU5_PSEPK,Pp_0753,"Lipoprotein, putative",0.06457760716666666,281.0
secY,Q88QL5_PSEPK,Secy,Protein translocase subunit SecY,0.06450814033333334,282.0
asd,Q88LE4_PSEPK,Asd,Aspartate-semialdehyde dehydrogenase,0.06417278377777777,283.0
carA,CARA_PSEPK,Cara,Carbamoyl-phosphate synthase small chain,0.06400080455555555,284.0
PP_3693,Q88GM8_PSEPK,Pp_3693,"Transcriptional regulator MvaT, P16 subunit, putative",0.06399296966666666,285.0
argH,ARLY_PSEPK,Argh,Argininosuccinate lyase,0.06362222205555555,286.0
PP_1430,Q88MY8_PSEPK,Algy,"Alginate biosynthesis negative regulator, serine protease AlgY",0.06352316277777777,287.0
accD,ACCD_PSEPK,Accd,Acetyl-coenzyme A carboxylase carboxyl transferase subunit beta,0.06332481611111111,288.0
serS,SYS_PSEPK,Sers,Serine--tRNA ligase,0.06314315172222222,289.0
fabB,Q88FC3_PSEPK,Fabb,3-oxoacyl-(Acyl-carrier-protein) synthase I,0.06292793255555557,290.0
metK,METK_PSEPK,Metk,S-adenosylmethionine synthase,0.06279425444444445,291.0
metG,SYM_PSEPK,Metg,Methionine--tRNA ligase,0.06260077455555556,292.0
accC,Q88QD6_PSEPK,Accc-1,"Acetyl-CoA carboxylase, biotin carboxylase",0.06204532399999999,293.0
ycgR,YCGR_PSEPK,Ycgr,Flagellar brake protein YcgR,0.06189777961111112,294.0
argJ,ARGJ_PSEPK,Argj,Arginine biosynthesis bifunctional protein ArgJ,0.061771390888888895,295.0
atpC,ATPE_PSEPK,Atpc,ATP synthase epsilon chain,0.061747343611111116,296.0
ttg2D,Q88P91_PSEPK,Ttg2d,Toluene-tolerance protein,0.06147825916666667,297.0
nuoC,NUOCD_PSEPK,Nuoc,NADH-quinone oxidoreductase subunit C/D,0.06147493772222222,298.0
davT,DAVT_PSEPK,Davt,5-aminovalerate aminotransferase DavT,0.061114478722222226,299.0
trpC,TRPC_PSEPK,Trpc,Indole-3-glycerol phosphate synthase,0.061038901333333326,300.0
rhlE,Q88D48_PSEPK,Rhle,ATP-dependent RNA helicase RhlE,0.060846005611111115,301.0
arcC,Q88P54_PSEPK,Arcc,Carbamate kinase,0.060521796777777775,302.0
argD,ARGD_PSEPK,Argd,Acetylornithine aminotransferase,0.06008978716666666,303.0
secD,Q88PL5_PSEPK,Secd,Protein translocase subunit SecD,0.060023774888888895,304.0
purM,PUR5_PSEPK,Purm,Phosphoribosylformylglycinamidine cyclo-ligase,0.05989748577777777,305.0
thiC,THIC_PSEPK,Thic,Phosphomethylpyrimidine synthase,0.05989181244444444,306.0
PP_3662,Q88GQ6_PSEPK,Pp_3662,Decarboxylase family protein,0.059844073722222224,307.0
argT,Q88EH7_PSEPK,Pp_4486,"Basic amino acid ABC transporter, periplasmic basic amino acid-binding protein",0.05945331444444445,308.0
trpE,Q88QS1_PSEPK,Trpe,"Anthranilate synthase, component I",0.059191866277777776,309.0
minD,Q88M42_PSEPK,Mind,Site-determining protein,0.059042543499999996,310.0
pepN,Q88LB8_PSEPK,Pepn,Aminopeptidase N,0.058915932000000004,311.0
mcpS,MCPS_PSEPK,Mcps,Methyl-accepting chemotaxis protein McpS,0.058861000222222216,312.0
PP_1776,Q88M00_PSEPK,Pp_1776,Mannose-6-phosphate isomerase/mannose-1-phosphate guanylyltransferase,0.05877507972222223,313.0
iscS,ISCS_PSEPK,Iscs,Cysteine desulfurase IscS,0.05853820966666666,314.0
fklB-I,Q88Q14_PSEPK,Fklb-1,Peptidyl-prolyl cis-trans isomerase,0.05850796383333333,315.0
cysD,CYSD_PSEPK,Cysd,Sulfate adenylyltransferase subunit 2,0.0581460248888889,316.0
hflK,Q88DD5_PSEPK,Hflk,HflK protein,0.058109717944444444,317.0
hisG,HIS1_PSEPK,Hisg,ATP phosphoribosyltransferase,0.05793332227777778,318.0
PP_4178,Q88FC0_PSEPK,Pp_4178,Dienelactone hydrolase family protein,0.05791057983333333,319.0
aroA,Q88M05_PSEPK,Pp_1770,3-phosphoshikimate 1-carboxyvinyltransferase,0.057794585833333335,320.0
PP_4684,Q88DY4_PSEPK,Pp_4684,Uncharacterized protein,0.057659301333333336,321.0
PP_4517,Q88EE8_PSEPK,Pp_4517,Uncharacterized protein,0.057632402111111106,322.0
tolB,TOLB_PSEPK,Tolb,Protein TolB,0.05725054833333333,323.0
argC1,ARGC1_PSEPK,Argc1,N-acetyl-gamma-glutamyl-phosphate reductase 1,0.05695835638888888,324.0
galU,Q88GA4_PSEPK,Galu,UTP--glucose-1-phosphate uridylyltransferase,0.05653090655555556,325.0
PP_1478,Q88MU0_PSEPK,Pp_1478,"Xenobiotic reductase, putative",0.05648816666666666,326.0
livK,Q88NR4_PSEPK,Brac,"Branched-chain amino acid ABC transporter, periplasmic amino acid-binding protein",0.05600929311111111,327.0
hisC,HIS8_PSEPK,Hisc,Histidinol-phosphate aminotransferase,0.05595333616666667,328.0
pheT,SYFB_PSEPK,Phet,Phenylalanine--tRNA ligase beta subunit,0.05528540261111111,329.0
nrdA,Q88NM8_PSEPK,Nrda,Ribonucleoside-diphosphate reductase,0.055247622277777776,330.0
prpC,Q88KF5_PSEPK,Pp_2335,Citrate synthase,0.05512595122222222,331.0
gyrA,Q88M08_PSEPK,Gyra,DNA gyrase subunit A,0.05444522727777778,332.0
prlC,Q88RN3_PSEPK,Prlc,Oligopeptidase A,0.05397187638888889,333.0
serB,Q88DB8_PSEPK,Serb,Phosphoserine phosphatase,0.053919083388888886,334.0
hisS,SYH_PSEPK,Hiss,Histidine--tRNA ligase,0.05372588088888889,335.0
hom,Q88MU8_PSEPK,Hom,Homoserine dehydrogenase,0.053560292055555556,336.0
PP_0680,Q88Q18_PSEPK,Pp_0680,"ATP-dependent protease, putative",0.05348467288888889,337.0
PP_0017,Q88RW2_PSEPK,Pp_0017,"Transcriptional regulator MvaT, P16 subunit, putative",0.053181537833333334,338.0
coaD,COAD_PSEPK,Coad,Phosphopantetheine adenylyltransferase,0.05310198338888889,339.0
hisD,HISX_PSEPK,Hisd,Histidinol dehydrogenase,0.05302429727777778,340.0
obg,OBG_PSEPK,Obg,GTPase Obg,0.05270591711111111,341.0
PP_0763,Q88PT5_PSEPK,Pp_0763,Medium-chain-fatty-acid CoA ligase,0.052646799333333334,342.0
ygaU,Q88R76_PSEPK,Pp_0258,LysM domain protein,0.05251257138888889,343.0
nuoF,Q88FH3_PSEPK,Nuof,"NADH dehydrogenase I, F subunit",0.052364427722222225,344.0
glnG,Q88CY1_PSEPK,Ntrc,Two-component response regulator NtrC,0.052247866999999996,345.0
yajC,Q88PL6_PSEPK,Yajc,"Preprotein translocase, YajC subunit",0.05198723711111111,346.0
rfbA,Q88LZ3_PSEPK,Rmla,Glucose-1-phosphate thymidylyltransferase,0.05196102655555555,347.0
ahpC,Q88K52_PSEPK,Ahpc,"Alkyl hydroperoxide reductase, C subunit",0.05179534583333333,348.0
prpB,Q88KF6_PSEPK,Prpb,2-methylisocitrate lyase,0.05165623927777777,349.0
gltD,Q88CV5_PSEPK,Gltd,"Glutamate synthase, small subunit",0.05165131455555556,350.0
hemB,Q88IT6_PSEPK,Hemb-1,Delta-aminolevulinic acid dehydratase,0.05163821427777778,351.0
lon-I,Q88MX5_PSEPK,Lon-1,Lon protease,0.05160748961111111,352.0
serC,SERC_PSEPK,Serc,Phosphoserine aminotransferase,0.05150337966666667,353.0
rsfS,Q88DL6_PSEPK,Rsfs,Ribosomal silencing factor RsfS,0.05141309716666667,354.0
prc,Q88M55_PSEPK,Prc,Tail-specific protease prc,0.051391094944444445,355.0
PP_4975,Q88D52_PSEPK,Pp_4975,Long-chain acyl-CoA thioester hydrolase family protein,0.051269177444444446,356.0
sseA,Q88CR2_PSEPK,Pp_5118,"Thiosulfate sulfurtransferase, putative",0.05103405694444444,357.0
pyrC,PYRC_PSEPK,Pyrc,Dihydroorotase,0.05094031977777777,358.0
PP_1635,Q88MD8_PSEPK,Pp_1635,DNA-binding response regulator,0.05071223594444444,359.0
bamB,Q88PJ4_PSEPK,Bamb,Outer membrane protein assembly factor BamB,0.05063264888888889,360.0
pyrE,PYRE_PSEPK,Pyre,Orotate phosphoribosyltransferase,0.050573757999999996,361.0
trpS,SYW_PSEPK,Trps,Tryptophan--tRNA ligase,0.050428502944444446,362.0
PP_0129,Q88RK0_PSEPK,Pp_0129,GGDEF domain protein,0.0502852475,363.0
bfr-I,Q88QK8_PSEPK,Pp_0482,Ferroxidase,0.050230922444444444,364.0
chrR,CHRR_PSEPK,Pp_4138,Chromate reductase,0.05012406227777778,365.0
PP_0750,Q88PU8_PSEPK,Pp_0750,Uncharacterized protein,0.049942438888888885,366.0
srmB,Q88ED3_PSEPK,Pp_4532,"ATP-dependent RNA helicase, DEAD box family",0.04985482783333333,367.0
ftsA,Q88N72_PSEPK,Ftsa,Cell division protein ftsA,0.049654079722222216,368.0
PP_4802,Y4802_PSEPK,Pp_4802,UPF0250 protein PP_4802,0.04942053944444444,369.0
ychF,Q88PX9_PSEPK,Ychf,Ribosome-binding ATPase YchF,0.04920995394444445,370.0
clpA,Q88FS5_PSEPK,Clpa,"ATP-dependent Clp protease, ATP-binding subunit ClpA",0.049195920444444444,371.0
glmM,GLMM_PSEPK,Glmm,Phosphoglucosamine mutase,0.04907662911111111,372.0
cysB,Q88KG3_PSEPK,Cysb,Transcriptional regulator CysB,0.04906102466666667,373.0
PP_4203,Q88F95_PSEPK,Pp_4203,"Electron transfer flavoprotein-ubiquinone oxidoreductase, putative",0.04870499927777778,374.0
dapC,Q88MI3_PSEPK,Pp_1588,"Aminotransferase, class I",0.04844973494444445,375.0
rpoZ,RPOZ_PSEPK,Rpoz,DNA-directed RNA polymerase subunit omega,0.048335728555555554,376.0
spuB,Q88CJ7_PSEPK,Pp_5183,"Glutamine synthetase, putative",0.048310448944444445,377.0
PP_1502,Q88MR7_PSEPK,Pp_1502,OmpA family protein,0.04826187155555556,378.0
artJ,Q88R52_PSEPK,Pp_0282,"Amino acid ABC transporter, periplasmic amino acid-binding protein",0.04772354911111111,379.0
rnr,Q88DE6_PSEPK,Vacb,Ribonuclease R,0.04770229755555556,380.0
bamA,Q88MH2_PSEPK,Bama,Outer membrane protein assembly factor BamA,0.04754803788888889,381.0
dksA,Q88DX5_PSEPK,Dksa,RNA polymerase-binding transcription factor DksA,0.04749534111111112,382.0
pyrD,PYRD_PSEPK,Pyrd,Dihydroorotate dehydrogenase (quinone),0.04748746577777777,383.0
ribAB-I,Q88QH7_PSEPK,Ribba-1,"3,4-dihydroxy-2-butanone 4-phosphate synthase",0.04748209716666667,384.0
purE,Q88C47_PSEPK,Pure,N5-carboxyaminoimidazole ribonucleotide mutase,0.047180118722222227,385.0
nuoB,NUOB_PSEPK,Nuob,NADH-quinone oxidoreductase subunit B,0.047069445111111115,386.0
PP_3765,Q88GF9_PSEPK,Pp_3765,"Transcriptional regulator MvaT, P16 subunit, putative",0.04705557255555556,387.0
surA,SURA_PSEPK,Sura,Chaperone SurA,0.0470409535,388.0
gpmI,GPMI_PSEPK,Gpmi,"2,3-bisphosphoglycerate-independent phosphoglycerate mutase",0.04692124322222222,389.0
folD2,FOLD2_PSEPK,Fold2,Bifunctional protein FolD 2,0.04682717511111111,390.0
pyrB,PYRB_PSEPK,Pyrb,Aspartate carbamoyltransferase,0.04667808622222222,391.0
pmbA,Q88PA8_PSEPK,Pmba,PmbA protein,0.046630154388888886,392.0
hslO,HSLO_PSEPK,Hslo,33 kDa chaperonin,0.04659287933333334,393.0
trpD,TRPD_PSEPK,Trpd,Anthranilate phosphoribosyltransferase,0.04638738866666667,394.0
ompR,Q88R87_PSEPK,Ompr-1,DNA-binding response regulator OmpR,0.04619352561111111,395.0
petC,Q88N93_PSEPK,Petc,"Ubiquinol--cytochrome c reductase, cytochrome c1",0.04615266177777778,396.0
relA,Q88MB8_PSEPK,Rela,GTP pyrophosphokinase,0.04614211838888889,397.0
gcvH2,GCSH2_PSEPK,Gcvh2,Glycine cleavage system H protein 2,0.04599014377777778,398.0
mutS,MUTS_PSEPK,Muts,DNA mismatch repair protein MutS,0.045933390666666664,399.0
yidC,YIDC_PSEPK,Yidc,Membrane protein insertase YidC,0.045828002722222226,400.0
fleQ,Q88ET0_PSEPK,Fleq,Transcriptional regulator FleQ,0.04577592361111111,401.0
PP_5201,Y5201_PSEPK,Pp_5201,UPF0149 protein PP_5201,0.04561403716666666,402.0
PP_1309,Q88NA3_PSEPK,Pp_1309,Uncharacterized protein,0.045594859055555555,403.0
glk,Q88P42_PSEPK,Glk,Glucokinase,0.045529268666666664,404.0
yiaD,Q88PS5_PSEPK,Pp_0773,OmpA family protein,0.04454612372222222,405.0
PP_2648,Q88JK1_PSEPK,Pp_2648,Universal stress protein family,0.044500717111111115,406.0
hpd,Q88HC7_PSEPK,Hpd,4-hydroxyphenylpyruvate dioxygenase,0.04443493766666667,407.0
pabA,Q88QR8_PSEPK,Trpg,"Anthranilate synthase, component II",0.04424272188888889,408.0
fabD,Q88LL7_PSEPK,Fabd,Malonyl CoA-acyl carrier protein transacylase,0.04413646372222222,409.0
sdhC,Q88FA5_PSEPK,Sdhc,"Succinate dehydrogenase, cytochrome b556 subunit",0.04412782005555556,410.0
PP_1238,Q88NH1_PSEPK,Pp_1238,"Lipoprotein, putative",0.04386451833333333,411.0
accA,ACCA_PSEPK,Acca,Acetyl-coenzyme A carboxylase carboxyl transferase subunit alpha,0.04385859961111111,412.0
gdhB,Q88L55_PSEPK,Pp_2080,Uncharacterized protein,0.04380116522222222,413.0
sdhD,Q88FA6_PSEPK,Sdhd,"Succinate dehydrogenase, hydrophobic membrane anchor protein",0.04361422194444445,414.0
PP_0189,Q88RE2_PSEPK,Hemy,HemY protein,0.0434279715,415.0
urtA,Q88DI4_PSEPK,Pp_4841,"Branched-chain amino acid ABC transporter, periplasmic amino acid-binding protein, putative",0.04336422477777777,416.0
tyrS,SYY_PSEPK,Tyrs,Tyrosine--tRNA ligase,0.04328026166666667,417.0
PP_2687,Q88JG2_PSEPK,Pp_2687,Uncharacterized protein,0.04320591872222222,418.0
PP_0235,Q88R98_PSEPK,Lsfa,Antioxidant protein LsfA,0.04304257244444445,419.0
glnS,SYQ_PSEPK,Glns,Glutamine--tRNA ligase,0.04270632055555555,420.0
purD,PUR2_PSEPK,Purd,Phosphoribosylamine--glycine ligase,0.04269569377777778,421.0
ycgB,Q88QU1_PSEPK,Pp_0395,Uncharacterized protein,0.04258911033333333,422.0
rpe,Q88QS3_PSEPK,Rpe,Ribulose-phosphate 3-epimerase,0.04250413577777778,423.0
ycfJ,Q88PL3_PSEPK,Pp_0837,Uncharacterized protein,0.042469645388888894,424.0
gcvT-I,Q88P67_PSEPK,Gcvt-1,Aminomethyltransferase,0.04213071766666667,425.0
rdgC,RDGC_PSEPK,Rdgc,Recombination-associated protein RdgC,0.04153055388888889,426.0
ssb,SSB_PSEPK,Ssb,Single-stranded DNA-binding protein,0.041323140055555554,427.0
gltX,SYE_PSEPK,Gltx,Glutamate--tRNA ligase,0.04110627794444444,428.0
rapA,RAPA_PSEPK,Rapa,RNA polymerase-associated protein RapA,0.04093794333333333,429.0
PP_3611,Q88GV6_PSEPK,Pp_3611,Uncharacterized protein,0.04091945122222222,430.0
purT,PURT_PSEPK,Purt,Phosphoribosylglycinamide formyltransferase 2,0.040887449222222226,431.0
atpE,ATPL_PSEPK,Atpe,ATP synthase subunit c,0.0408525135,432.0
petA,Q88N95_PSEPK,Peta,Ubiquinol-cytochrome c reductase iron-sulfur subunit,0.04083136616666667,433.0
pyrC',Q88D29_PSEPK,Pyrc,Dihydroorotase,0.040806470166666664,434.0
ispB,Q88Q11_PSEPK,Ispb,Octylprenyl diphosphate synthase,0.04078253622222222,435.0
PP_3496,Q88H65_PSEPK,Pp_3496,Uncharacterized protein,0.04070356744444445,436.0
metZ,Q88LD4_PSEPK,Metz,O-succinylhomoserine sulfhydrylase,0.040663376,437.0
PP_1786,Q88LZ0_PSEPK,Pp_1786,"Glycosyl transferase, putative",0.0406464015,438.0
cas9,CAS9_STRP1,Cas9,CRISPR-associated endonuclease Cas9/Csn1,0.040496008611111106,439.0
PP_0913,Q88PD7_PSEPK,Pp_0913,Uncharacterized protein,0.040290029888888884,440.0
der,DER_PSEPK,Der,GTPase Der,0.040063448777777774,441.0
lptB,Q88P99_PSEPK,Pp_0953,"ABC transporter, ATP-binding protein, putative",0.04003709488888889,442.0
purU-II,Q88N49_PSEPK,Puru-2,Formyltetrahydrofolate deformylase,0.03990353283333334,443.0
PP_3146,Q88I55_PSEPK,Pp_3146,"Oxidoreductase, putative",0.039850131571428575,444.0
lepA,LEPA_PSEPK,Lepa,Elongation factor 4,0.039735736111111114,445.0
trxB,Q88PR2_PSEPK,Trxb,Thioredoxin reductase,0.03968034933333334,446.0
gyrB,Q88RW6_PSEPK,Gyrb,DNA gyrase subunit B,0.03965546805555556,447.0
rbfA,RBFA_PSEPK,Rbfa,Ribosome-binding factor A,0.03963490733333333,448.0
PP_2907,Q88IU2_PSEPK,Pp_2907,DNA-binding response regulator,0.039466791055555554,449.0
pgm,Q88GY7_PSEPK,Pp_3578,"Phosphoglucomutase, alpha-D-glucose phosphate-specific",0.03942714011111111,450.0
pheA,Q88M06_PSEPK,Phea,Chorismate mutase/prephenate dehydratase,0.03928961472222223,451.0
ghrB,Q88NF1_PSEPK,Pp_1261,D-isomer specific 2-hydroxyacid dehydrogenase family protein,0.03917382861111111,452.0
PP_2105,Q88L30_PSEPK,Pp_2105,Uncharacterized protein,0.038874180499999994,453.0
aroF-I,Q88KG6_PSEPK,Arof-1,Phospho-2-dehydro-3-deoxyheptonate aldolase,0.03880680122222222,454.0
PP_0018,Q88RW1_PSEPK,Pp_0018,Uncharacterized protein,0.038804658166666665,455.0
PP_2084,RRAAH_PSEPK,Pp_2084,Putative 4-hydroxy-4-methyl-2-oxoglutarate aldolase,0.038733845277777776,456.0
pqqB,PQQB_PSEPK,Pqqb,Coenzyme PQQ synthesis protein B,0.038628240611111114,457.0
PP_4545,Q88EC1_PSEPK,Pp_4545,"3-oxoacyl-(Acyl-carrier-protein) synthase III, putative",0.038469547,458.0
PP_1121,Q88NT3_PSEPK,Pp_1121,OmpA family protein,0.03783036722222222,459.0
glgP,Q88CY8_PSEPK,Glgp,"Alpha-1,4 glucan phosphorylase",0.03779553605555555,460.0
spuE,Q88CK0_PSEPK,Potf-1,"Putrescine ABC transporter, periplasmic putrescine-binding protein",0.037788242944444446,461.0
PP_5156,Q88CM4_PSEPK,Pp_5156,Uncharacterized protein,0.03776413361111111,462.0
purK,Q88C48_PSEPK,Purk,N5-carboxyaminoimidazole ribonucleotide synthase,0.037747405,463.0
proI,Q88CT5_PSEPK,Proc-2,Pyrroline-5-carboxylate reductase,0.037657190888888886,464.0
yjdM,Q88Q12_PSEPK,Phna,PhnA protein,0.03758374955555556,465.0
PP_3019,Q88II0_PSEPK,Pp_3019,Carbon-nitrogen hydrolase family protein,0.037313604388888894,466.0
alaA,Q88LQ7_PSEPK,Pp_1872,"Aminotransferase, class I",0.03729831888888889,467.0
ftsZ,FTSZ_PSEPK,Ftsz,Cell division protein FtsZ,0.03703405561111111,468.0
PP_0855,Q88PJ5_PSEPK,Pp_0855,Uncharacterized protein,0.03694365966666666,469.0
gpsA,GPDA_PSEPK,Gpsa,Glycerol-3-phosphate dehydrogenase [NAD(P)+],0.03681956905555556,470.0
gatA,GATA_PSEPK,Gata,Glutamyl-tRNA(Gln) amidotransferase subunit A,0.03675060216666667,471.0
katG,KATG_PSEPK,Katg,Catalase-peroxidase,0.03672480511111111,472.0
PP_4506,Q88EF9_PSEPK,Pp_4506,Nitroreductase family protein,0.03660241488888889,473.0
PP_4870,Q88DF5_PSEPK,Pp_4870,Azurin,0.036583012944444444,474.0
ffh,Q88MV7_PSEPK,Ffh,Signal recognition particle protein,0.03643978922222222,475.0
hemL,GSA_PSEPK,Heml,"Glutamate-1-semialdehyde 2,1-aminomutase",0.03639007711111111,476.0
PP_1236,Q88NH3_PSEPK,Pp_1236,"Glycine cleavage system transcriptional repressor, putative",0.03639000328571429,477.0
bamD,Q88Q73_PSEPK,Bamd,Outer membrane protein assembly factor BamD,0.036250999166666666,478.0
uup,Q88L06_PSEPK,Pp_2131,"ABC transporter, ATP-binding protein",0.03621713766666666,479.0
pheS,SYFA_PSEPK,Phes,Phenylalanine--tRNA ligase alpha subunit,0.036098788388888886,480.0
PP_1352,Y1352_PSEPK,Pp_1352,UPF0234 protein PP_1352,0.03580754988888889,481.0
fnrA,Q88F34_PSEPK,Anr,Transcriptional regulator Anr,0.03576872477777778,482.0
PP_0396,Y396_PSEPK,Pp_0396,UPF0229 protein PP_0396,0.035529814166666666,483.0
ihfA,IHFA_PSEPK,Ihfa,Integration host factor subunit alpha,0.03548578188888889,484.0
dsbA,Q88RK2_PSEPK,Pp_0127,Thiol:disulfide interchange protein,0.035338247611111116,485.0
ctpA,Q88CX2_PSEPK,Pp_5058,Carboxyl-terminal protease,0.035317261999999995,486.0
ispG,ISPG_PSEPK,Ispg,4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase (flavodoxin),0.03529478294444444,487.0
aroC,AROC_PSEPK,Aroc,Chorismate synthase,0.03523768461111111,488.0
PP_4552,Q88EB4_PSEPK,Phaj1,"Enoyl-CoA hydratase, R-specific",0.0349614595,489.0
pyrR,Q88D31_PSEPK,Pyrr,Transcriptional regulator PyrR,0.034816809,490.0
thiG,THIG_PSEPK,Thig,Thiazole synthase,0.03477574927777778,491.0
opgG,OPGG_PSEPK,Opgg,Glucans biosynthesis protein G,0.03477068966666667,492.0
PP_3738,Q88GI4_PSEPK,Pp_3738,"Transcriptional regulator VanR, putative",0.03467514605555556,493.0
cysH,Q88KG2_PSEPK,Cysh,Phosphoadenosine phosphosulfate reductase,0.034560584,494.0
algP,Q88RD8_PSEPK,Algp,Alginate regulatory protein AlgP,0.03442415744444444,495.0
PP_3492,Q88H69_PSEPK,Acda,Acyl-CoA dehydrogenase,0.03433872127777778,496.0
aroB,AROB_PSEPK,Arob,3-dehydroquinate synthase,0.03426444994444444,497.0
tolC,Q88EE6_PSEPK,Tolc,Agglutination protein,0.0341583755,498.0
aldB-I,Q88QE9_PSEPK,Pp_0545,Aldehyde dehydrogenase family protein,0.0341186155,499.0
cysS,SYC_PSEPK,Cyss,Cysteine--tRNA ligase,0.034112854222222225,500.0
lysA-II,Q88CF4_PSEPK,Lysa-2,Diaminopimelate decarboxylase,0.03409905305555556,501.0
cobW,Q88H57_PSEPK,Cobw,Cobalamin biosynthesis protein CobW,0.03407836383333333,502.0
ygiF,Q88CJ4_PSEPK,Pp_5187,Uncharacterized protein,0.03404109661111111,503.0
PP_5077,Q88CV3_PSEPK,Pp_5077,Uncharacterized protein,0.034019687944444446,504.0
xpt,XPT_PSEPK,Xpt,Xanthine phosphoribosyltransferase,0.03400009716666667,505.0
nusB,NUSB_PSEPK,Nusb,N utilization substance protein B homolog,0.03396694211111111,506.0
PP_2370,Q88KC0_PSEPK,Pp_2370,Uncharacterized protein,0.033926765944444444,507.0
fadB,FADB_PSEPK,Fadb,Fatty acid oxidation complex subunit alpha,0.03379819694444444,508.0
amn,Q88DP5_PSEPK,Amn,AMP nucleosidase,0.033698899944444444,509.0
PP_0188,Q88RE3_PSEPK,Pp_0188,"Uroporphyrin-III C-methyltransferase, putative",0.033648069833333336,510.0
iscU,Q88PK7_PSEPK,Iscu,Iron-sulfur cluster assembly scaffold protein IscU,0.033607173722222224,511.0
PP_5007,Q88D21_PSEPK,Pp_5007,Polyhydroxyalkanoate granule-associated protein GA2,0.03352395594444444,512.0
upp,UPP_PSEPK,Upp,Uracil phosphoribosyltransferase,0.033443125222222224,513.0
ftsY,Q88CR9_PSEPK,Ftsy,Signal recognition particle receptor FtsY,0.033400932555555554,514.0
PP_5292,Q88C91_PSEPK,Crc,Catabolite repression control protein,0.033330467833333335,515.0
PP_2688,Q88JG1_PSEPK,Pp_2688,Uncharacterized protein,0.033234847666666664,516.0
ptsP,Q88CN5_PSEPK,Ptsp,Phosphoenolpyruvate-protein phosphotransferase PtsP,0.033161746,517.0
cheY,Q88EW2_PSEPK,Chey,Chemotaxis protein CheY,0.033102557500000004,518.0
PP_1876,Q88LQ3_PSEPK,Pp_1876,Uncharacterized protein,0.033064333333333334,519.0
cmk,KCY_PSEPK,Cmk,Cytidylate kinase,0.03304394094444444,520.0
PP_0909,Q88PE1_PSEPK,Pp_0909,Uncharacterized protein,0.033006085222222224,521.0
yehX,Q88PI2_PSEPK,Pp_0868,"Glycine betaine/carnitine/choline ABC transporter, ATP-binding protein, putative",0.03298746066666666,522.0
map,Q88MI1_PSEPK,Map,Methionine aminopeptidase,0.032965709333333336,523.0
PP_4798,Q88DM7_PSEPK,Pp_4798,"Membrane-bound lytic murein transglycosylase, putative",0.03293844133333333,524.0
hflX,Q88DD4_PSEPK,Hflx,GTPase HflX,0.03293682388888888,525.0
tpiA,TPIS_PSEPK,Tpia,Triosephosphate isomerase,0.03282346533333333,526.0
hmgB,Q88E48_PSEPK,Pp_4620,Fumarylacetoacetase,0.03249185933333334,527.0
greA,GREA_PSEPK,Grea,Transcription elongation factor GreA,0.03237201033333333,528.0
PP_0564,Q88QD0_PSEPK,Pp_0564,Uncharacterized protein,0.032267028555555556,529.0
glcB,MASZ_PSEPK,Glcb,Malate synthase G,0.032247524666666666,530.0
qor-I,Q88RQ7_PSEPK,Qor-1,Quinone oxidoreductase,0.03208528583333334,531.0
PP_1787,Q88LY9_PSEPK,Pp_1787,Uncharacterized protein,0.032070851166666664,532.0
nuoI,NUOI_PSEPK,Nuoi,NADH-quinone oxidoreductase subunit I,0.032043501333333335,533.0
speC,Q88PI6_PSEPK,Pp_0864,"Ornithine decarboxylase, putative",0.03204121377777777,534.0
ppk,PPK_PSEPK,Ppk,Polyphosphate kinase,0.031982456166666666,535.0
gshB,GSHB_PSEPK,Gshb,Glutathione synthetase,0.031963235944444446,536.0
glnL,Q88CY2_PSEPK,Ntrb,Histidine kinase,0.031826887444444445,537.0
ybeZ,Q88DN7_PSEPK,Pp_4787,PhoH family protein,0.03181245266666667,538.0
PP_4720,Q88DU9_PSEPK,Pp_4720,Uncharacterized protein,0.03180421405555556,539.0
PP_0168,Q88RG2_PSEPK,Pp_0168,"Surface adhesion protein, putative",0.03179143511111111,540.0
PP_0368,Q88QW6_PSEPK,Pp_0368,"Acyl-CoA dehydrogenase, putative",0.031715945111111116,541.0
tas,Q88N98_PSEPK,Pp_1314,"Oxidoreductase, aldo/keto reductase family",0.03171239794444444,542.0
cheB1,CHEB1_PSEPK,Cheb1,Chemotaxis response regulator protein-glutamate methylesterase of group 1 operon,0.031611111222222224,543.0
hldE,HLDE_PSEPK,Hlde,Bifunctional protein HldE,0.031551772,544.0
PP_2662,Q88JI7_PSEPK,Pp_2662,Uncharacterized protein,0.03142308505555555,545.0
PP_4696,Q88DX2_PSEPK,Pp_4696,Nitrogen regulation protein NR(I),0.03135360833333333,546.0
PP_5055,Q88CX5_PSEPK,Pp_5055,Rhodanese domain protein,0.031352496388888894,547.0
tsaE,Q88DC9_PSEPK,Pp_4898,Uncharacterized protein,0.03127064294444445,548.0
PP_5024,Q88D05_PSEPK,Pp_5024,"Amino acid ABC transporter, periplasmic amino acid-binding protein",0.03126343016666667,549.0
PP_2189,Q88KV0_PSEPK,Pp_2189,Uncharacterized protein,0.03125264838888889,550.0
